ID,RA,DEC
2MASS_J20505039+4450115,312.7099655363757,44.836540725881186
GDR1_2162967795377160064,313.49350340688306,44.543057957136234
Bajamar_Star,313.96356384078734,43.873441742405895
2MASS_J20532233+4438526,313.34305295152524,44.64793142704991
GDR1_2163140315626344064,312.76289490947937,44.400761326666846
2MASS_J20553429+4326371,313.89290970212227,43.44360029131221
2MASS_J20503796+4425123,312.6581421414348,44.420100216225656
PSO_J205601.466+433543.777,314.0061059887613,43.59548960290756
GDR1_2162909830498130048,313.7625960094858,44.18112215981156
GDR1_2162931786370808448,313.1168028392954,44.05861394172086
GDR1_2162962985013647616,313.5669948496695,44.40291592301878
GDR1_2162967864096636288,313.47724503692797,44.54124180317905
GDR1_2163140246906862080,312.7287237613243,44.382835205498694
GDR1_2162961541904548992,313.5959319846103,44.3209265814808
GDR1_2163069500202546688,313.76662345958664,44.74070007403486
2MASS_J20500617+4425050,312.5257326837496,44.41803913456568
GDR1_2162976935068180608,313.32018490242285,44.42830532294153
GDR1_2163136192456870016,312.83106326015115,44.325146090175686
GDR1_2162134880959435904,314.19451937742565,43.767239662532866
2MASS_J20531994+4428438,313.3331140460849,44.478846598166655
GDR1_2162128009011784832,314.5450978433306,43.88560765849443
GDR1_2162952745812291712,313.22263882741476,44.32681909734731
GDR1_2066790146043148928,313.063094833578,43.502067898891696
GDR1_2163139937669407872,312.65575082842247,44.34805504775345
GDR1_2163145984982389632,312.916507636757,44.55394587314815
GDR1_2162886568955114112,313.4279200391176,44.06351857361956
GDR1_2162988754817727232,313.61216926374556,44.79805822787978
2MASS_J20533662+4439529,313.40262665227465,44.66467215720367
GDR1_2163141208978477312,312.6346737563426,44.43817851699805
2MASS_J20505575+4418286,312.73229095312615,44.30794890576056
GDR1_2163162065339769856,312.7489526875211,44.68028988273275
GDR1_2162240708953684992,314.5397046059057,44.18408643161201
GDR1_2067120514926515200,312.1200287972347,44.40319401895595
GDR1_2162961267026674432,313.48966170575085,44.34237939568185
GDR1_2162989201494332800,313.5738325328806,44.811134999192745
GDR2_2162948455142499968,312.9943655202102,44.2490878988824
GDR1_2162091278451209472,314.21487859034545,43.38047442503331
GDR1_2067062824937136000,312.6543514096502,44.30684138979343
2MASS_J20510895+4416420,312.7873019105601,44.27831364345297
2MASS_J20490132+4506478,312.25552098713365,45.11327449465717
DPP2017_354,314.59918880777343,43.88245752626052
GDR1_2162952711451794176,313.25749878643944,44.31827220058874
2MASS_J20505363+4424305,312.72345620954667,44.408446588804345
2MASS_J20512059+4420322,312.83581316745375,44.342285888519115
