filename,class,ra,dec,ID,,catname, period,p2,p3,p4,
0.877:ID:GDR1_2163140246906862080.png,3,312.7287238,44.38283521,GDR1_2163140246906862080,,205054.89+442258.2,,,,,
0.810:ID:2MASS_J20505543+4417461.png,3,312.7309995,44.29608741,2MASS_J20505543+4417461,,205055.43+441745.9,,,,,
0.883:ID:FHK_43.png,3,312.7317083,44.29730556,FHK_43,,205055.61+441750.2,4.623,,,,
0.810:ID:FHK_44.png,3,312.7394583,44.41272222,FHK_44,,205057.47+442445.7,2.207,,,,
0.727:ID:FHK_45.png,3,312.7419583,44.49952778,FHK_45,,205058.07+442958.3,35.228,,,,
0.861:ID:2MASS_J20505838+4414444.png,3,312.7430013,44.24568901,2MASS_J20505838+4414444,,205058.32+441444.4,3.422,,, ,this seems like a duplicate of FHK_47
0.300:ID:FHK_46.png,1,312.743125,44.24233333,FHK_46,,205058.35+441432.3,4.88,,,,
0.861:ID:FHK_47.png,3,312.7434583,44.24561111,FHK_47,,205058.42+441444.1,3.422,,,,
0.561:ID:FHK_48.png,2,312.7445833,44.29188889,FHK_48,,205058.70+441730.7,7.221889,,,,
0.834:ID:GDR1_2163140281266601728.png,3,312.7448013,44.38816458,GDR1_2163140281266601728,,205058.75+442317.3,4.419892,,,,
0.709:ID:GDR1_2163136742213531520.png,3,312.7458822,44.33173519,GDR1_2163136742213531520,,205059.01+441954.2,5.494,,,,
0.718:ID:GDR1_2163136746511218176.png,3,312.7478393,44.32750211,GDR1_2163136746511218176,,205059.48+441939.0,6.842103,,,,
0.236:ID:2MASS_J20510029+4424364.png,1,312.7512359,44.41009411,2MASS_J20510029+4424364,,205100.29+442436.3,7.012561,,,,
0.914:ID:GDR1_2163143717240796032.png,3,312.7537273,44.53046573,GDR1_2163143717240796032,,205100.89+443149.6,,,,,
0.331:ID:FHK_56.png,1,312.756,44.22497222,FHK_56,,205101.44+441329.8,7.060788,,,,
0.465:ID:GDR1_2163135573981345280.png,2,312.7561119,44.25955734,GDR1_2163135573981345280,,205101.46+441534.4,5.531199,,,,
0.259:ID:GDR1_2163135573981345152.png,1,312.7565367,44.2616609,GDR1_2163135573981345152,,205101.56+441541.9,7.359365,,,,
0.873:ID:GDR2_2163137120170654720.png,3,312.7589573,44.3358505,GDR2_2163137120170654720,,205102.14+442009.0,,,,,
0.694:ID:GDR1_2163140315626344064.png,3,312.7628949,44.40076133,GDR1_2163140315626344064,,205103.09+442402.7,,,,,
0.397:ID:FHK_62.png,1,312.7635833,44.15361111,FHK_62,,205103.25+440912.9,7.890579,,,,
0.692:ID:GDR1_2163140315626346880.png,3,312.7638914,44.40428516,GDR1_2163140315626346880,,205103.33+442415.4,,,,,
0.473:ID:GDR1_2163140315626343168.png,3,312.7693628,44.39724326,GDR1_2163140315626343168,,205104.64+442350.0,,,,,
0.725:ID:FHK_500.png,3,312.7727083,44.23313889,FHK_500,,205105.45+441359.3,,,,,
0.880:ID:GDR1_2163135677060562176.png,3,312.7737481,44.2756175,GDR1_2163135677060562176,,205105.69+441632.2,,,,,
0.836:ID:GDR1_2163137360688842752.png,3,312.7746285,44.39641898,GDR1_2163137360688842752,,205105.91+442347.1,,,,,
0.421:ID:2MASS_J20510663+4421407.png,1,312.7776383,44.36131221,2MASS_J20510663+4421407,,205106.63+442140.7,1.397283,,,,
0.756:ID:FHK_67.png,3,312.7834583,44.53055556,FHK_67,,205108.02+443150.0,6.31,,,,
0.756:ID:GDR1_2163143481019730688.png,3,312.783554,44.53080373,GDR1_2163143481019730688,,205108.05+443150.8,6.31,,,,source confusion with FHK_67
0.783:ID:2MASS_J20510895+4416420.png,3,312.7873019,44.27831364,2MASS_J20510895+4416420,,205108.95+441641.9,6.147,,,,
0.886:ID:GDR1_2163136123738466688.png,3,312.8003827,44.31324084,GDR1_2163136123738466688,,205112.09+441847.6,,,,,
0.452:ID:2MASS_J20511252+4418093.png,2,312.8021979,44.30255956,2MASS_J20511252+4418093,,205112.52+441809.2,7.989,,,,
0.912:ID:2MASS_J20511262+4418454.png,3,312.8025823,44.31261411,2MASS_J20511262+4418454,,205112.61+441845.4,,,,,is this an eclipsing binary?
0.828:ID:FHK_75.png,3,312.8069167,44.53961111,FHK_75,,205113.65+443222.6,4.1965,,,,
0.446:ID:2MASS_J20511374+4422252.png,2,312.8072667,44.37366095,2MASS_J20511374+4422252,,205113.74+442225.1,2.075,,,,
0.816:ID:2MASS_J20511455+4413379.png,3,312.8106512,44.22717526,2MASS_J20511455+4413379,,205114.55+441337.8,,,,,
0.845:ID:GDR2_2163136059317926016.png,3,312.8130653,44.30487703,GDR2_2163136059317926016,,205115.13+441817.5,4.175,,,,
0.703:ID:FHK_79.png,2,312.8151667,44.24861111,FHK_79,,205115.63+441454.9,6.613125,,,,
