,File Name,Norm Flux Q,Mag Q
0,EPIC247820821_all.dat,0.4453313527646517,0.45160176217176046
1,EPIC248049115_all.dat,0.0866170645215236,0.08380877560387272
2,EPIC247592463_all.dat,0.8621913109190211,0.8669132482274635
3,EPIC248046139_all.dat,0.4120096992343413,0.43693979755833695
4,EPIC210699801_all.dat,0.7801896399108907,0.779697227223414
5,EPIC248029373_all.dat,0.9283346628444114,0.9529024308973029
6,EPIC247820507_all.dat,0.8021179816541837,0.803034167875016
7,EPIC247799571_all.dat,0.7088407739467621,0.7148118240228458
8,EPIC247986526_all.dat,0.74279594559409,0.7421341447309299
9,EPIC248038058_all.dat,0.8331715714694238,0.8271035564043171
10,EPIC247051861_all.dat,0.18063954575513133,0.18063335725441232
11,EPIC247885481_all.dat,0.8111922718818987,0.8125687795492622
12,EPIC247520207_all.dat,0.7222779201278734,0.7473956084161962
13,EPIC247805410_all.dat,0.8853045299022875,0.8870680286744597
14,EPIC246859790_all.dat,0.6378542650934752,0.6411899901690451
15,EPIC247890584_all.dat,0.06854365413051271,0.0673219224641329
16,EPIC247843485_all.dat,0.5777461358118419,0.5721183272281406
17,EPIC210690598_all.dat,0.8633801856787812,0.8658420192901902
18,EPIC246925324_all.dat,0.642862007081528,0.6487151601913377
19,EPIC247035365_all.dat,0.23760573941713536,0.23716253561747858
20,EPIC247593952_all.dat,0.16718097642153004,0.16577753317355545
21,EPIC247592919_all.dat,0.9341985155772365,0.9334722475912237
22,EPIC210725857_all.dat,0.7416944970640803,0.7422020100267812
23,EPIC247941378_all.dat,0.1569311630640808,0.15713901184971849
24,EPIC247575958_all.dat,0.706359613128147,0.7105597945987631
25,EPIC246923113_all.dat,0.777055342780518,0.7763608246980902
26,EPIC247837468_all.dat,0.5609099177658253,0.558311191418761
27,EPIC248029954_all.dat,0.9675081785260531,0.9496154271429911
28,EPIC247791801_all.dat,0.34880461062419865,0.3738722082720531
29,EPIC247583818_all.dat,0.5605292634722764,0.5623195819765352
30,EPIC246942563_all.dat,0.8866776164010179,0.8904272489253704
31,EPIC248047443_all.dat,0.58251303843904,0.592857888591405
32,EPIC246990243_all.dat,0.810081535028538,0.8052502927722897
33,EPIC247585465_all.dat,0.6874995405829875,0.6814553208028897
34,EPIC210690735_all.dat,0.8821307174426284,0.870057420498606
35,EPIC247991214_all.dat,0.565412894347273,0.5527272629959562
36,EPIC248058354_all.dat,0.8555251857223544,0.8557286925226834
37,EPIC248040905_all.dat,0.7907774392984295,0.7601812784758641
38,EPIC247788960_all.dat,0.706289020515624,0.710552619457009
39,EPIC248009353_all.dat,0.8144265908687597,0.8029285385953117
40,EPIC210690892_all.dat,0.858823669620504,0.8536710775601979
41,EPIC248049475_all.dat,0.8640157546701575,0.8452148610301567
42,EPIC246989752_all.dat,0.7917116913023148,0.7961061544555857
43,EPIC247935061_all.dat,0.8745327634155459,0.8737844811777915
44,EPIC247810751_all.dat,0.8258236080088949,0.8215427351413838
45,EPIC210699670_all.dat,0.8473471100414447,0.8428970117956084
46,EPIC247078342_all.dat,0.7491146050713874,0.7571351098316187
47,EPIC247590222_all.dat,0.8350123704620945,0.8178342310125352
48,EPIC210689083_all.dat,0.6615418395664799,0.6415470281459228
49,EPIC247915927_all.dat,0.43895533637054773,0.44055113562332104
50,EPIC248006676_all.dat,0.3751086180861009,0.3885357498726652
51,EPIC247992574_all.dat,0.6981616913332388,0.7018564859521668
52,EPIC247763883_all.dat,0.8158771536713035,0.8309261732109512
53,EPIC210865655_all.dat,0.7363931066923534,0.734987180924347
54,EPIC248055184_all.dat,0.5928519724435877,0.5945302439980876
55,EPIC247789209_all.dat,0.8787409001100412,0.8646383982813268
56,EPIC248017479_all.dat,0.7921346704612564,0.7957761827084534
57,EPIC247604953_all.dat,0.9056002618935947,0.9002370651100051
58,EPIC247589612_all.dat,0.8648935570690948,0.869341944427081
59,EPIC210690913_all.dat,0.6396130125822803,0.634376611379935
60,EPIC247031423_all.dat,0.5982596010688687,0.5979511515429059
