mjd,mag,magerr
58216.5127083,17.7030029,0.0254766773
58217.4916319,17.7009296,0.0254563857
58217.5144329,17.7428532,0.0258738566
58218.4938542,17.8593979,0.0271179061
58218.5182986,17.7971458,0.0264376458
58242.4753704,17.4875679,0.0235507917
58244.4896065,17.6195126,0.0246877149
58246.4459028,17.8037224,0.0265077725
58247.4503704,17.8690567,0.0272268187
58252.4883218,17.2960224,0.0221112445
58254.4695023,17.4780235,0.0234734155
58255.4709606,17.5737915,0.0242791232
58256.4712037,17.7899036,0.0263608899
58257.4319097,17.6663055,0.0251228679
58257.4741319,17.6388283,0.0248652175
58258.4518866,17.6352158,0.0248317905
58259.4483333,17.5071678,0.0237116795
58262.387581,17.6424866,0.0248991698
58263.4286806,17.671896,0.0251760501
58266.3629167,17.5068779,0.0237092823
58268.4568056,17.6488705,0.0249586757
58269.4246644,17.7776604,0.0262322295
58270.4333681,17.8410568,0.0269136075
58271.4533796,17.8785439,0.0273347124
58272.4729861,17.7115097,0.0255603101
58273.4229861,17.5659676,0.0242108013
58274.4710417,17.6164894,0.0246601999
58275.4072801,17.7095184,0.0255406816
58276.4547685,17.7001495,0.0254487656
58277.4027083,17.6718597,0.0251757056
58278.4502199,17.7328415,0.0257727783
58280.3647454,17.8048477,0.0265198126
58281.4534144,17.6691551,0.025149947
58282.4515046,17.6805458,0.0252588335
58283.3917245,17.6215935,0.0247066896
58285.4131019,17.8052616,0.026524242
58287.4496759,17.593502,0.0244532973
58288.4531713,17.5285473,0.0238902606
58289.4506713,17.4764709,0.0234608911
58290.3852662,17.7659645,0.0261105895
58291.4765741,17.7635345,0.0260854755
58292.4671181,17.6531467,0.0249987207
58293.4775926,17.5575848,0.0241380986
58294.4668171,17.666893,0.0251284465
58296.3675463,17.8199902,0.0266829748
58297.4165856,17.9330921,0.0279728249
58298.4254977,17.9828033,0.0285817701
58299.4109375,17.8009243,0.0264778882
58300.3987269,17.7698631,0.0261510015
58301.405,17.6360779,0.0248397645
58301.4059144,17.5684586,0.0247287638
58301.4091319,17.5778313,0.0248200018
58302.3822454,17.7273293,0.0257174987
58303.3680324,17.8210983,0.0266950037
58304.3857176,17.6314774,0.0247973129
58305.3946875,17.7721977,0.0261752605
58307.3917593,17.8774204,0.0273218825
58310.4072917,17.7916107,0.0263789371
58312.4053241,17.8223495,0.0267086029
58313.3918171,17.9498901,0.0281756017
58314.4259838,17.8818398,0.0273724068
58315.3616319,17.7504368,0.0259510167
58316.3475231,17.7092419,0.0255379584
58318.3656829,17.6652946,0.0251132809
58320.3920949,17.779007,0.0262463074
58322.4019676,17.9197598,0.0278140139
58323.4709838,17.8296852,0.0267885849
58324.4785185,17.7594795,0.0260436796
58325.2762037,17.8490448,0.0270021819
58326.4156366,17.944561,0.0281109512
58327.3429514,17.9162636,0.0277726743
58327.3751157,17.830452,0.027635552
58328.3740625,17.8657608,0.0280886795
58328.3745139,17.9087486,0.0286619384
58329.3665741,17.8276596,0.0267664474
58330.3615278,18.0206852,0.0290641785
58332.3310417,17.8114338,0.0265905168
58333.3248032,17.8872108,0.0274340566
58334.3493171,17.8272953,0.0267624669
58335.36375,17.7927704,0.0271690954
58335.364213,17.7880344,0.0271116868
58336.3482639,17.8582077,0.0271045547
58336.3628009,17.7779617,0.0269904826
58336.3632523,17.7776299,0.0269865151
58342.3439236,17.9105072,0.0277049001
58343.3421412,17.804266,0.0265135877
58344.4278819,17.7018929,0.0254658088
58345.3354167,17.5098763,0.0237341225
58345.3701157,17.4263077,0.0234485008
58347.4121065,18.0670872,0.0296776649
58349.3212384,17.9058495,0.0276502948
58350.37375,17.9283333,0.0279159229
58351.3631019,17.8787785,0.0273373928
58352.2896644,17.8725052,0.0272659305
58352.3129282,17.6917667,0.0260017179
58353.2161921,17.8781738,0.0273304787
58353.3083796,17.7583313,0.0267577451
58353.3797222,17.9637737,0.0283454973
58354.2690856,17.8578606,0.0271006506
58354.3086111,17.7297821,0.0264272988
58354.3898958,17.813839,0.0266164318
58355.2808565,17.7904892,0.0263670776
58355.3067708,17.7232018,0.0263524614
58355.4265278,17.7913017,0.0263756718
58356.2794792,17.8709641,0.0272484366
58356.3109838,17.8212509,0.0275200475
58357.3148727,17.7222672,0.0256669614
58358.2320139,17.7870102,0.0263303611
58359.3015509,17.7089615,0.0255351998
58359.3452199,17.6992645,0.0254401155
58360.3024884,17.7250214,0.0256944336
58361.2398032,17.8267632,0.0267566666
58362.3239352,17.9732513,0.0284626689
58363.2651968,17.817646,0.0266575776
58364.3015856,17.8181458,0.0266629849
58365.2015972,17.9159107,0.0277685095
58366.3288542,17.9606438,0.0283070095
58367.3248727,17.8870697,0.0274324361
58368.2873148,17.8136654,0.0266145654
58368.3259954,17.7311172,0.0264425427
58369.1924537,17.8706474,0.0272448529
58370.2827315,17.9824047,0.0285767876
58371.3049537,17.9750023,0.0284844283
58372.309294,17.7638054,0.0260882732
58373.2834491,17.5437717,0.0240194388
58374.3245255,17.8645439,0.0271758232
58375.1915972,17.8996582,0.0275780782
58376.2045139,17.9418526,0.028078204
58377.1250347,17.7870712,0.0271000452
58377.2866088,17.8530006,0.02704628
58378.2709375,17.6538162,0.0255928133
58378.2799306,17.7487144,0.0259334464
58379.2751157,17.7904015,0.0263661556
58379.2893866,17.7126312,0.0262332782
58382.1659838,17.9142113,0.0277484749
58383.3101968,17.9368706,0.0280181821
58384.1853241,17.9596272,0.0282945298
58385.2262963,17.9240074,0.0278644059
58386.2543634,17.917635,0.0277888793
58386.2687847,17.8402538,0.0277597737
58387.1653588,17.9123039,0.0277260188
58388.2395602,17.7801094,0.026257854
58389.241088,17.7211571,0.0256559122
58389.2879282,17.6295471,0.0253394376
58390.1708565,17.5769978,0.0243072603
58400.1945602,17.8628349,0.0271565542
58423.1097338,17.8405399,0.0269079059
58425.120463,17.6617546,0.0250797756
58429.0831366,17.4562855,0.0237029083
58430.1769907,17.7059937,0.0255060121
58431.1448958,17.8529873,0.0270461217
58433.0831134,17.735714,0.026495181
58433.1168866,17.8690186,0.0272263866
58437.2608333,17.7837009,0.0262955353
58439.2184491,17.853466,0.027051473
58439.2291088,17.8655472,0.0271871369
58441.2297338,17.9040775,0.0276295897
58443.0756713,17.7591248,0.0267670732
58456.1383102,17.8581619,0.027104035
58472.0979282,17.8264351,0.0267530885
58474.1417708,17.8648262,0.0271790102
58475.1558102,17.9572525,0.0282654297
58482.1022917,17.8630791,0.0271593072
58575.4650579,17.8815174,0.0273687076
58582.4700463,17.958519,0.0282809511
58588.4092593,17.871376,0.0272531155
58591.4743866,17.6746178,0.0252020303
58593.3904977,17.8515511,0.0279044323
58593.4278241,17.9469795,0.0281402562
58597.4490278,17.5676537,0.0242254809
58605.4285764,17.8881607,0.0274449941
58607.3884838,17.8929634,0.0275004208
58608.4925463,17.7294827,0.025739057
58616.4271528,17.8484917,0.0269960277
58617.4899884,17.9241829,0.0278665032
58627.4040972,17.5994625,0.0245065503
58628.4088773,17.7566872,0.0260149892
58632.4696759,17.9108276,0.0277086552
58632.4842361,17.7341118,0.026476806
58633.4299421,17.8866196,0.0274272524
58634.4251389,18.0183506,0.0290339682
58635.4113194,17.9708862,0.0284333359
58636.4342245,17.9186554,0.0278009474
58637.4255093,17.6847248,0.0252990555
58638.4693171,17.8452797,0.0269603599
58639.411794,17.849987,0.027012676
58640.4756366,17.7926674,0.0263901204
58641.4696759,17.8173294,0.0266541466
58642.446794,17.6677628,0.0251367092
58643.4643171,18.0915337,0.0300112553
58644.4698495,17.9507675,0.0281862766
58646.4759491,17.5816002,0.0243477672
58647.3202894,17.8013916,0.0264828745
58649.2996528,17.7348175,0.0257926509
58650.3506019,17.5734158,0.0242758337
58651.4287963,17.6874104,0.0253249705
58652.4306713,17.7140007,0.0255849231
58653.4332523,17.4363575,0.0235328916
58653.4337037,17.4688911,0.0238122996
58653.4549306,17.5788116,0.0243232027
58654.4077199,17.6030674,0.0250700396
58654.4081713,17.5375118,0.0244337209
58654.4322685,17.6320229,0.0248023365
58655.3645949,17.5614433,0.0246610641
58655.3650463,17.5680084,0.0247244108
58657.406956,17.7922134,0.0263853222
58663.4295718,17.8180313,0.0266617462
58665.4315625,17.9390755,0.0280447043
58666.3481481,17.5652657,0.02420469
58667.311331,17.8142223,0.0266205724
58668.3528819,17.8378754,0.0268785134
58669.4157755,17.8845406,0.0274033658
58670.3911921,17.8408203,0.0269109998
58676.4790278,17.5692387,0.024239311
58677.3081019,17.6714993,0.0251722634
58680.3221412,17.7718029,0.0261711553
58684.4541204,17.7298851,0.0257430971
58688.3788773,17.7345009,0.0257894713
58691.3666319,17.8634033,0.0271629617
58694.3486343,17.8201103,0.0266842805
58697.3925116,17.7152061,0.0255968459
58700.3920486,17.8518829,0.0270338021
58703.4093519,17.6509743,0.0249783602
58710.1777199,17.6512642,0.024981074
58711.1775116,17.8097019,0.0265718829
58714.1776736,17.866169,0.0271941628
58715.2618634,17.9346466,0.0279914644
58716.2829745,17.9276466,0.0279077329
58717.2617824,17.8440456,0.0269466843
58718.2834838,17.6299591,0.0247833449
58719.2624421,17.7238045,0.0256822873
58720.2832292,17.8638134,0.0271675829
58722.2622685,17.5453453,0.0240328871
58723.2867708,17.4426861,0.0231923256
58724.2868287,17.4594021,0.02332424
58725.2607639,17.6387749,0.0248647202
58726.2622106,17.6173401,0.024667928
58727.2869792,17.8421326,0.0269255079
58730.2624653,17.8238411,0.0267248228
58732.2611111,17.7773209,0.0262286793
58733.260706,17.6680565,0.0251394976
58734.262419,17.8161545,0.0266414452
58735.2611111,17.7973251,0.0264395569
