hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457603.00458,bc,V,11.647,0.02,84.185,1.549
2457904.08518,bd,V,11.552,0.02,89.26,1.642
2457904.03636,bc,V,11.555,0.02,91.645,1.686
2457756.71826,bd,V,11.438,0.02,99.115,1.824
2457568.9713,bc,V,11.574,0.02,89.986,1.656
2457344.73464,bc,V,11.621,0.02,86.184,1.586
2457169.09425,bd,V,11.662,0.02,80.706,1.485
2457011.71939,bc,V,11.625,0.02,85.874,1.58
2458116.73846,bd,V,11.693,0.02,78.425,1.443
2458025.84537,bc,V,11.678,0.02,81.809,1.505
2457137.12491,bc,V,11.375,0.02,108.101,1.989
2457633.93918,bd,V,11.498,0.02,93.829,1.726
2457593.01079,bd,V,11.405,0.02,102.187,1.88
2458029.8822,bc,V,11.687,0.02,81.146,1.493
2457202.94768,bc,V,11.469,0.02,99.186,1.825
2458311.0218,bc,V,11.518,0.02,94.786,1.744
2457705.77543,bc,V,11.409,0.02,104.764,1.928
2457596.98764,bc,V,11.408,0.02,104.844,1.929
2458091.81031,bd,V,11.656,0.02,81.081,1.492
2457288.91008,bd,V,11.449,0.02,98.181,1.807
2458448.76743,bc,V,11.569,0.02,90.442,1.664
2457676.84371,bd,V,11.397,0.02,103.009,1.895
2457616.88447,bc,V,11.694,0.02,80.588,1.483
2457380.75262,bd,V,11.576,0.02,87.349,1.607
2457369.7234,bc,V,11.558,0.02,91.312,1.68
2457158.08702,bc,V,11.567,0.02,90.608,1.667
2458013.97178,bc,V,11.517,0.02,94.909,1.746
2457997.00864,bd,V,11.673,0.02,79.821,1.469
2457658.88916,bc,V,11.428,0.02,102.997,1.895
2457586.90925,bc,V,11.533,0.02,93.438,1.719
2457559.04586,bc,V,11.702,0.02,80.034,1.473
2457504.12125,bc,V,11.648,0.02,84.097,1.547
2457150.12496,bd,V,11.674,0.02,79.806,1.468
2457977.95918,bc,V,11.521,0.02,94.526,1.739
2457636.97134,bc,V,11.386,0.02,107.034,1.969
2457012.70965,bc,V,11.651,0.02,83.877,1.543
2457686.84988,bc,V,11.531,0.02,93.671,1.724
2457274.97315,bd,V,11.422,0.02,100.656,1.852
2457690.85622,bc,V,11.442,0.02,101.685,1.871
2457320.85829,bd,V,11.597,0.02,85.678,1.576
2458431.82738,bc,V,11.681,0.02,81.575,1.501
2458066.84378,bc,V,11.585,0.02,89.126,1.64
2458045.83883,bd,V,11.399,0.02,102.826,1.892
2457304.95436,bd,V,11.617,0.02,84.047,1.546
2457207.01732,bc,V,11.581,0.02,89.425,1.645
2458059.75812,bd,V,11.512,0.02,92.641,1.705
2457939.96105,bc,V,11.599,0.02,87.976,1.619
2457695.8611,bc,V,11.605,0.02,87.47,1.609
2457314.80827,bc,V,11.389,0.02,106.708,1.963
2457209.97647,bc,V,11.443,0.02,101.586,1.869
2457388.72475,bd,V,11.671,0.02,80.009,1.472
2457172.04463,bc,V,11.662,0.02,82.991,1.527
2458110.70891,bc,V,11.476,0.02,98.474,1.812
2457961.02984,bc,V,11.684,0.02,81.326,1.496
2457625.96663,bc,V,11.408,0.02,104.923,1.931
2457576.9946,bc,V,11.683,0.02,81.416,1.498
2457319.88578,bc,V,11.677,0.02,81.845,1.506
2457656.9584,bc,V,11.681,0.02,81.573,1.501
2457317.86798,bc,V,11.451,0.02,100.84,1.855
2458012.95301,bd,V,11.451,0.02,97.961,1.802
2458002.99336,bc,V,11.446,0.02,101.281,1.864
2457161.06537,bc,V,11.655,0.02,83.566,1.538
2458423.84692,bc,V,11.625,0.02,85.876,1.58
2457948.08871,bd,V,11.391,0.02,103.529,1.905
2457524.07614,bc,V,11.466,0.02,99.386,1.829
2457197.02259,bc,V,11.679,0.02,81.743,1.504
2457584.05833,bc,V,11.678,0.02,81.792,1.505
2457369.74297,bd,V,11.535,0.02,90.673,1.668
2457242.85586,bc,V,11.512,0.02,95.279,1.753
2457978.88223,bc,V,11.661,0.02,83.105,1.529
2457221.93031,bc,V,11.658,0.02,83.324,1.533
2458329.00613,bc,V,11.508,0.02,95.691,1.761
2458018.91512,bc,V,11.701,0.02,80.093,1.474
2457333.77236,bc,V,11.606,0.02,87.365,1.608
2458022.88668,bd,V,11.655,0.02,81.228,1.495
2457942.99832,bd,V,11.688,0.02,78.792,1.45
2457701.81521,bd,V,11.394,0.02,103.22,1.899
2457522.10979,bd,V,11.573,0.02,87.536,1.611
2457297.87688,bd,V,11.621,0.02,83.757,1.541
2457616.87135,bd,V,11.684,0.02,79.043,1.454
2457314.81971,bd,V,11.391,0.02,103.509,1.905
2457212.10136,bd,V,11.673,0.02,79.865,1.47
2457185.06451,bc,V,11.525,0.02,94.155,1.732
2457363.7517,bc,V,11.684,0.02,81.317,1.496
2458308.06966,bc,V,11.661,0.02,83.065,1.528
2458071.82564,bc,V,11.467,0.02,99.347,1.828
2458032.96088,bd,V,11.653,0.02,81.337,1.497
2457929.02003,bc,V,11.627,0.02,85.718,1.577
2457384.70792,bd,V,11.626,0.02,83.357,1.534
2457297.88987,bc,V,11.648,0.02,84.071,1.547
2457255.83292,bc,V,11.557,0.02,91.395,1.682
2457272.88709,bc,V,11.698,0.02,80.285,1.477
2457969.8975,bd,V,11.385,0.02,104.09,1.915
2457736.77692,bd,V,11.655,0.02,81.155,1.493
2457660.97315,bd,V,11.648,0.02,81.737,1.504
2457656.83254,bd,V,11.664,0.02,80.559,1.482
2457190.06533,bd,V,11.738,0.02,75.249,1.385
2457998.81923,bd,V,11.399,0.02,102.79,1.891
2457880.09921,bc,V,11.506,0.02,95.815,1.763
2458413.82603,bc,V,11.686,0.02,81.2,1.494
2458325.87405,bc,V,11.6,0.02,87.923,1.618
2458292.98977,bc,V,11.516,0.02,94.913,1.746
2458015.89773,bc,V,11.63,0.02,85.526,1.574
2457715.73206,bc,V,11.543,0.02,92.635,1.704
2457262.96505,bd,V,11.594,0.02,85.918,1.581
2457980.08284,bd,V,11.624,0.02,83.547,1.537
2457966.89165,bc,V,11.481,0.02,98.032,1.804
2457680.92983,bd,V,11.468,0.02,96.456,1.775
2457498.12885,bc,V,11.637,0.02,84.903,1.562
2457363.79429,bd,V,11.686,0.02,78.921,1.452
2457317.87935,bd,V,11.44,0.02,98.988,1.821
2457751.72016,bd,V,11.594,0.02,85.912,1.581
2457744.6982,bc,V,11.554,0.02,91.648,1.686
2457690.91446,bd,V,11.394,0.02,103.298,1.901
2457559.09961,bd,V,11.676,0.02,79.615,1.465
2457693.83229,bc,V,11.583,0.02,89.244,1.642
2457319.69789,bd,V,11.655,0.02,81.167,1.493
2457270.98748,bd,V,11.409,0.02,101.802,1.873
2457244.07322,bd,V,11.722,0.02,76.31,1.404
2458076.85666,bd,V,11.703,0.02,77.69,1.43
2457870.11577,bc,V,11.671,0.02,82.347,1.515
2457669.71297,bc,V,11.42,0.02,103.769,1.909
2457603.98129,bc,V,11.437,0.02,102.12,1.879
2457342.82643,bd,V,11.524,0.02,91.596,1.685
2457327.85836,bc,V,11.655,0.02,83.546,1.537
2457288.89848,bc,V,11.448,0.02,101.056,1.859
2458073.70259,bd,V,11.652,0.02,81.427,1.498
2457889.11434,bd,V,11.61,0.02,84.66,1.558
2457239.98534,bd,V,11.733,0.02,75.569,1.39
2457277.97129,bd,V,11.456,0.02,97.518,1.794
2457247.01749,bd,V,11.684,0.02,79.026,1.454
2458070.74936,bd,V,11.473,0.02,96.041,1.767
2457946.05482,bc,V,11.666,0.02,82.719,1.522
2457543.07562,bc,V,11.439,0.02,101.977,1.876
2457327.74431,bd,V,11.67,0.02,80.058,1.473
2457011.74634,bd,V,11.685,0.02,78.999,1.454
2457585.95565,bd,V,11.382,0.02,104.436,1.922
2457530.05533,bc,V,11.695,0.02,80.51,1.481
2457357.76298,bd,V,11.435,0.02,99.405,1.829
2457203.01055,bd,V,11.476,0.02,95.726,1.761
2457602.03871,bd,V,11.644,0.02,81.984,1.509
2457008.72541,bc,V,11.694,0.02,80.575,1.483
2457715.84382,bd,V,11.475,0.02,95.795,1.763
2457981.02517,bd,V,11.399,0.02,102.761,1.891
2457672.89976,bd,V,11.371,0.02,105.509,1.941
2457045.70492,bd,V,11.604,0.02,85.109,1.566
2458334.0472,bc,V,11.692,0.02,80.781,1.486
2457894.10759,bd,V,11.406,0.02,102.155,1.88
2457706.84067,bd,V,11.599,0.02,85.453,1.572
2457378.73998,bc,V,11.597,0.02,88.141,1.622
2457531.09318,bd,V,11.528,0.02,91.267,1.679
2457222.01635,bd,V,11.686,0.02,78.91,1.452
2457151.12096,bd,V,11.53,0.02,91.11,1.676
2458434.76115,bc,V,11.666,0.02,82.674,1.521
2458044.90007,bc,V,11.632,0.02,85.348,1.57
2458014.90622,bd,V,11.656,0.02,81.1,1.492
2457592.88626,bc,V,11.477,0.02,98.447,1.811
2457361.79771,bd,V,11.401,0.02,102.628,1.888
2458044.86247,bd,V,11.615,0.02,84.213,1.55
2457927.07263,bd,V,11.48,0.02,95.422,1.756
2457507.10573,bc,V,11.48,0.02,98.185,1.807
2457667.97065,bd,V,11.687,0.02,78.815,1.45
2457392.71472,bd,V,11.686,0.02,78.928,1.452
2457958.96214,bd,V,11.375,0.02,105.06,1.933
2457539.10746,bd,V,11.406,0.02,102.15,1.88
2457213.07011,bc,V,11.427,0.02,103.101,1.897
2457181.09554,bd,V,11.498,0.02,93.838,1.727
2457164.11129,bd,V,11.774,0.02,72.797,1.339
2457931.03529,bd,V,11.57,0.02,87.795,1.615
2457744.75208,bd,V,11.526,0.02,91.415,1.682
2457710.81296,bc,V,11.677,0.02,81.856,1.506
2457008.75357,bd,V,11.688,0.02,78.761,1.449
2457946.00959,bd,V,11.703,0.02,77.715,1.43
2457215.96594,bd,V,11.594,0.02,85.887,1.58
