ID,RA_jan,DEC_jan,PER_jan,Q_jan,M_jan,primary_class_jan,secondary_class_jan,per_changed
FHK_82,312.8238333,44.30830556,7.169853297,0.541547611,0.638022553,qpd,,
FHK_444,314.54775,43.88252778,182,0.545307137,-0.093619878,qps,,TRUE
FHK_531,313.1360833,44.44227778,5.326218318,0.549182025,-0.143005798,qps,mp,
FHK_48,312.7445833,44.29188889,7.220862552,0.561001305,0.021201081,qps,,
2MASS_J20522880+4418297,313.1200225,44.30822975,9.993746026,0.56793159,0.496119698,qpd,,
GDR1_2067062824937136000,312.6543514,44.30684139,191.1471525,0.572060372,0.632691247,qpd,,
FHK_489,313.2527917,44.61652778,1.682325221,0.576427568,-0.076658949,qps,l,
FHK_130,312.9254167,44.64908333,8.214345952,0.584323499,-0.079902989,qps,l,
FHK_361,313.6941667,44.20166667,12.48266155,0.586719789,0.649971139,qpd,,
GDR1_2162941716335179008,312.988425,44.03779365,7.483116982,0.589542067,0.391307753,qpd,,
GDR1_2163139804527939968,312.7024344,44.35125186,6.224483591,0.598299349,0.260466704,qpd,,
FHK_530,313.028,44.48988889,11.59165236,0.600313472,-0.47645179,b,l,
FHK_251,313.2739583,44.71030556,4.116498968,0.603881638,0.016617629,qps,,
FHK_134,312.9381667,43.81730556,6.242051875,0.608666314,0.25513472,qpd,,
2MASS_J20570162+4341387,314.2567903,43.69410701,2.988385751,0.611440255,-0.048691536,qps,,
GDR1_2162932851524210816,313.1519644,44.19620838,6.588110785,0.61388145,1.053986957,qpd,,
GDR1_2162127562335172992,314.5252254,43.82579208,3.931140461,0.618398794,0.210063573,qps,l,
GDR1_2162939792190072448,313.3288317,44.24402348,9.037171279,0.61929329,0.409932775,qpd,,
GDR1_2163139151692568576,312.8685211,44.4336208,191.1471525,0.624619761,0.196571921,qps,l,
FHK_517,313.417,44.43058333,1.390723046,0.625066802,-0.443480294,b,,
GDR1_2162903680105026176,313.9271421,44.23687717,9.017099355,0.628025548,0.849149247,qpd,,
FHK_28,312.695875,44.29147222,1.053074296,0.637760698,-0.065633239,qps,,
GDR1_2162931580213813632,313.1660929,44.09671589,222.5868388,0.638899053,-0.157003822,s,,
GDR1_2162944911791083136,313.0938566,44.23337851,3.00899417,0.639882437,0.307349042,qpd,,
2MASS_J20483292+4351190,312.1371735,43.85529686,,0.640601588,-0.750564967,b,l,
FHK_285,313.3654583,44.17630556,6.821,0.643581492,0.011918464,l,,TRUE
FHK_493,313.4677083,44.28488889,7.386,0.647684279,-0.579523293,b,,TRUE
FHK_26,312.692,44.31944444,13.70463665,0.648882999,0.427430752,qpd,p,
FHK_496,313.6274583,44.4015,6.139763365,0.651082028,-0.27638706,b,p,
2MASS_J20532233+4438526,313.343053,44.64793143,2.430701549,0.658417215,-0.189460764,qps,,
GDR1_2162224147560188672,314.6975082,44.02632161,10.16896976,0.65857242,0.668695943,qpd,,
GDR1_2162969788241971712,313.6900623,44.52697729,12.75723041,0.65922105,-0.077934103,qps,,
GDR1_2162960820350057856,313.4781595,44.32833558,,0.660569254,0.601902279,qpd,,
GDR1_2163144473153865856,312.9416466,44.47646402,10.62123209,0.662787017,0.178334548,qps,,
FHK_500,312.7727083,44.23313889,2.541793982,0.664646706,0.360080752,qps,,
FHK_456,314.5970833,43.88302778,7.829,0.66488043,0.195872821,qps,,
GDR1_2162989510731974016,313.6017437,44.80487816,8.230999823,0.666877858,0.826710739,qpd,,
GDR1_2162078393549548288,314.6652179,43.7191862,5.518,0.668869603,-0.129594437,qps,,TRUE
FHK_36,312.72325,44.35025,31.17223429,0.67236422,0.706981437,qpd,,
FHK_418,314.28275,43.69872222,2.699546865,0.672750706,0.414780204,l,qps,
FHK_278,313.34975,43.905,,0.674807632,0.276107931,qpd,,
GDR1_2163137738645105280,312.8444554,44.35210069,7.759074376,0.676998446,0.359133622,qpd,mp,
GDR1_2162952470933669632,313.1180078,44.35405342,5.797807791,0.679833506,0.320393225,qpd,,
GDR1_2162128009011784832,314.5450978,43.88560766,,0.679946693,0.665879379,apd,,
GDR1_2067074301079809408,312.3841128,44.28419107,4.752594487,0.686107365,0.194831703,qps,,
GDR1_2162135327636039936,314.247254,43.79804463,210.9363499,0.686681619,-0.841405886,b,,
GDR1_2162122339654917120,314.2815455,43.69990581,7.152707036,0.687038447,0.489962356,qpd,,
FHK_580,313.4255833,44.44825,6.87831655,0.688554288,-0.063594942,qps,,
FHK_473,314.665625,44.02577778,,0.691588906,-0.533573769,b,,
GDR1_2163140315626346880,312.7638914,44.40428516,,0.692850335,-0.317525525,b,l,
GDR1_2163138601937119360,312.8188403,44.38277355,2.424894251,0.693340347,-0.319964467,b,,
GDR1_2162965287117378944,313.3769366,44.44540125,182.55218,0.693431756,0.735602866,qpd,,
GDR1_2163149214797802752,312.889168,44.58175004,,0.693449158,0.119266816,l,,
GDR1_2163140315626344064,312.7628949,44.40076133,8.383979932,0.69454287,0.398048629,qpd,,
FHK_490,313.3228333,44.46722222,1.346,0.695524891,-0.074387674,qps,,TRUE
GDR1_2162989201494332800,313.5738325,44.811135,9.038308844,0.6981672,0.034135061,qps,mp,
GDR1_2067062618768745728,312.6377939,44.26074779,9.480335991,0.698219916,-0.119688061,qps,,
FHK_138,312.9475833,44.53561111,6.421386329,0.698575058,0.400023807,qpd,,
GDR2_2067027228235955584,312.2153945,43.85037701,5.61544905,0.698734623,0.280448986,qpd,,
GDR1_2162126325384584576,314.5369223,43.78327261,5.910481643,0.702818018,0.021227541,qps,,
FHK_79,312.8151667,44.24861111,6.609562065,0.703280599,0.31910763,qpd,l,
GDR1_2067059732550905600,312.6813587,44.26436396,3.093835993,0.703626154,-0.207925791,qps,,
FHK_344,313.5572083,44.40897222,5.492,0.703638466,0.438971784,qpd,,TRUE
GDR1_2161843098061857280,315.1948747,42.9240472,3.545666858,0.704534926,0.042749588,qps,,
GDR1_2163145984982389632,312.9165076,44.55394587,182.55218,0.706812926,0.646749088,qpd,,
GDR1_2162962985013647616,313.5669948,44.40291592,95.012,0.708342277,-0.011517455,qps,,TRUE
GDR1_2162221673657766272,314.6270018,43.90262236,167.3534414,0.708689272,0.393821601,qpd,,
GDR1_2162117563651224960,314.3612273,43.59153145,6.956136401,0.708948967,0.103811806,qps,,
FHK_115,312.8890833,44.44358333,6.292011061,0.709387059,0.103432501,qps,,
GDR1_2163136742213531520,312.7458822,44.33173519,5.499372497,0.709388757,0.246901746,qps,,
GDR1_2066790146043148928,313.0630948,43.5020679,,0.70974602,0.181164022,qpd,,
GDR1_2162904161141389696,313.98793,44.25995103,8.74517201,0.715890217,0.836255816,qpd,,
GDR1_2163136746511218176,312.7478393,44.32750211,6.843533039,0.71814763,0.290134195,qpd,,
GDR1_2162951749379088640,313.1432193,44.2944995,7.285653935,0.727276852,0.044395024,qps,,
FHK_45,312.7419583,44.49952778,35.22973074,0.727375627,-0.309076227,b,,
GDR1_2163140968460295680,312.6154862,44.3913941,,0.72748768,-0.498996697,b,,
GDR1_2162947420052773760,312.8517156,44.21783704,,0.728351132,1.048908641,apd,,
GDR1_2066844954118735744,313.0565417,43.67747481,9.096729161,0.729536967,-0.407796562,b,,
GDR1_2067128658184872064,312.3468168,44.57699363,11.683,0.732330213,0.187504863,qps,l,TRUE
FHK_459,314.6000417,43.8985,2.449709693,0.733864154,0.344276316,qps,l,
PSO_J205818.503+435346.014,314.5771035,43.89608889,,0.733885041,0.321107702,qpd,,
GDR1_2162091278451209472,314.2148786,43.38047443,121.9857722,0.738204878,-0.371268873,b,,
FHK_32,312.7032917,44.32316667,211.017524,0.738732563,-0.674596886,b,,
FHK_158,313.0046667,44.54416667,4.758,0.73945782,-0.200866334,qps,,TRUE
GDR1_2163139937669407872,312.6557508,44.34805505,6.048294312,0.742248178,-0.171080599,qps,l,
FHK_164,313.0220417,44.29147222,10.169,0.742411189,0.653486386,qpd,,TRUE
GDR1_2162872928138757248,313.3151536,43.73966973,191,0.744768896,-1.199130927,b,,TRUE
GDR1_2163144541882323584,313.0111444,44.45799696,4.104015138,0.745062236,0.637477057,qpd,,
FHK_181,313.064375,44.46972222,211.017524,0.751613329,0.267596968,qpd,,
GDR1_2163215391652091520,312.6024254,44.92092749,10.403,0.752520917,-0.044261232,qps,,TRUE
FHK_562,313.3647083,44.10261111,,0.754617335,-0.380794428,b,,
FHK_67,312.7834583,44.53055556,6.311574573,0.75689686,0.007704168,qps,,
FHK_575,313.3562083,44.45452778,13.38827785,0.757823313,0.113811263,qps,,
GDR1_2162235795513138560,314.8118829,44.20792432,0.979836261,0.760053277,-0.037057216,qps,,
GDR1_2163155055959979392,312.6678481,44.5135892,,0.761931985,0.328263446,qpd,,
GDR1_2162127974652045056,314.5254814,43.88363073,4.14011554,0.771976467,-0.492533853,b,p,
GDR1_2163141208978477312,312.6346738,44.43817852,211.017524,0.777349423,-0.032179424,qps,,
2MASS_J20582381+4353114,314.599206,43.88648447,1.01140284,0.778661303,0.841031532,qpd,,
GDR1_2162946526698717056,312.89043,44.17068994,9.56972265,0.778845135,0.078569791,qps,mp,
GDR1_2067030011373814272,311.9208389,43.72187408,154.5780939,0.782140454,0.211271926,qps,,
FHK_272,313.3210833,44.64283333,174.6968968,0.782494349,0.372368463,qps,l,
GDR1_2162984631649047936,313.2637374,44.66357119,4.769343927,0.782579686,0.443350672,qps,,
DPP2017_409,314.8032263,44.2741207,,0.78291384,-0.431468947,b,,
GDR1_2162949309837722880,313.000721,44.33305373,4.955637461,0.783356439,0.339679624,qpd,,
2MASS_J20510895+4416420,312.7873019,44.27831364,6.149,0.783623794,0.581667557,qpd,,TRUE
GDR1_2163155227752761088,312.700386,44.56016415,6.351,0.786911151,0.244467591,qps,,TRUE
GDR1_2162966146109606528,313.4939417,44.42661242,4.545090002,0.787542572,0.223493442,qps,,
GDR2_2163139804529410944,312.702892,44.34812172,10.791,0.790650351,0.012840854,qps,,TRUE
FHK_434,314.4995,43.89055556,3.773631023,0.791936762,0.016643913,qps,,
FHK_153,312.996625,44.42880556,4.154410344,0.796673072,-0.120431691,qps,,
GDR1_2162223086709799296,314.721743,43.97580024,106.0188118,0.798511996,0.789649996,qpd,,
FHK_255,313.2841667,44.08730556,2.326244467,0.801024548,0.096186181,qps,,
