ID,RA_jan,DEC_jan,PER_jan,Q_jan,M_jan,primary_class_jan,secondary_class_jan,per_changed
GDR1_2162235726791704960,314.7046178,44.27115999,,0.92455156,0.678225182,apd,,
GDR1_2162946080022052992,312.8787452,44.11650986,,0.92522934,0.843931207,apd,,
GDR1_2162949378557115136,312.9246368,44.26892643,1.022571464,0.92545846,-0.229145611,s,,
GDR1_2162239506362783488,314.4054311,44.1122048,,0.928703066,-0.231160915,s,,
2MASS_J20475581+4329019,311.9825253,43.48387322,1.013585872,0.929684338,0.01969673,s,,
GDR1_2162227205576431488,314.6399737,44.05985047,6.652886452,0.933081827,-0.053087122,s,,
GDR1_2162939173714801152,313.2747694,44.26074821,64.19815216,0.939747293,0.523591348,apd,,
GDR1_2162122064777006080,314.3020878,43.68232216,1.437037646,0.940119368,0.042283818,s,,
FHK_577,313.34925,45.11327778,,0.941815479,0.899310409,apd,,
GDR1_2163136364255498624,312.7190343,44.27888878,8.615267333,0.942782987,0.611278308,apd,,
FHK_165,313.0252083,44.28777778,,0.94286067,-0.434041268,b,l,
GDR1_2163138288400926464,312.8865954,44.39665464,,0.943884222,-0.144531083,s,,
FHK_155,312.9975417,44.27286111,,0.944604724,-0.314218639,b,,
FHK_348,313.588125,44.25755556,,0.947214501,-0.457880036,b,,
GDR1_2163149661474923520,312.8486573,44.58958383,60.37907355,0.951760041,0.121115032,s,,
FHK_468,314.6289167,43.75311111,1.286813488,1,-0.006153819,u,,
