ID,RA,DEC,PER,Q,NU,rMean,odr slope,odr slope error,intercept,intercept error,angle,angle error,pythag,M,primary_class,secondary_class
2MASS_J20470481+4349114,311.77007069097664,43.8198374299041,,0.8928500841630572,0.03180899729498902,19.03489389459461,2.0405528149915684,0.190309044078896,17.303389464522844,0.3095536146643933,63.89222249193016,2.1090680894731832,1.5380317546278877,0.06594433217657708,s,nan
2MASS_J20475256+4345137,311.9689046469143,43.75372371764185,5.936473228170153,0.30488947589909965,0.009571418978909828,18.24218667194719,0.9926701401240224,0.055333652149535284,18.25582526579532,0.136543378576091,44.78924333141908,1.59380261546209,0.9268186788745424,0.2452203184030051,p,nan
2MASS_J20475581+4329019,311.98252525962954,43.48387322013138,1.0135858720916306,0.9296843382924852,0.07228772449697304,17.6808145717608,4.209269359843433,0.25860968316265365,11.932664638282931,0.4587844423490299,76.635935068261,0.7818490360877356,2.1971652088869567,0.01969672977044981,s,nan
2MASS_J20483292+4351190,312.1371734648398,43.85529686187581,,0.6406015875585829,0.06848117602246345,19.306390517375885,-6.87384274261176,10.441220391307667,33.20906412789006,18.602860659283216,-81.72273183740614,81.25371129374194,1.3735424246673462,-0.7505649670123498,b,nan
2MASS_J20505039+4450115,312.7099655363757,44.836540725881186,222.58683877368026,0.4758820302681549,0.09050679476113913,16.876935947682117,15.226011559546555,2.5027829306820912,-13.720653357587375,5.347962203210545,86.24237702459337,0.5955580108488022,2.9001788540771423,0.3519573317144868,qpd,nan
2MASS_J20505363+4424305,312.7234562095467,44.40844658880434,5.340230268367138,0.8592732523890276,0.02855383588510272,17.000678722364217,2.4673023710247364,0.2611832969475225,13.652272730894895,0.5897193099120992,67.93723991788885,2.09915848376521,0.9188071082632564,0.7841204958062498,apd,nan
2MASS_J20505543+4417461,312.7309994942258,44.2960874126181,0.9015406815299328,0.8101752600451981,0.013782499379621956,17.795238330939227,1.306532813718502,0.1126895905469728,17.159636545055843,0.2276610867981184,52.57011573997446,2.3882871069696483,0.7392749709988096,0.1812533927769092,qps,nan
2MASS_J20510029+4424364,312.75123585817425,44.410094107931116,7.008938672886845,0.2368340826065949,0.020705552942281408,18.33375124808917,1.8086073176601405,0.16526438746250527,16.737749064144133,0.3258175217074317,61.061284300570286,2.179338474481459,1.444668933853486,0.1175722650910783,p,nan
2MASS_J20510663+4421407,312.777638321121,44.361312210949386,1.3974247735885623,0.4212279555452859,0.008795557534264583,15.6455768443038,2.556231420847181,0.6349196683401068,13.494279214144495,0.8830139163970445,68.63451272503993,4.6934425616509285,0.3109905532987309,-0.15531989220358594,p,l
2MASS_J20510895+4416420,312.78730191056013,44.27831364345297,1.1904892992814269,0.7836237938229438,0.017123680865759126,18.228841724350648,1.112193882254347,0.08251336043559954,17.997138862671694,0.16421137421312615,48.040532346351064,2.104527650968003,0.9145588964967416,0.581667557236356,qpd,nan
