hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458159.81708,bg,V,14.295,0.02682,7.346,0.181
2457805.85772,bh,V,14.281,0.02778,6.859,0.175
2457609.60289,bh,V,14.145,0.0261,7.777,0.187
2457479.84767,bh,V,13.473,0.02192,14.438,0.291
2457843.73154,bh,V,13.946,0.02418,9.343,0.208
2457774.85562,bg,V,13.695,0.02224,12.764,0.261
2457612.63109,bh,V,13.267,0.02193,17.455,0.352
2458224.83245,bg,V,13.478,0.02185,15.588,0.313
2458214.65215,bg,V,13.44,0.02185,16.147,0.325
2458125.86542,bg,V,13.871,0.02304,10.856,0.23
2457957.67416,bh,V,13.568,0.02212,13.234,0.269
2457876.61464,bg,V,14.001,0.02392,9.626,0.212
2458230.7982,bh,V,13.856,0.0235,10.146,0.219
2458205.7291,bg,V,13.847,0.02291,11.09,0.234
2457839.71114,bh,V,13.924,0.024,9.529,0.21
2457805.84452,bg,V,14.228,0.02604,7.814,0.187
2457778.83095,bg,V,14.039,0.02422,9.293,0.207
2457561.6894,bg,V,14.06,0.02439,9.122,0.205
2458329.66159,bg,V,13.979,0.02375,9.824,0.215
2458195.79819,bg,V,14.181,0.02554,8.159,0.192
2458190.83999,bg,V,13.549,0.0219,14.598,0.294
2458161.78474,bg,V,14.002,0.02392,9.617,0.212
2458377.4972,bg,V,13.871,0.02304,10.853,0.23
2458342.62907,bg,V,14.084,0.0246,8.918,0.202
2458037.48723,bh,V,14.391,0.02937,6.199,0.167
2457968.63593,bh,V,13.577,0.02215,13.118,0.267
2457951.70185,bg,V,14.383,0.02797,6.774,0.174
2457899.67446,bh,V,13.81,0.0232,10.582,0.226
2457866.69958,bh,V,14.129,0.02592,7.889,0.188
2457864.80331,bh,V,14.02,0.02482,8.726,0.199
2457650.56878,bh,V,13.174,0.02215,19.021,0.388
2457618.4698,bg,V,13.916,0.02332,10.411,0.223
2458384.49533,bg,V,13.315,0.02201,18.11,0.367
