preferred_name,ID,RA,DEC,nu,r_mag,period,Q,M,primary_class,secondary_class,cmd_slope,cmd_slope_err,cmd_intercept,intercept_err,cmd_angle,angle_error,cmd_vector_length
2MASS_J20470481+4349114,2MASS_J20470481+4349114,311.77007069097664,43.8198374299041,0.031808997294989,19.03489389459461,,0.8928500840000001,0.06594433200000001,s,,1.691214267681385,0.1387540855130876,17.957834264386605,0.2174909767918951,59.404551460229385,2.054019779615497,1.6104231193242666
Gaia_DR2_2067031596218019072,2MASS_J20475256+4345137,311.9689046469143,43.75372371764185,0.0095714189789098,18.24218667194719,5.936473228,0.304889476,0.24522031800000002,p,,0.9575749682129984,0.0344964712952898,18.349175855616046,0.0849284987678142,43.758466479563,1.0303647445004815,0.9943359983551486
2MASS_J20475581+4329019,2MASS_J20475581+4329019,311.98252525962954,43.48387322013138,0.07228772449697299,17.6808145717608,1.013585872,0.9296843379999999,0.01969673,s,,4.336563917258881,0.3717509059021848,11.747469244367945,0.6591503185579111,77.01473551621062,1.0641270484369785,2.549774086831944
2MASS_J20483292+4351190,2MASS_J20483292+4351190,312.1371734648398,43.85529686187581,0.0684811760224634,19.306390517375885,,0.640601588,-0.7505649670000001,b,l,-17.36071595604136,21.942857741003774,52.3494566606752,39.85088660016601,-86.70333077061956,3.2071639323632577,2.58414309466722
FHK_33,2MASS_J20505039+4450115,312.7099655363757,44.836540725881186,0.0905067947611391,16.876935947682117,222.58683880000004,0.47588203,0.351957332,qpd,,17.338361239419836,3.5349466508225698,-18.21792438408023,7.5441655503132585,86.69908931261885,0.6399714602764816,3.1634618072505116
FHK_37,2MASS_J20505363+4424305,312.7234562095467,44.40844658880434,0.0285538358851027,17.000678722364217,5.340230268,0.859273252,0.7841204959999999,apd,,2.216667599699659,0.2930146611778573,14.240086922194454,0.6565123415773195,65.71854849731176,2.826321193466459,1.3120728773441852
FHK_539,2MASS_J20505543+4417461,312.7309994942258,44.2960874126181,0.0137824993796219,17.795238330939227,9.371,0.7805480743069976,0.181253393,qps,,1.1347976111077576,0.0886769073167217,17.518151736208775,0.1778208922563102,48.613032983980645,2.215542654157844,0.7348071196613435
FHK_54,2MASS_J20510029+4424364,312.75123585817425,44.410094107931116,0.0207055529422814,18.333751248089172,7.008938672999999,0.236834083,0.117572265,p,,1.3414545907006146,0.1160547900130228,17.649489850189145,0.2320338436125428,53.29696435090505,2.368158551214409,1.302836077904966
FHK_527,2MASS_J20510663+4421407,312.777638321121,44.361312210949386,0.0087955575342645,15.6455768443038,1.397424774,0.421227956,-0.155319892,p,l,1.9236475012993013,0.3605336763153092,14.362597457009914,0.4998112576923557,62.53251900014038,4.2105294268392335,0.3123196458137652
FHK_69,2MASS_J20510895+4416420,312.78730191056013,44.27831364345297,0.0171236808657591,18.228841724350648,6.149,0.8376648702357676,0.5816675570000001,qpd,,1.1342249873537402,0.0643616890449656,17.951083663699556,0.1250022058885989,48.59868791242794,1.6074757165373603,0.9298947234472058
FHK_73,2MASS_J20511252+4418093,312.80219789507777,44.30255956257102,0.0099767797127676,17.507911318037973,7.988072978,0.293629507,-0.115032841,p,,1.4901026968348234,0.1497621918341352,16.581299544534133,0.2847145152705526,56.13464774669963,2.6506967533880554,0.5499037101448508
FHK_558,2MASS_J20511262+4418454,312.8025823261458,44.31261411198452,0.0138383504745644,13.068657866019418,,0.9242049840000001,-0.208446847,s,,0.7444494351909199,0.1681902800011676,13.396723244349074,0.2197537996893404,36.665817245795225,6.0673891252808785,0.3489339323735613
FHK_563,2MASS_J20511374+4422252,312.8072667450728,44.37366095322359,0.0107920382475184,18.71398950095541,2.076397142,0.446185117,-0.088629355,qps,,1.0493254389457984,0.0424587739500768,18.61522082443973,0.0814910891323297,46.37879208441753,1.1591087670896079,0.8574226692554875
FHK_77,2MASS_J20511455+4413379,312.8106511817742,44.22717526035429,0.007355554428609002,17.319683960516606,235.4983471,0.816245123,-0.003947203,qps,,1.4813121557791409,0.0941910232886594,16.326899192212096,0.1942096883169686,55.97761303125174,1.6910794133235014,0.5818486811376468
FHK_557,2MASS_J20512059+4420322,312.8358131674537,44.342285888519115,0.0070382604601158,16.97498299079365,1.623785909,0.8095383890000001,-0.422165856,b,,1.0705425193890077,0.0601818139172887,16.836363626046094,0.1152635194732312,46.951288450139046,1.6040890891566062,0.4118425772815669
2MASS_J20512139+4424054,2MASS_J20512139+4424054,312.83911742903166,44.40149991620572,0.0078098505966115,13.141350378481016,,0.832574785,-0.18360734,b,,1.0633203534424027,0.2707361766952729,13.073534689715462,0.2879905646885241,46.75777362935655,7.038294814638716,0.2439144468042928
FHK_144,2MASS_J20515226+4418213,312.9677502432141,44.3059157295101,0.0280091086084606,18.200085904761906,2.026,0.8639514496242007,0.044634810999999996,qps,,1.329430760447506,0.0940067665713629,17.531656564174448,0.1857133718599666,53.04945499097807,1.9355062512283798,1.2506654996025364
FHK_206,2MASS_J20522880+4418297,313.1200224959053,44.30822974945297,0.0382967377905526,18.360091347619047,9.993746026,0.56793159,0.496119698,qpd,,1.599043727309002,0.3385587366800324,17.123599773897425,0.6642077728107338,57.97921960487503,5.488203973294046,1.8562110855249598
FHK_533,2MASS_J20523394+4429168,313.14143743188987,44.48800174730115,0.0084458600536999,17.406404526265824,8.615267333,0.291655047,0.082551618,p,,1.2750269976370303,0.0697395394672284,16.749109382207177,0.1650791512020415,51.89301222333084,1.5227557579240218,0.5976714868142974
FHK_277,2MASS_J20532233+4438526,313.3430529515253,44.647931427049905,0.0071508749306128,15.530116970476193,2.430701549,0.658417215,-0.18946076399999998,qps,,0.9514634300230316,0.0675677802514312,15.644325346854394,0.1534926659785576,43.57523970196758,2.0261487976224086,0.289022037599412
FHK_307,2MASS_J20533662+4439529,313.40262665227465,44.66467215720368,0.0099865396801206,16.721199944303795,3.2087630889999996,0.44376914100000003,0.597817034,qpd,,1.2551942678216126,0.0883607578050436,16.116938869759732,0.2043126539320985,51.456037630570314,1.9597622936626744,0.7044804442752785
FHK_403,2MASS_J20564400+4346000,314.1833687815177,43.76669443921591,0.0150611339661432,18.060018507973425,4.061232427,0.452652619,0.206436597,qps,,1.081830712859237,0.0783278087115368,17.913954259377974,0.138449510278944,47.250971626844816,2.0792643328860905,0.8267628373901778
FHK_411,2MASS_J20570162+4341387,314.25679032427837,43.69410701051157,0.011315739744883,18.564869548504983,2.988385751,0.611440255,-0.048691535999999994,qps,,1.0513633693072642,0.0591519463484475,18.46481057084377,0.1122867671954441,46.4343091018099,1.6086566620776102,0.7339694769971321
LkHA_188,2MASS_J20582381+4353114,314.59920599772784,43.88648447204281,0.0406147719677702,13.15541461960133,1.01140284,0.7786613029999999,0.841031532,qpd,,3.565425815715269,0.1266981698700215,10.00502676315626,0.1537300152523144,74.33271051102194,0.5269941927152298,1.1078825706902486
Gaia_DR2_2162236280858326912,DPP2017_409,314.80322628703317,44.2741206966779,0.0083428592246347,17.163282937962965,,0.78291384,-0.4314689470000001,b,,0.6427132756020784,0.1108565325235381,18.00512173938875,0.2569435653606433,32.72939150712109,4.459646368121995,0.4830256818784232
FHK_101,FHK_101,312.8605833333333,44.60799999999998,0.0643637317942498,18.2055116514377,8.997,0.8925445647743846,-0.04717578099999999,s,,-16.81419408327935,47.42739780275198,52.050230476148826,90.52541607455362,-86.59642485338719,88.74679224615849,2.6067809543596026
