g_date,g-r_val,g_mag,g-r_magerr,g_magerr,r_date,r_mag,r_magerr
58247.4503704,2.0299367025619866,19.862503902561986,0.10259234678581156,0.0990245864,58247.4503704,17.8325672,0.0268201586
58252.4883218,2.0946070466610642,19.890799246661064,0.10411600501297097,0.100706153,58252.4883218,17.7961922,0.0264275093
58254.4695023,2.0176359686576575,19.80097646865766,0.09899137753681499,0.0954360366,58254.4695023,17.7833405,0.0262917429
58259.4483333,1.9260101782791814,19.743038178279182,0.09576869925867444,0.0919857249,58259.4483333,17.817028,0.0266508944
58262.387581,2.0532902240971715,19.818819824097172,0.09997480074230941,0.0965061262,58262.387581,17.7655296,0.0261060987
58263.4286806,2.066933925976805,19.840756725976807,0.10118460305473967,0.0977358371,58263.4286806,17.7738228,0.0261921752
58268.4568056,1.9021374698777578,19.67203306987776,0.09235715314828864,0.0885773748,58268.4568056,17.7698956,0.0261513367
58269.4246644,2.0822815920601627,19.875273192060163,0.10322420323852387,0.0997928679,58269.4246644,17.7929916,0.0263935532
58270.4333681,1.8781493270570628,19.701103527057064,0.09394465635588142,0.0900660753,58270.4333681,17.8229542,0.0267151743
58271.4533796,1.8555119177893253,19.662398617789325,0.09206097808640891,0.0881519392,58271.4533796,17.8068867,0.0265416522
58272.4729861,1.83381605192789,19.64177655192789,0.09087425059314844,0.086908333,58272.4729861,17.8079605,0.0265531745
58273.4229861,2.0188969980104616,19.82129189801046,0.10022348833885723,0.0966583565,58273.4229861,17.8023949,0.0264935791
58274.4710417,2.010140270443067,19.824305370443067,0.10041813330755234,0.0968255103,58274.4710417,17.8141651,0.0266199559
58275.4072801,2.104333116627121,19.892583116627122,0.10415339212083394,0.100766823,58275.4072801,17.78825,0.0263434332
58276.4547685,1.999234219518467,19.820071219518468,0.10019858551621054,0.0965778679,58276.4547685,17.820837,0.0266921706
58277.4027083,1.9733377726599919,19.90758387265999,0.10553049670592404,0.101751819,58277.4027083,17.9342461,0.0279866587
58278.4502199,2.029840090585001,19.859019890585,0.10231528962634166,0.0987475887,58278.4502199,17.8291798,0.0267830584
58280.3647454,2.050030906398419,19.91132850639842,0.10557278577657106,0.102024868,58280.3647454,17.8612976,0.0271392595
58281.4534144,1.9969374737109895,19.86249037371099,0.10268891261002173,0.0990245864,58281.4534144,17.8655529,0.027187204
58282.4515046,1.910719372519619,19.74155657251962,0.09581063686934148,0.0919857249,58282.4515046,17.8308372,0.0268012043
58283.3917245,2.0924518081734647,19.897366308173464,0.10457369824641106,0.101154931,58283.3917245,17.8049145,0.026520526
58285.4131019,2.203534628370601,19.998330628370603,0.11073600776693028,0.107539915,58285.4131019,17.794796,0.0264126882
58287.4496759,2.002714593153666,19.842482093153667,0.10141115825715433,0.0977785587,58287.4496759,17.8397675,0.0268993769
58288.4531713,1.9262330619949317,19.75535366199493,0.09661039762300304,0.0928238705,58288.4531713,17.8291206,0.0267824195
58289.4506713,2.0325915631465676,19.834053763146567,0.10088726329024011,0.097349152,58289.4506713,17.8014622,0.026483627
58290.3852662,2.048443338506594,19.884928238506593,0.10390141612554896,0.100368686,58290.3852662,17.8364849,0.0268631931
58291.4765741,2.0713377484265365,19.925791748426537,0.10635740072089073,0.102856778,58291.4765741,17.854454,0.0270625185
58292.4671181,2.046335047212864,19.850221447212864,0.10184323045490999,0.0983325392,58292.4671181,17.8038864,0.0265095327
58293.4775926,2.015595464190582,19.875556064190583,0.10341344267178601,0.0997928679,58293.4775926,17.8599606,0.0271242261
58294.4668171,2.101310816806894,19.995420516806895,0.11076004970626965,0.107288331,58294.4668171,17.8941097,0.027513681
58299.4109375,1.8686571301932844,19.555922530193286,0.08683142831027739,0.0830566883,58299.4109375,17.6872654,0.0253235754
58300.3987269,1.702168654352267,19.552029754352265,0.08699042246221424,0.082690537,58300.3987269,17.8498611,0.0270112697
58301.405,2.046153372778708,19.883002572778707,0.10375741599742858,0.100218534,58301.405,17.8368492,0.0268672071
58301.4059144,2.06817011212377,19.88284451212377,0.10390671364207914,0.100218534,58301.4059144,17.8146744,0.0274381228
58301.4091319,2.040254943972304,19.882288343972302,0.10398067302304619,0.100200377,58301.4091319,17.8420334,0.0277824551
58302.3822454,1.9563157357469017,19.7140786357469,0.10562734594177114,0.102370806,58302.3822454,17.7577629,0.026026031
58303.3680324,1.9921689635114852,19.784199263511486,0.09814938937960611,0.0945368707,58303.3680324,17.7920303,0.0263833795
58304.3857176,1.9187508672172982,19.777725367217297,0.09795260895695365,0.0941253975,58304.3857176,17.8589745,0.0271131545
58305.3946875,1.9118081440340617,19.766311744034063,0.09733661304358958,0.0934986994,58305.3946875,17.8545036,0.0270630643
58310.4072917,1.9210223170478429,19.719661617047844,0.09482683148035033,0.0910622776,58310.4072917,17.7986393,0.026453536
58312.4053241,1.991526355821346,19.832205555821346,0.10088086207225896,0.097225666,58312.4053241,17.8406792,0.0269094445
58313.3918171,1.9529344555391788,19.77216925553918,0.09768458451919568,0.0939719826,58313.3918171,17.8192348,0.0266747922
58314.4259838,1.9979164438298262,19.892995143829825,0.10460490114790304,0.100918606,58314.4259838,17.8950787,0.0275249034
58315.3616319,1.9505869813007983,19.8143984813008,0.10006221803205809,0.0963035375,58315.3616319,17.8638115,0.0271675568
58316.3475231,1.873811153190374,19.670529753190372,0.09243733307568876,0.0885773748,58316.3475231,17.7967186,0.0264331084
