ID,MEAN_MAG
2MASS_J20503796+4425123,21.685751339999996
GDR1_2162952745812291712,21.081855028571432
2MASS_J20523169+4429592,21.10927882204724
GDR1_2163066029870618624,21.135596747967472
GDR1_2162977523478063872,21.398772505263157
GDR1_2162965390195367296,21.09343206140351
GDR1_2162220917743579520,21.053780264646463
2MASS_J20505966+4430153,21.379888237113402
2MASS_J20533901+4403328,21.1616186102439
GDR1_2162958415178355072,21.224131329464285
GDR1_2163142828184692096,21.32822400471698
GDR1_2162935737741690752,21.556574819999998
GDR1_2067045679428023680,21.094777385714288
GDR1_2162928934512434432,21.032464969354834
GDR1_2162974186289213312,21.464372357142857
GDR1_2162947729290416128,21.429992510843377
GDR1_2162969929975644032,21.05800796626506
GDR1_2162886156638197760,21.16013450909091
GDR1_2162939276794011904,21.006876596470587
GDR1_2162984872167881216,21.716338548148148
GDR1_2067068425564498688,21.438393045454546
GDR1_2162955705044326016,21.430876307594936
GDR1_2162962748790296320,21.71987193478261
GDR1_2162938864478448896,21.6696215875
2MASS_J20523022+4424108,21.585799309677423
GDR1_2067034306341810304,21.154482469387755
2MASS_J20534496+4404139,21.553169844444444
GDR1_2067063722575028480,21.681243024324324
GDR1_2163168524970607616,21.341780607368424
GDR2_2163140143827638272,21.30435314774775
2MASS_J20505568+4421442,21.188057202830187
GDR1_2163136712151471360,21.240836519101123
GDR1_2163143133124910976,21.668491536363632
GDR1_2163135470902128000,21.530707991666667
GDR1_2163141793095097344,21.361914921348315
GDR1_2162955258367740800,21.598238782758624
GDR1_2162957040779711616,21.087087279166667
GDR1_2162958488183262208,21.18631923692308
GDR1_2162944946150831232,21.073387048648648
2MASS_J20522940+4438404,21.27751371574074
2MASS_J20523441+4438246,21.28237322524272
2MASS_J20524172+4434072,21.32338584423077
GDR1_2163173197895753856,21.478002115789476
GDR1_2162984562930222208,21.517651513157897
GDR1_2162983772656231424,21.204547008256878
GDR1_2162936596735173888,21.649472750000008
GDR1_2162936184418271104,21.18247271775701
GDR1_2162884782249510656,21.580795522580644
GDR1_2162960751631826560,21.541941766666667
2MASS_J20535805+4418556,21.553473523809526
2MASS_J20542793+4425037,21.466635562857146
2MASS_J20551100+4422132,21.540551029166664
2MASS_J20561960+4345387,21.497729136956526
2MASS_J20562950+4314535,21.22359008666667
PSO_J205702.685+434143.663,21.300119368333334
2MASS_J20581428+4353046,21.337145566666663
GDR1_2162232531340072832,21.351153437096773
FHK_87,21.451439165909093
FHK_88,21.181848740983604
FHK_94,21.101346693525183
FHK_161,21.299137437575762
FHK_170,21.330690108196723
FHK_173,21.629331371428574
FHK_195,21.069452648800002
FHK_196,21.18628829224138
FHK_227,21.521267452500002
FHK_261,21.024091452500002
FHK_273,21.076945461711713
FHK_284,21.399433401086956
FHK_397,21.346166753846152
FHK_406,21.361146544000004
FHK_429,21.284215340136058
FHK_433,21.034021230316746
FHK_461,21.132553462025317
FHK_471,21.201714793442623
FHK_474,21.581929617857146
FHK_486,21.267329819444445
FHK_509,21.13603467768595
FHK_515,21.71033009393939
FHK_516,21.032416137037035
FHK_520,21.464949313043483
FHK_521,21.141225865777777
FHK_522,21.506820140845072
FHK_529,21.0825091859375
FHK_536,21.543031005555555
FHK_537,21.46007274473684
FHK_538,21.22211035535714
FHK_541,21.152973859541984
FHK_555,21.191681572222222
FHK_561,21.00666614276316
FHK_574,21.51220863137255
