ID,Q,M
2MASS_J20505039+4450115,0.35661069297200343,0.30191147579045136
GDR1_2162967795377160064,0.021463367522037733,-0.1689898917920712
2MASS_J20532233+4438526,0.025497146685972853,-0.12439112475283629
GDR1_2163140315626344064,0.16140928026464368,0.1824554301158332
2MASS_J20503796+4425123,0.0366015047560719,0.03433188663727063
PSO_J205601.466+433543.777,0.01211478548643589,-0.33589990332038455
GDR1_2162909830498130048,0.08404381985004192,0.17385567259223195
GDR1_2162931786370808448,0.22223584916153555,-0.16284931222166119
GDR1_2162962985013647616,0.05580564176065675,0.008427993140920532
GDR1_2162967864096636288,0.01591677825489129,-0.24481611386931554
GDR1_2163140246906862080,0.41608242976272525,0.3241030406415772
GDR1_2162961541904548992,0.03174445709911279,-0.2849655462795853
GDR1_2163069500202546688,0.14541735392009753,0.06206171395552989
2MASS_J20500617+4425050,0.03300028922721166,0.016336836737168972
GDR1_2162976935068180608,0.019224278503766484,-0.33285225127594564
GDR1_2163136192456870016,0.447491791855088,0.31375878279652847
GDR1_2162134880959435904,0.016185370252557642,-0.03255408190267313
2MASS_J20531994+4428438,0.022892750275068527,-0.10501104496555336
GDR1_2162128009011784832,0.11509513958231027,0.13191003695916023
GDR1_2162952745812291712,0.13246107954907094,0.3615845070209154
GDR1_2066790146043148928,0.11871354313911789,0.10170968776206524
GDR1_2163139937669407872,0.04241932816365258,-0.06665640441106661
GDR1_2163145984982389632,0.2917843022955571,0.4901433166783781
GDR1_2162886568955114112,0.1745534184241513,0.3078868459580826
GDR1_2162988754817727232,0.37706530509769876,0.5607449742653452
2MASS_J20533662+4439529,0.03095955666303929,0.41262135527035826
GDR1_2163141208978477312,0.04003886147637117,-0.04272555043076986
2MASS_J20505575+4418286,0.041022169956237,-0.3016172981911803
GDR1_2163162065339769856,0.030307794381187747,-0.15898874908013788
GDR1_2162240708953684992,0.2788099510040714,0.18640033907282597
GDR1_2067120514926515200,0.029137024529705013,0.013071655355351056
GDR1_2162961267026674432,0.079804648042237,0.24663443990375022
GDR1_2162989201494332800,0.02744821060866396,0.04763577190049573
GDR2_2162948455142499968,0.09282183265830793,-0.07322159799638799
GDR1_2162091278451209472,0.026821644126731804,-0.10630314989075654
GDR1_2067062824937136000,0.07842369918095217,0.48554648614235457
2MASS_J20510895+4416420,0.10385936392993224,0.227431555109543
GDR1_2162952711451794176,0.03229966999496754,0.006738619609485184
2MASS_J20505363+4424305,0.14419837957375517,0.3250544752600886
2MASS_J20512059+4420322,0.03440681590323901,-0.127912821879275
2MASS_J20510029+4424364,0.048181973470760066,0.1171971763531471
GDR1_2162978172018122240,0.1422953797022668,-0.05811037145057695
GDR1_2067067807089176192,0.09217518431204638,0.14032200268430287
GDR1_2163140968460295680,0.028328287531877674,-0.32611235998627214
GDR1_2162984631649047936,0.04757695316271027,0.252508556648985
GDR1_2163143717240796032,0.4660504761069687,0.4491274651215769
