date,g-r,g,g-r magerr,g magerr
58242.4753704,1.8594101953707707,18.66624159537077,0.05683854739156434,0.0534547307
58244.4896065,1.8531868129275963,18.664178112927598,0.05690456369949565,0.0535179041
58246.4459028,1.7956521520567854,18.435987252056787,0.052105819278234836,0.0486766025
58247.4503704,1.6170550306151235,18.882811630615123,0.06321287895235636,0.0592964888
58252.4883218,1.834371233626456,18.868577633626455,0.06202701758360366,0.0585483685
58254.4695023,1.7635367178950467,18.262209217895048,0.049209548208878164,0.0457837507
58259.4483333,2.154659248189315,19.968223548189314,0.1557414607927334,0.153450727
58262.387581,1.7830337035232162,18.496849403523218,0.05314863273320274,0.0496744812
58263.4286806,1.8120903697906634,18.887918969790665,0.0626568290949156,0.0591328628
58268.4568056,1.79109038086332,18.69503058086332,0.0575897972718325,0.0540830083
58269.4246644,1.361369190767757,18.75385579076776,0.058695311080389126,0.0540830083
58270.4333681,1.5295299522422319,18.817383152242233,0.06121673855332686,0.057105802
58271.4237384,2.0918794731721846,18.842493673172186,0.06033487765677792,0.057105802
58271.4242014,2.1362558630981425,18.84250506309814,0.06028141210231456,0.057105802
58271.4533796,2.036357154760964,18.843222854760963,0.061468628870310425,0.0583538674
58276.4547685,1.785321862034884,19.171451262034886,0.07177805679168295,0.0680741593
58277.4027083,1.9283575465064757,18.823983646506477,0.060110983267836406,0.0567746982
58278.4502199,1.90469701263574,19.20921861263574,0.0731899123548793,0.0697512701
58280.3647454,1.8235117311011066,18.830698631101107,0.06129326980793986,0.0578231737
58281.4534144,1.7521297681095547,18.579114168109555,0.055104775702305264,0.0515718497
58282.4515046,1.8957052508586791,18.574122450858678,0.0547120484550943,0.051399298
58283.3917245,1.784068110007567,18.630019210007568,0.056195672459313374,0.0527024716
58285.4131019,2.039435441512012,19.44007784151201,0.08130624887156163,0.0780239105
58287.4496759,1.6774986290387695,18.52566982903877,0.05295277305877293,0.0492257662
58288.4531713,2.068973255255951,19.810661055255952,0.10238918297075945,0.0990691632
58289.4506713,1.7870374028931977,18.705296102893197,0.05722295351078999,0.0536654405
58290.3852662,1.9627327452820396,19.38695764528204,0.08014436222686061,0.0767585337
58291.4765741,1.715076029158844,18.405952029158843,0.051206559027937554,0.0476298966
58292.4671181,1.9181619001802588,18.94735960018026,0.06444028739028042,0.0611085445
58293.4775926,1.8747377487859538,18.481076248785953,0.05290858384739324,0.0495863967
58294.4668171,1.7193130635425717,18.49425356354257,0.0532522475507809,0.0496814065
58296.3503819,0.7964003277848022,18.9637530277848,0.07258211505228368,0.0648184568
58296.3508449,0.8336651712616252,18.963692971261626,0.07229648909443931,0.0648184568
58296.3675463,0.7153756040401049,18.961526604040106,0.07242014753098454,0.0648184568
58297.4165856,1.6191055183294019,18.8254539183294,0.061089515555793845,0.0571763553
58298.4254977,1.8613415802536117,18.40027818025361,0.0510379560007481,0.0476863421
58298.4378819,1.7991865077468319,18.394943007746832,0.051307187776140226,0.0476863421
