ID,NU,MEAN_MAG
PSO_J205601.466+433543.777,0.0039890305926564545,17.157474697666668
GDR1_2162967864096636288,0.00375785156438479,15.486547941139243
2MASS_J20500617+4425050,0.007274582316733865,18.166951723985242
GDR1_2162976935068180608,0.004399194177046992,15.99650166835443
2MASS_J20531994+4428438,0.005658456666663432,16.068067949050636
GDR1_2163162065339769856,0.006220784719346263,16.55050997047619
GDR1_2162964874800490496,0.00451884455203364,15.093191977777776
2MASS_J20513761+4420045,0.007493521181467467,17.764925502215192
PSO_J205746.108+435819.388,0.002418088075586883,14.961943521333335
GDR1_2162144295529814400,0.0040154555368289565,15.508760608053691
2MASS_J20505703+4416432,0.0069140271715255434,17.830029537741936
2MASS_J20511244+4419430,0.008475586086688617,18.844047271835443
2MASS_J20523553+4419105,0.0051831454585840936,16.363908255696206
GDR1_2066773619008833664,0.0034932065249009725,15.385969425165564
GDR1_2162168862740158592,0.0026796445292143903,15.947778094684384
GDR1_2162174910053832448,0.002784007990728989,14.689359599668876
2MASS_J20523169+4429592,0.007912455918595117,18.6187019971519
GDR1_2066862542012143488,0.0019096566163313846,16.67556898444444
GDR1_2162968791809534848,0.003884488428509412,14.22607828327402
GDR1_2162951474501233536,0.006967850613422245,17.475385763291136
GDR1_2162975217080719104,0.00525654559088213,17.7772507297546
GDR1_2162922337443238528,0.0031326115587643447,14.379983898776757
GDR1_2163066029870618624,0.008384077796413154,19.166041430340556
GDR1_2162964977879706112,0.006209002519818341,17.790367382222225
GDR1_2163139731509868160,0.006967289488667588,17.98807851873016
2MASS_J20505669+4417055,0.007273928370018151,18.349348373717948
GDR1_2162965772447499648,0.004014260759004171,15.937217684493673
2MASS_J20534506+4425179,0.008634210650724445,18.668173774683545
PSO_J205641.026+434300.610,0.005297658585756099,16.955955505960265
GDR1_2162928934512434432,0.00776539267840587,18.853887561409397
GDR1_2162597397400140160,0.005567942918609433,18.556718381677022
GDR1_2162955705044326016,0.011130403235168005,19.266475757371797
GDR2_2067128864343322496,0.006018247438531831,18.38440449047619
GDR1_2163143133124910976,0.012025654941965672,19.80765407416107
GDR1_2162955258367740800,0.010213210535432414,19.116413158012822
2MASS_J20522940+4438404,0.008590937757234018,18.371412880379747
2MASS_J20524172+4434072,0.0066810869403933285,18.7749064414557
GDR1_2162936184418271104,0.008809993087224573,18.592057793511454
GDR1_2162960751631826560,0.005450488037509839,19.609632205
2MASS_J20561812+4348116,0.004819127590032011,17.8760892
2MASS_J20561960+4345387,0.007567339149256519,18.92684995785953
GDR1_2162139210286483840,0.005794586637044757,18.35451325187166
2MASS_J20584906+4353167,0.006781295345913732,18.29219790099338
FHK_7,0.0070834089621288005,18.194390307939507
FHK_17,0.00681794322559855,17.769108554746836
FHK_25,0.006162305155293657,16.92140157731569
FHK_70,0.006253823318707901,17.418371509177216
FHK_71,0.006225839771162774,18.358404294303796
FHK_121,0.006321108039202907,16.83157484222222
FHK_132,0.00920224853247203,18.537531274821852
FHK_148,0.005166471847316965,18.30456749174603
FHK_154,0.0043385775650152635,14.987753430666668
FHK_159,0.005784957559623407,17.216727587025314
FHK_173,0.011346678047065937,19.436456986173635
FHK_194,0.003224016227651165,14.111322786708861
FHK_244,0.006442133612525018,17.104534921835445
FHK_315,0.004390071519522324,13.38468556
FHK_324,0.0029010618362782987,17.57718378222222
FHK_337,0.0027987293485474012,16.858985479999998
FHK_352,0.0058475892769396035,16.122932627300614
FHK_370,0.005707421659654333,15.982889322483222
FHK_373,0.0032166105081087807,16.49450693
FHK_375,0.005478836790846636,18.66231856260163
FHK_384,0.005046248448559562,13.087380688990825
FHK_386,0.004990861247195046,17.745365193666668
FHK_387,0.006133250924500487,18.269461815838508
FHK_392,0.004891114969028867,17.82840914103448
FHK_398,0.004832929926903269,17.655380524691356
FHK_400,0.0055210626649057895,17.80686908781362
FHK_402,0.007094995666943485,17.938152448083628
FHK_413,0.008732476258149435,19.26378502857143
FHK_445,0.004277734227134548,17.90823701986755
FHK_449,0.009205147676095853,18.646694476923074
FHK_452,0.0035534381554235815,15.60626866192053
FHK_468,0.010220686366930742,19.065774103691275
FHK_515,0.01030544890082346,19.126697854193544
FHK_519,0.006512376632946442,17.63426535613497
FHK_520,0.008508240172905714,18.61552256574074
FHK_535,0.008191372391420591,18.24802612943038
FHK_537,0.006865324431505316,18.5223899721519
FHK_538,0.006768886389792796,17.972205707911392
