Name,Best Period (days),Power,90% FAP,95% FAP,99% FAP
2MASS_J20512059+4420322,2.632593778,0.142619404,0.062428685,0.066954162,0.077068357
2MASS_J20564400+4346000,4.061537034,0.368034197,0.064944586,0.069670208,0.080227289
FHK_44,2.206262717,0.184601386,0.062428685,0.066954162,0.077068357
FHK_549,35.68276428,0.291994336,0.324663752,0.349115228,0.400879602
GDR1_2067069937403328128,115.3013876,0.129800022,0.040358591,0.043162233,0.049450829
GDR1_2066790146043148928,286.7228304,0.371412458,0.065338424,0.070093947,0.080717183
FHK_165,21.23913841,0.049537462,0.051625723,0.055315638,0.063576546
GDR1_2162988754817727232,11.59462452,0.153553638,0.060718233,0.065111115,0.074931641
GDR1_2162967692305623296,5.015619755,0.352361148,0.093236883,0.100513383,0.116676198
FHK_158,4.758665268,0.163660979,0.062428685,0.066954162,0.077068357
GDR1_2163156052385630336,9.549234452,0.752168111,0.062428685,0.066954162,0.077068357
FHK_574,286.9228688,0.101328596,0.062782041,0.06733501,0.077510073
FHK_79,6.610528293,0.272184698,0.071650692,0.076886613,0.088571605
FHK_531,5.32684574,0.372192583,0.062428685,0.066954162,0.077068357
GDR1_2162958415178355072,7.183678954,0.23391099,0.062606744,0.067145909,0.077290414
FHK_344,5.553914945,0.248875095,0.079264801,0.085301772,0.098748178
GDR1_2067026815919131392,79.21538713,0.092381865,0.064727939,0.069438939,0.07996363
GDR1_2162948691363126144,201.4852263,0.177105389,0.041978761,0.044908915,0.051479488
GDR2_2162943193804036864,6.094506886,0.269785286,0.049818958,0.053378146,0.061348377
GDR1_2163135677060562176,29.17617114,0.12242774,0.06349579,0.068104806,0.078403926
GDR1_2163136712151471360,2.922545874,0.137286536,0.063526295,0.068135051,0.078433641
FHK_576,2.541936863,0.308271237,0.065409049,0.070163956,0.080785938
FHK_86,3.836748037,0.514020397,0.062428685,0.066954162,0.077068357
FHK_496,6.131323379,0.337539643,0.066714679,0.071578267,0.082440472
GDR1_2162955803828359040,286.9228688,0.113042369,0.062428685,0.066954162,0.077068357
GDR1_2162231676644797824,5.279270713,0.090284601,0.075080283,0.080585499,0.092864581
GDR1_2163140315626344064,8.385534651,0.190347723,0.062428685,0.066954162,0.077068357
GDR1_2162947729290416128,6.504615737,0.277509405,0.071883295,0.077137588,0.088863132
