ID,RA,DEC,PER,Q,M,NU,rMean,primary_class,secondary_class,odr slope,odr slope error,intercept,intercept error,angle,angle error,pythag
2MASS_J20470481+4349114,311.77007069097664,43.8198374299041,,0.8928500841630572,0.12492324306354025,0.03180899729498902,19.034893894594607,s,,2.0405528149915684,0.19030904407889596,17.303389464522844,0.3095536146643933,63.89222249193016,2.1090680894731832,1.5380317546278877
2MASS_J20475256+4345137,311.9689046469143,43.75372371764185,5.936473228170153,0.30488947589909965,0.2660667052373756,0.009571418978909828,18.24218667194719,p,,0.9926701401240224,0.055333652149535284,18.25582526579532,0.136543378576091,44.78924333141908,1.5938026154620901,0.9268186788745424
2MASS_J20475581+4329019,311.98252525962954,43.48387322013138,1.0135858720916306,0.9296843382924852,-0.01871885547554755,0.07228772449697304,17.6808145717608,s,,4.209269359843433,0.25860968316265365,11.932664638282931,0.4587844423490299,76.635935068261,0.7818490360877356,2.1971652088869567
2MASS_J20483292+4351190,312.1371734648398,43.85529686187581,,0.6406015875585829,-0.6920295638104588,0.06848117602246345,19.306390517375885,b,,-6.87384274261176,10.441220391307667,33.20906412789006,18.602860659283216,-81.72273183740614,81.25371129374194,1.3735424246673462
2MASS_J20505039+4450115,312.7099655363757,44.836540725881186,222.58683877368026,0.4758820302681549,0.30191147579045136,0.09050679476113913,16.876935947682117,qpd,,15.226011559546555,2.5027829306820912,-13.720653357587375,5.347962203210545,86.24237702459337,0.5955580108488022,2.9001788540771423
2MASS_J20505363+4424305,312.7234562095467,44.40844658880434,5.340230268367138,0.8592732523890276,0.34033183715763715,0.02855383588510272,17.000678722364217,apd,,2.4673023710247364,0.2611832969475225,13.652272730894895,0.5897193099120992,67.93723991788885,2.0991584837652106,0.9188071082632564
2MASS_J20505543+4417461,312.7309994942258,44.2960874126181,0.9015406815299328,0.8101752600451981,0.17797395323247414,0.013782499379621956,17.795238330939227,qps,,1.306532813718502,0.1126895905469728,17.159636545055843,0.2276610867981184,52.57011573997446,2.3882871069696483,0.7392749709988096
2MASS_J20510029+4424364,312.75123585817425,44.410094107931116,7.008938672886845,0.2368340826065949,0.12064017897730993,0.020705552942281408,18.333751248089172,p,,1.8086073176601405,0.16526438746250527,16.737749064144133,0.3258175217074317,61.061284300570286,2.179338474481459,1.444668933853486
2MASS_J20510663+4421407,312.777638321121,44.361312210949386,1.3974247735885623,0.4212279555452859,-0.028496854183791706,0.008795557534264583,15.6455768443038,p,l,2.556231420847181,0.6349196683401068,13.494279214144495,0.8830139163970445,68.63451272503993,4.693442561650929,0.3109905532987309
2MASS_J20510895+4416420,312.78730191056013,44.27831364345297,1.1904892992814269,0.7836237938229438,0.2442378059061161,0.017123680865759126,18.228841724350648,qpd,,1.112193882254347,0.08251336043559954,17.997138862671694,0.16421137421312615,48.040532346351064,2.104527650968003,0.9145588964967416
2MASS_J20511252+4418093,312.80219789507777,44.30255956257102,7.988072978388604,0.2936295068857383,0.03957310550207112,0.009976779712767636,17.507911318037973,p,,1.5983260546997835,0.17309726849161533,16.36564947687733,0.32783356084402016,57.96765549164523,2.782298678913396,0.6141732924492949
2MASS_J20511262+4418454,312.8025823261458,44.31261411198452,,0.9242049843747248,-0.1438433211379148,0.013838350474564479,13.068657866019418,s,,0.6792698828783336,0.2047238295597177,13.482816271152775,0.2671165488707512,34.18708391339282,7.71420141964045,0.33973008431060997
2MASS_J20511374+4422252,312.8072667450728,44.37366095322359,2.0763971415352644,0.4461851170838893,-0.1411884111549158,0.01079203824751848,18.713989500955414,qps,,1.0459402650912868,0.059887549718752826,18.622420763944504,0.12088521630128035,46.28632342445822,1.6324790942319125,0.7315294342746057
2MASS_J20511455+4413379,312.8106511817742,44.22717526035429,235.49834708820163,0.8162451231014634,0.10119856559395933,0.007355554428609012,17.319683960516606,qps,,1.6322621256333143,0.11249017698384543,16.015165398693746,0.23193415278517196,58.50641891323412,1.7617439332377771,0.5410726044034616
2MASS_J20512059+4420322,312.83581316745375,44.342285888519115,1.6237859092888862,0.8095383894053254,-0.1186045271956734,0.007038260460115806,16.97498299079365,qps,,1.091504444138712,0.07226794845268159,16.79509570530497,0.13836321371048574,47.5051235989532,1.885121792674461,0.4130423517417324
2MASS_J20512139+4424054,312.83911742903166,44.40149991620572,0.5106580216047949,0.8325747852256932,-0.2480327270351282,0.007809850596611503,13.141350378481016,b,,1.1387591819516345,0.2835943212222421,12.990614605559015,0.3003927843556537,48.71204118098752,6.844764999166941,0.22099864698391666
2MASS_J20515226+4418213,312.9677502432141,44.3059157295101,0.662699130096249,0.8561810230389204,0.038542422776210325,0.028009108608460655,18.200085904761906,qps,,1.6373348429114667,0.10104100412661676,16.917898652016305,0.2009934736061929,58.58555851812535,1.5648440889157822,1.2023919166922317
2MASS_J20522880+4418297,313.1200224959053,44.30822974945297,9.99374602603372,0.5679315895943079,0.30249472192608146,0.038296737790552655,18.360091347619047,qpd,,2.9670827141119025,0.5441394397101456,14.348298336201776,1.1020272740978765,71.37456865260766,3.0899058217034057,1.7583740512983883
2MASS_J20523394+4429168,313.14143743188987,44.48800174730115,8.615267332984464,0.2916550467353051,0.02831569449578792,0.008445860053699983,17.406404526265824,p,,1.3252500973663015,0.09592760462288684,16.628816288632773,0.2277051249343707,52.96272453824951,1.989642534787729,0.5876142066244964
2MASS_J20532233+4438526,313.3430529515253,44.647931427049905,2.430701548636463,0.6584172151890357,-0.12859208066967562,0.0071508749306128565,15.530116970476193,qps,,1.0284354883562397,0.08827379431682209,15.46613578518066,0.2036914515960362,45.80314446731799,2.4601643142663683,0.31852254326425145
