ID,RA,DEC,POW1,PER1,POW2,PER2,Q,M,90%_FAP,95%_FAP,99%_FAP,NU,mean_r,class
2MASS_J20470481+4349114,311.77007069097664,43.8198374299041,0.079115859807848,31.838653130425588,0.0710782627254217,1.1125375829330764,0.91115957998762,0.1249232430635402,0.0662343697849018,0.0710500206257818,0.0818064133024025,0.031808997294989,19.0348938945946,s
2MASS_J20475256+4345137,311.9689046469143,43.75372371764185,0.3392257010610453,1.1984669028074513,0.3272564387194685,0.8538242458989768,0.5203361280137043,0.2660667052373756,0.0647161435526087,0.0694272461394052,0.0799521444269147,0.0095714189789098,18.24218667194719,qps
2MASS_J20475256+4345137,311.9689046469143,43.75372371764185,0.3392257010610453,1.1984669028074513,0.3272564387194685,0.8538242458989768,0.5203361280137043,0.2660667052373756,0.0647161435526087,0.0694272461394052,0.0799521444269147,0.0095714189789098,18.24218667194719,qps
2MASS_J20475256+4345137,311.9689046469143,43.75372371764185,0.3392257010610453,1.1984669028074513,0.3272564387194685,0.8538242458989768,0.5203361280137043,0.2660667052373756,0.0647161435526087,0.0694272461394052,0.0799521444269147,0.0095714189789098,18.24218667194719,qps
2MASS_J20475256+4345137,311.9689046469143,43.75372371764185,0.3392257010610453,1.1984669028074513,0.3272564387194685,0.8538242458989768,0.5203361280137043,0.2660667052373756,0.0647161435526087,0.0694272461394052,0.0799521444269147,0.0095714189789098,18.24218667194719,qps
2MASS_J20475581+4329019,311.98252525962954,43.48387322013138,0.0770409915488517,1.1670391735927426,0.0726959169297906,0.8057496987729384,0.9296843382924852,-0.0187188554755475,0.0649248602788654,0.0696672694198205,0.0802611559131869,0.072287724496973,17.6808145717608,s
2MASS_J20483292+4351190,312.1371734648398,43.85529686187581,0.3705226038072289,250.0,0.1735168245232825,191.03616363398567,0.6406015875585829,-0.6920295638104588,0.0694607115002086,0.0745002679573202,0.0857520602129099,0.0684811760224634,19.30639051737589,b
2MASS_J20505039+4450115,312.7099655363757,44.83654072588119,0.5234780286014231,222.58683877368023,0.2710753843623772,160.85371518038602,0.4758820302681549,0.3019114757904513,0.0648917567641515,0.0696178387412192,0.0801758530042078,0.0905067947611391,16.876935947682117,qpd
2MASS_J20505363+4424305,312.7234562095467,44.40844658880434,0.1299090583934704,5.340230268367138,0.1127227552609749,1.2264531420839329,0.8592732523890276,0.3403318371576371,0.0629853600612527,0.0675519880838058,0.0777573280296247,0.0285538358851027,17.000678722364217,apd
2MASS_J20505543+4417461,312.7309994942258,44.2960874126181,0.1674076065507877,0.9015406815299328,0.1658694075335892,9.370923785241644,0.8101752600451981,0.1779739532324741,0.0552361734318858,0.059210335883743,0.0681023279378354,0.0137824993796219,17.795238330939227,qps
