,ID,PER,POW,90FAP,95FAP,99FAP,999FAP
44,GDR1_2162984631649047936,4.76934392739324,0.17402614396389918,0.06239643255776563,0.06692218075696349,0.07703692818625646,0.09107390423610386
45,GDR1_2163143717240796032,6.93708153028499,0.07147969241744943,0.06253665174451889,0.06706121923074197,0.07717356630216461,0.09120757907956047
46,GDR1_2162221811096717952,250.0,0.1356417292801514,0.06496240033853477,0.06968786849700906,0.08024463377350137,0.0948853384551543
47,GDR1_2067128658184872064,11.683182733641342,0.2508998950239076,0.0827987284576685,0.08920567263719777,0.10346346187106295,0.12311806255872199
48,GDR1_2162951474504020224,8.426416810151963,0.11126989373076854,0.0635158059607271,0.06812465096843803,0.07842342333553927,0.0927119560770098
49,GDR1_2162947591850664960,7.879547680603541,0.5551933577369239,0.07163586652118463,0.07687192509488117,0.08855719962941776,0.10473570139221498
50,GDR1_2162935565942174208,5.004507251283514,0.0798942822718431,0.039883415030533824,0.042650743140568,0.048858359709353164,0.057523686048674576
51,GDR1_2162964874800490496,7.627604470369216,0.24086143389226375,0.3246936728947816,0.3491439102200069,0.400905763641675,0.4666453373454474
52,GDR1_2162988101982678912,13.89221759391315,0.08323193758720986,0.060716085391221045,0.06510898523530817,0.07492954803843578,0.0885643080830344
53,GDR1_2163137738645105280,7.759074375757797,0.17133971462024072,0.0624819911370057,0.06700701860802322,0.07712030095122589,0.09115546852227167
54,GDR1_2162965287117378944,182.55218002726073,0.24636920560320097,0.062288408891236165,0.0668150683337094,0.07693166751872034,0.09097092849881078
55,2MASS_J20511455+4413379,235.49834708820345,0.1611251355975684,0.07166748645637754,0.0769032501102671,0.0885879225205366,0.10476567652682131
56,GDR1_2162949378557115136,103.4636632921622,0.05784598512160144,0.048102647382491245,0.05152315495649323,0.05918512782735106,0.0698569400674483
57,GDR1_2163139873247408384,5.035543362664483,0.4942346957518941,0.06230605465373143,0.0668325651464043,0.07694886169393264,0.0909877493064116
58,GDR1_2162969788241973632,250.0,0.09845043870831453,0.060798398464489,0.06519061915101812,0.07500980243770806,0.08864286156329404
59,2MASS_J20513761+4420045,12.717269080530937,0.18543642372038294,0.062416062568395166,0.06694164532967163,0.07705605649653477,0.09109261752174266
60,GDR1_2162942918926094208,53.95913269496513,0.05249634349591063,0.043584581654141155,0.046654239911093506,0.05353535174402156,0.06313070725183795
61,2MASS_J20512464+4417549,84.16050659804414,0.044589854871304825,0.062440429888589645,0.06696580735203707,0.0770798012077998,0.09111584713243978
62,GDR1_2162955185352996096,250.0,0.09335861291726542,0.06280720631855387,0.06734468127054713,0.07748574957794958,0.09155922945345699
63,2MASS_J20511374+4422252,2.0763971415355402,0.2579389853404077,0.0625666840515338,0.06710618725635828,0.07725137991492102,0.0913299528397098
64,PSO_J205746.108+435819.388,19.83285941028046,0.04384971669700875,0.06534242419011528,0.07009791208148611,0.08072107705331903,0.09545239003441862
65,GDR1_2162944911791083136,3.0089941696095797,0.28436728858370236,0.04020363226975574,0.042991287451885005,0.049244302204055915,0.057972516921568296
66,GDR1_2162117563651224960,6.956136400980848,0.2662205489710999,0.0649369181099424,0.0696626076141869,0.08021982331370953,0.09486108485554122
67,GDR1_2163138361418522624,250.0,0.0655944075725223,0.0625043469003685,0.06702918619742687,0.07714208595358979,0.0911767811679554
68,GDR1_2162902683672550912,4.474952771347075,0.16136972557944707,0.039240550997740375,0.04195750669030417,0.04805279752832865,0.056562784505287615
69,GDR1_2163135573981345152,7.3649550930006775,0.6970810634223076,0.06484448725673633,0.06955447777830938,0.08007711313959809,0.09467139643935121
70,GDR1_2162144295529814400,1.89760085895052,0.04458484743405869,0.06573655461638385,0.07052236364157993,0.08121260077058598,0.09603544156623638
71,GDR1_2162221673657766272,167.3534413933349,0.1947277208896368,0.06498768183604373,0.06971293046817087,0.08026924898748004,0.09490940129015081
72,2MASS_J20505703+4416432,3.4023796754047315,0.08969470614904697,0.06350861704720605,0.06811752338195141,0.07841642047901794,0.09270510730036077
73,GDR1_2162945976943020416,53.25137367928569,0.06961913415482686,0.04852197663495703,0.051956663903310975,0.05965048813964518,0.0703666386906425
74,GDR1_2162965012238950656,14.4355781111796,0.7207732333720613,0.06243260433099655,0.06695804771790993,0.07707217558075491,0.0911083869198969
75,2MASS_J20511244+4419430,4.210420639356761,0.11128622927107618,0.06245320734976399,0.06697847719029343,0.07709225226606968,0.09112802812432873
76,GDR1_2163136123738466688,98.37397089427326,0.06975932068341464,0.06421538655050843,0.06888194420977256,0.07930838128334197,0.09377118423126346
77,2MASS_J20523553+4419105,5.462376528156145,0.06641279161512163,0.062439722028290165,0.06696510545453412,0.07707911143142192,0.09111517231823489
78,GDR1_2163135677060562176,10.484091707724431,0.10707563742550245,0.06356218318251398,0.0681706327053328,0.078468600644398,0.09275613957037297
79,GDR1_2162949309837722880,4.955637461427059,0.16845738698563492,0.06244475338743899,0.06697009443238909,0.0770840142562933,0.09111996879600624
80,GDR1_2163155055959979392,250.0,0.14569949313428263,0.06248483122977353,0.06700983479167098,0.07712306852549804,0.09115817608377295
81,GDR1_2066844954118735744,9.09672916145787,0.22515329247611776,0.06520200213616566,0.0699587161967252,0.08058437628830874,0.09531877409191838
82,GDR1_2162969788241971712,12.757230406866384,0.266271243536696,0.06072129409526265,0.06511415093790782,0.07493462640751906,0.08856927878790714
83,GDR1_2163155227752761088,6.351068849652793,0.16210922349646587,0.062450027256702526,0.06697532388089417,0.07708915340440618,0.09112499647526946
84,DPP2017_409,3.3403831948364404,0.1773042876300367,0.15424681198447915,0.16648489706545597,0.19336634343983072,0.2296450924900166
85,GDR1_2162966798944719488,11.038808181159231,0.11483929412703849,0.1051892115866566,0.11352275123480259,0.131989977247227,0.15727583692354774
86,GDR1_2162976488391103104,250.0,0.10135901963975902,0.060788389555537045,0.06518069277981503,0.07500004373972675,0.08863330963298645
87,GDR1_2162941716335179008,7.483116981784143,0.36991164893359274,0.07568867102933874,0.08123375879812322,0.09360088099032143,0.11070585954917654
88,GDR1_2066773619008833664,250.0,0.16050926658782833,0.06485565857164316,0.06958205443236563,0.0801407072697755,0.09478374520728494
89,GDR1_2163215391652091520,10.403494325745633,0.1779201568386717,0.06272029566224192,0.06727378702408916,0.07744991217249944,0.09157070362765826
90,GDR1_2065995748890512768,5.945187964157576,0.40932320539904926,0.0648498049201916,0.06957625169458215,0.08013500810527108,0.09477817404577012
91,GDR1_2163140315626343168,191.1471525146681,0.384152953949028,0.06249216987898281,0.06701711166551098,0.07713021980234251,0.091165172296496
92,GDR1_2162168862740158592,36.09517900455217,0.055409442453678466,0.06513376634407787,0.06987435409744207,0.08046453520145204,0.0951508001494425
93,GDR1_2162936665453858432,10.79061198299674,0.07750764335737603,0.040126351986642696,0.042908877606606985,0.04915044087297508,0.057862799993629706
94,GDR1_2162126325384584576,5.9104816426815825,0.2808686447170199,0.06492510038127428,0.06965089256368191,0.08020831719345355,0.09484983701926179
95,GDR1_2162221536218867072,18.995635170332207,0.6028906229994699,0.06494731120908788,0.06967291042669424,0.08022994240374678,0.0948709768148218
96,GDR1_2162946526698717056,9.56972265036417,0.1499897398245949,0.07154693737501926,0.07678382597995721,0.08847079485947507,0.10465140036476099
97,GDR1_2163136742213531520,5.499372497374699,0.18186265241968136,0.06244216676793834,0.06696752960070847,0.07708149371522495,0.09111750292745179
98,GDR1_2163136364255498624,8.597023901634127,0.0573882254547509,0.048788395684403706,0.05224718697199505,0.05999455705302769,0.07078433728068505
99,2MASS_J20510663+4421407,3.514296240997018,0.4124403223692953,0.06247239852803589,0.0669975067609885,0.07711095329697291,0.091146323574386
100,GDR1_2163017101601143040,18.517899925792197,0.09565319674602542,0.060607412533655286,0.06498700929325223,0.07477818620451716,0.08837287116159204
101,GDR2_2162951684957670144,250.0,0.09713496497874392,0.05147220410852823,0.05514344010086734,0.06336296609377287,0.07480217127366742
102,GDR1_2163138601937119360,2.4248942512380176,0.28359138770103964,0.06247229638305144,0.06699740547604142,0.07711085376049359,0.09114622619646062
103,GDR1_2162078393549548288,5.157745282807077,0.08388784669066432,0.06495783838265842,0.06968334616191794,0.08024019206663345,0.09488099643313769
104,GDR1_2162174910053832448,25.43890113411633,0.052848462859196345,0.06495432932413073,0.06967986758138951,0.08023677550796929,0.09487765655419526
105,GDR1_2162948141606527616,7.033223011418415,0.1027614213470783,0.06479158467681266,0.06950203334948264,0.08002560110988573,0.09462103724013893
106,2MASS_J20523169+4429592,9.097926812423124,0.3859508455389427,0.062447130403737776,0.06697245142713107,0.07708633055056871,0.09112223484898214
107,GDR1_2163138116611233408,8.85967772606232,0.13085196305681468,0.06233745038859173,0.06686369596056721,0.07697945419513154,0.091017677621674
108,GDR1_2162938074203123712,7.268239032799357,0.5678909855914991,0.07549551857514529,0.08104248555585139,0.0934134501115623,0.11052321004920587
109,GDR1_2066862542012143488,5.949279543244811,0.6221114658285669,0.32473704390594355,0.3491854871703563,0.40094368671598596,0.46667881145964457
110,GDR1_2162127974652045056,4.140115539579239,0.12080543253681662,0.0650225537054422,0.06974749965909659,0.08030320213901385,0.09494259267589318
