old_name,preferred_name,ra,dec,Simbad,TMASS,GaiaDR2,NameFHK
GDR1 2163140453064444544,2MASS J20505096+4423465,312.71233,44.39624,2MASS J20505096+4423465,2MASS J20505096+4423465,Gaia DR2 2163140453064444544,
GDR1 2163136364255498624,LkHA  141,312.71903,44.27889,EM* LkHA  141,2MASS J20505257+4416441,Gaia DR2 2163136368555566848,FHK 34
FHK 35,FHK 35,312.72154,44.39822,2MASS J20505317+4423535,2MASS J20505317+4423535,Gaia DR2 2163140457362989952,FHK 35
FHK 36,V1490 Cyg,312.72325,44.35025,V* V1490 Cyg,2MASS J20505357+4421008,Gaia DR2 2163139770169674112,FHK 36
2MASS J20505363+4424305,FHK 37,312.72346,44.40845,2MASS J20505363+4424305,2MASS J20505363+4424305,Gaia DR2 2163140560443665152,FHK 37
GDR1 2163156052385630336,FHK 39,312.7258,44.63561,2MASS J20505418+4438083,2MASS J20505418+4438083,Gaia DR2 2163156056685634944,FHK 39
FHK 40,FHK 40,312.72625,44.29794,2MASS J20505429+4417526,2MASS J20505429+4417526,Gaia DR2 2163136609073737728,FHK 40
GDR1 2066855807501721472,FHK 544,312.72695,43.77327,2MASS J20505446+4346238,2MASS J20505446+4346238,Gaia DR2 2066855811800892544,FHK 544
GDR1 2163140246906862080,FHK 41,312.72872,44.38284,2MASS J20505489+4422583,2MASS J20505489+4422583,Gaia DR2 2163140251206016640,FHK 41
2MASS J20505543+4417461,FHK 539,312.731,44.29609,2MASS J20505543+4417461,2MASS J20505543+4417461,Gaia DR2 2163136609073737600,FHK 539
FHK 43,LkHA  144,312.73171,44.29731,EM* LkHA  144B,2MASS J20505563+4417502,Gaia DR2 2163136609072254848,FHK 43
FHK 44,FHK 44,312.73946,44.41272,Gaia DR2 2163140560442210688,2MASS J20505747+4424456,Gaia DR2 2163140560442210688,FHK 44
FHK 45,FHK 45,312.74196,44.49953,,2MASS J20505807+4429583,Gaia DR2 2163143098765171072,FHK 45
FHK 46,FHK 46,312.74313,44.24233,2MASS J20505834+4414323,2MASS J20505834+4414323,Gaia DR2 2067058740416252416,FHK 46
FHK 47,V1597 Cyg ,312.74346,44.24561,V* V1597 Cyg A,,Gaia DR2 2067058740416252544,FHK 47
FHK 48,LkHA  145,312.74458,44.29189,EM* LkHA  145,2MASS J20505870+4417308,Gaia DR2 2163136402915307136,FHK 48
GDR1 2163140281266601728,FHK 49,312.7448,44.38816,2MASS J20505875+4423174,2MASS J20505875+4423174,Gaia DR2 2163140281266601728,FHK 49
GDR1 2163136742213531520,FHK 50,312.74588,44.33174,2MASS J20505901+4419542,2MASS J20505901+4419542,Gaia DR2 2163136746512695424,FHK 50
GDR1 2163136746511218176,FHK 52,312.74784,44.3275,2MASS J20505948+4419390,2MASS J20505948+4419390,Gaia DR2 2163136746511218176,FHK 52
2MASS J20510029+4424364,FHK 54,312.75124,44.41009,2MASS J20510029+4424364,2MASS J20510029+4424364,Gaia DR2 2163140384345825024,FHK 54
GDR1 2163143717240796032,V1701 Cyg,312.75373,44.53047,V* V1701 Cyg,2MASS J20510089+4431497,Gaia DR2 2163143717240796032,FHK 55
FHK 56,FHK 56,312.756,44.22497,,2MASS J20510142+4413296,Gaia DR2 2067058667398796032,FHK 56
GDR1 2163135573981345280,FHK 57,312.75611,44.25956,2MASS J20510146+4415344,2MASS J20510146+4415344,Gaia DR2 2163135573981345280,FHK 57
GDR1 2163135573981345152,FHK 58,312.75654,44.26166,EM* LkHA  146,2MASS J20510157+4415420,Gaia DR2 2163135578281583744,FHK 58
GDR2 2163137120170654720,FHK 59,312.75896,44.33585,2MASS J20510217+4420091,2MASS J20510217+4420091,Gaia DR2 2163137120170654720,FHK 59
GDR1 2163140315626344064,FHK 61,312.76289,44.40076,2MASS J20510310+4424028,2MASS J20510310+4424028,Gaia DR2 2163140315626344064,FHK 61
FHK 62,FHK 62,312.76358,44.15361,ATO J312.7635+44.1535,2MASS J20510325+4409129,Gaia DR2 2066870552128893696,FHK 62
GDR1 2163140315626346880,FHK 63,312.76389,44.40429,EM* LkHA  148,2MASS J20510333+4424155,Gaia DR2 2163140319925497088,FHK 63
GDR1 2163140315626343168,LkHA  149,312.76936,44.39724,EM* LkHA  149,2MASS J20510465+4423501,Gaia DR2 2163140319925496192,FHK 65
FHK 500,FHK 500,312.77271,44.23314,2MASS J20510545+4413593,2MASS J20510545+4413593,Gaia DR2 2163135269043937280,FHK 500
GDR1 2163135677060562176,V1492 Cyg,312.77375,44.27562,V* V1492 Cyg,2MASS J20510570+4416322,Gaia DR2 2163135681360800384,FHK 66
GDR1 2163137360688842752,FHK 564,312.77463,44.39642,2MASS J20510591+4423472,2MASS J20510591+4423472,Gaia DR2 2163137360688842752,FHK 564
2MASS J20510663+4421407,FHK 527,312.77764,44.36131,,2MASS J20510663+4421407,Gaia DR2 2163137261908777472,FHK 527
FHK 67,FHK 67,312.78346,44.53056,,,Gaia DR2 2163143481021376512,FHK 67
2MASS J20510895+4416420,FHK 69,312.7873,44.27831,2MASS J20510895+4416420,2MASS J20510895+4416420,Gaia DR2 2163135647001062528,FHK 69
GDR1 2163136123738466688,FHK 72,312.80038,44.31324,2MASS J20511209+4418477,2MASS J20511209+4418477,Gaia DR2 2163136123738466688,FHK 72
2MASS J20511252+4418093,FHK 73,312.8022,44.30256,2MASS J20511252+4418093,2MASS J20511252+4418093,Gaia DR2 2163136093677664000,FHK 73
2MASS J20511262+4418454,FHK 558,312.80258,44.31261,UCAC4 672-086850,2MASS J20511262+4418454,Gaia DR2 2163136128037403264,FHK 558
FHK 75,FHK 75,312.80692,44.53961,2MASS J20511367+4432225,2MASS J20511367+4432225,Gaia DR2 2163143618460327680,FHK 75
2MASS J20511374+4422252,FHK 563,312.80727,44.37366,,2MASS J20511374+4422252,Gaia DR2 2163138567578837376,FHK 563
2MASS J20511455+4413379,FHK 77,312.81065,44.22718,2MASS J20511455+4413379,2MASS J20511455+4413379,Gaia DR2 2162947660570153088,FHK 77
GDR2 2163136059317926016,LkHA  150,312.81307,44.30488,EM* LkHA  150,2MASS J20511513+4418176,Gaia DR2 2163136059317926016,FHK 78
FHK 79,LkHA  151,312.81517,44.24861,EM* LkHA  151,2MASS J20511562+4414552,Gaia DR2 2163135367832269824,FHK 79
GDR1 2163135367823138944,FHK 80,312.81694,44.25,2MASS J20511606+4415000,2MASS J20511606+4415000,Gaia DR2 2163135372123153408,FHK 80
GDR1 2163138601937119360,LkHA  152,312.81884,44.38277,EM* LkHA  152,2MASS J20511652+4422580,Gaia DR2 2163138601938577024,FHK 81
FHK 82,FHK 82,312.82383,44.30831,2MASS J20511771+4418298,2MASS J20511771+4418298,Gaia DR2 2163136162397141504,FHK 82
GDR1 2162947591850664960,FHK 83,312.82599,44.21893,2MASS J20511824+4413082,2MASS J20511824+4413082,Gaia DR2 2162947596149035648,FHK 83
GDR1 2163136192456870016,FHK 84,312.83106,44.32515,2MASS J20511945+4419306,2MASS J20511945+4419306,Gaia DR2 2163136192456870016,FHK 84
