ID,primary_class,secondary_class
GDR1_2163140453064444544,qps,
2MASS_J20512139+4424054,b,
GDR1_2163148596322501760,b,
FHK_213,qps,
GDR1_2163140281266601728,qps,
GDR1_2067069937403328128,qps,
GDR1_2163137360688842752,qps,l
GDR1_2162940067068027264,qps,
GDR1_2162969788241973632,qps,
GDR1_2162924673904534272,qpd,
GDR1_2162121961697794304,qpd,l
FHK_579,l,
GDR1_2163136123738466688,qps,
FHK_362,qps,
GDR2_2163136059317926016,qps,
GDR1_2163135677060562176,qps,
GDR1_2162886568955114112,qpd,
FHK_142,b,
FHK_405,apd,
GDR1_2162886775113495552,qps,
GDR1_2162091003573281920,qps,
GDR1_2162221811096717952,qps,
GDR1_2067128795623856256,s,
2MASS_J20515226+4418213,qps,
GDR1_2162966798944719488,s,
GDR1_2067032760152922112,b,
GDR1_2162240708953684992,s,
2MASS_J20505363+4424305,apd,
FHK_390,qps,
GDR1_2162221673657763584,qps,
FHK_47,qps,
GDR1_2162948691363126144,apd,
GDR1_2163148768121199360,s,
GDR1_2162975698125115392,b,
GDR1_2162221776736976896,l,
GDR1_2162951474504020224,apd,
GDR1_2067034237622346240,l,
GDR1_2162955803828359040,apd,
GDR2_2163137120170654720,b,
FHK_146,apd,
GDR1_2163149317877028224,apd,
GDR1_2162988101982678912,qps,
GDR1_2067026815919131392,l,
GDR1_2162967795377160064,s,
GDR1_2163140246906862080,s,
FHK_300,s,
FHK_101,s,
FHK_234,apd,
FHK_438,s,
FHK_43,l,
GDR1_2163144644952565120,s,
GDR1_2067067807089176192,s,
GDR1_2162951027824541312,s,
GDR1_2162976419671618816,apd,
GDR1_2163135367823138944,apd,
GDR1_2162955185352996096,s,
GDR1_2162961267026674432,apd,
FHK_35,s,
PSO_J205647.351+434127.587,s,
FHK_179,l,
FHK_22,s,
GDR1_2162221639298015872,s,
GDR1_2162978172018122240,s,
2MASS_J20470481+4349114,s,
FHK_210,apd,
FHK_253,b,
GDR1_2162939208074527616,apd,
FHK_98,apd,
GDR1_2163017101601143040,s,
FHK_479,b,
FHK_203,s,
GDR1_2162935565942174208,apd,
FHK_327,s,
FHK_21,s,
FHK_524,s,
GDR1_2162961541904548992,b,
GDR1_2163144576233088640,s,
GDR1_2163138361418522624,s,
FHK_24,s,
GDR1_2163138597639123456,apd,
GDR1_2162945976943020416,s,
GDR1_2163136192456870016,apd,
GDR1_2162930652500328832,s,
GDR1_2162936665453858432,s,
GDR1_2162956903341232128,apd,
GDR1_2163143717240796032,apd,
GDR2_2162948455142499968,s,
FHK_123,s,
FHK_15,l,
GDR1_2162942918926094208,s,
GDR1_2163069500202546688,s,
GDR1_2162948141606527616,b,
GDR1_2162932993257907584,b,
GDR1_2162965699433784192,s,
2MASS_J20511262+4418454,s,
GDR1_2162235726791704960,apd,
GDR1_2162946080022052992,apd,
GDR1_2162949378557115136,s,
