ID,OUR_PER,REB_PER,OUR_Q,REB_Q
2MASS_J20510895+4416420,1.1904892992814269,6.147,0.7836237938229438,0.834624477217039
2MASS_J20532233+4438526,2.430701548636463,1.6985720000000002,0.6584172151890357,0.6727777942245158
2MASS_J20570162+4341387,2.988385751009951,0.748,0.611440255117138,0.6889650682385488
FHK_164,0.9100281678783224,10.186712,0.7424111892945936,0.770544931346294
FHK_272,174.69689679726775,35.228,0.782494348606803,0.9613451518263348
FHK_285,222.58683877368026,6.82,0.6435814921205213,0.8787511600568833
FHK_344,0.8455045803745623,9.845,0.7036384657995763,0.9626234933502357
FHK_451,148.89495763028842,14.99,0.8186822258381358,0.8347295695820857
FHK_490,0.5728399018679062,1.3459999999999999,0.6955248908817139,0.710426530347332
FHK_493,224.32583444626843,7.379,0.6476842787439648,0.7617326023617315
FHK_511,11.531506830885775,4.961,0.5030621244549445,0.6216139318618825
FHK_579,1.360431576396984,3.737,0.8446176444778818,0.9103431493136975
GDR1_2065995748890512768,5.945187964157264,1.202,0.4869634770413387,0.5409655571349526
GDR1_2162078393549548288,0.5518872465277158,5.165,0.6688696032227105,0.723248282756372
GDR1_2162886568955114112,0.9043521977751379,9.72,0.851772485554396,0.8819989566201031
GDR1_2162902683672550912,0.8155199444573179,4.473,0.8143282645647754,0.8316677199057492
GDR1_2162946526698717056,9.569722650362934,4.781000000000001,0.7788451353890751,0.8981852949506415
GDR1_2162946767216898432,0.8061279849238034,4.16,0.8049311822914333,0.8284100351117613
GDR1_2162947798009095808,1.1119110718397691,9.673,0.8113391643060103,0.8194367467334738
GDR1_2162949378557095680,1.1705805296973055,6.7170000000000005,0.8280895027117297,0.8334120332688513
GDR1_2162989201494332800,9.038308843730665,12.511,0.6981672002396797,0.8547909208026766
GDR1_2163137738645105280,7.7590743757567875,3.884,0.6769984456757938,0.8210118777345362
GDR1_2163155227752761088,0.8619208438382044,6.3420000000000005,0.786911151092282,0.7782349186319372
GDR2_2163136059317926016,0.8066084675227408,4.175,0.845292814547522,0.9016188092331112
GDR2_2163139804529410944,0.912892955033662,10.81,0.7906503511423998,0.8139472371269719
