star Identifier,odr slope,odr slope error,intercept,intercept error,angle,angle error,pythag
GDR1_2162127562335172992,5.105503910398453,0.9857194041682416,10.539615021225512,1.5507111447418298,78.91793946719876,2.0505677399060636,0.47950338233442696
GDR1_2162127974652045056,1.9794168203344453,0.26864242606354216,14.898204640903796,0.456731043770092,63.19712623283736,3.0963848927610957,0.40390758361106976
GDR1_2162128009011784832,5.274498821305656,0.7469170240092469,7.404731185646338,1.4475567790052017,79.26462548345704,1.4532649200762315,0.45551605517413934
GDR1_2162134880959435904,1.5788146214538135,0.16674316899590325,16.140420083392762,0.2878946202113015,57.65037837465463,2.727654975027208,0.4604603010336198
GDR1_2162135327636039936,2.4870139419148733,0.12672161485507427,15.755914533865788,0.19136592342672198,68.09550191610357,1.005054069049656,1.9218541917916423
GDR1_2162221536218867072,4.489268897332394,0.8958313558978219,10.433292003854456,1.685957870847183,77.44219218285888,2.333705864959073,0.6446406951946593
GDR1_2162221639298015872,1.5706390110727675,0.10756770282372918,16.636760790824052,0.19063486416426834,57.515763665481714,1.7766472705147116,1.0838075083514025
GDR1_2162221673657763584,2.0885212292727466,0.5173224054120876,16.641650354673093,0.9464617930425447,64.41454249735872,5.233017348484854,1.8746038437932084
GDR1_2162221673657766272,1.3886525671331902,0.12746201954283065,16.55662995724423,0.23549361793751622,54.24148929959734,2.489580391581633,0.484433517588377
GDR1_2162221776736976896,4.380645043479463,0.4498402240788635,7.055200664685989,0.7577190684505011,77.14103765448473,1.2591840787850077,0.5248410882176323
GDR1_2162221811096717952,2.1937031376855787,0.12440086942346817,14.165402684815142,0.22816025539447615,65.49412032949981,1.2189555317139011,0.6823804587285734
GDR1_2162223086709799296,1.1967645464855554,0.1487943532787135,18.418838894884402,0.25235862377604334,50.118333246725996,3.4377634065733544,1.2747841740971053
GDR1_2162224147560188672,1.2201725998220583,0.0987117985650684,18.463122333489345,0.15658288702967127,50.66345503003588,2.2770375055330314,1.0674119483529165
GDR1_2162227205576431488,2.430018581894415,0.1042672748193314,14.71639056897265,0.09311163761190677,67.63187913477897,0.8639934082147573,3.415674319396466
GDR1_2162231676644797824,0.8360570762511049,0.029587949884571252,18.69797614484172,0.06678989893508991,39.89754816607523,0.9970815464301005,0.8260392937884729
GDR1_2162235726791704960,2.8326000929233777,1.312913530391849,14.126884010760913,2.83083878097002,70.55531036349068,8.132552954864904,3.37279362717355
GDR1_2162235795513138560,1.2921492419677536,0.14343134062520735,18.120043284808233,0.26433465565085257,52.26355401924131,3.059899657290118,1.5060368144443472
GDR1_2162239506362783488,1.4648733932123978,0.09181294654558814,17.645224843437795,0.18491685820495363,55.68048913028714,1.6640991327162211,1.3290053153864874
GDR1_2162240708953684992,4.309656336946805,0.5262669764681549,12.078288200173152,0.9877268628540374,76.93643326626008,1.5156978263538707,2.10833808531795
GDR1_2162251394832460672,1.3205278830963487,0.08308743992519352,17.16979663018969,0.18085242201172846,52.86433814002152,1.7255373444050592,0.7586838739193512
GDR1_2162872928138757248,2.8908905391944755,0.2180439287190976,14.5739931297575,0.34157529913009377,70.91877133839112,1.3730125260525667,3.3546589819585
GDR1_2162886568955114112,4.394777358522186,0.4138837072392749,8.99570882874608,0.7714204109342395,77.18102011191615,1.1545950281077828,1.017988908289791
GDR1_2162886775113495552,2.227719417971577,0.2747560832559872,14.4400478059536,0.5230511333316734,65.82518559951578,2.6114098849003056,2.686090663532161
GDR1_2162902683672550912,4.513267174933453,0.4184441869053881,9.825882780093922,0.7397047354238229,77.50686393622439,1.1246129182514717,1.1158198466162155
GDR1_2162903680105026176,1.4529138385766196,0.3322589258739299,17.251236228129038,0.7527304756145501,55.46141907522817,5.9267595295259525,2.2120333314390477
GDR1_2162904161141389696,2.2466307236610383,0.20161520771375252,14.52195004472517,0.3963149812750437,66.00562863521596,1.9052688310593395,1.5522768381793526
GDR1_2162909830498130048,2.6479333324292726,0.18657810544634224,12.595583712080463,0.42062757920199534,69.31080446962085,1.328740862648582,0.8011172009496751
GDR1_2162924673904534272,3.839265994388736,0.32148355548022645,11.422500541706919,0.6602820125677651,75.40075272582405,1.1699811640504072,1.7828224255544027
GDR1_2162930652500328832,1.216447407852066,0.04658644103328846,17.9072412808664,0.10929222369344416,50.57754018281606,1.0740110784544672,1.2239187723454794
GDR1_2162931580213813632,0.9082230153033541,0.020437521489641897,18.84584034387131,0.038282907913503195,42.24645133451721,0.6418413754774542,1.0510815653954217
GDR1_2162931786370808448,5.5400327448752495,0.24677410095737917,5.96289999602744,0.488644026063378,79.76803856007652,0.4454424525704344,1.5914996863694626
