coordinate,ols_slope,ols_r_sq,ols_inlier_slope,ols_inlier_rsq
20:51:14.80+42:48:19.8,-1.14863235758245,0.8470586535024665,0.18864476861597138,0.6549966184692847
20:52:53.43+44:19:36.3,1.052333379723259,0.5897639694218672,1.0062060697330963,0.8506860636194691
20:54:10.15+44:31:03.0,0.8177916248422621,0.618598029607752,0.3539266185340395,0.44258587415900386
20:59:05.98+44:26:55.9,0.46690289653164063,0.8260390851755671,0.17156610449839485,0.9978742202183023
20:51:24.70+44:18:18.5,0.42471497668957925,0.12476386564178649,0.14896021577427038,0.07306941735931875
20:53:40.13+44:10:45.6,1.4652984342475575,0.44644293961637205,1.486491628125333,0.8192387929451314
20:58:06.10+43:53:01.4,0.8325144042456444,0.3843971036107708,0.7351593574536672,0.6735428247606015
20:54:13.74+44:24:32.4,1.2715778123174848,0.39618511109307525,1.8923838423931347,0.8046410657595039
20:52:52.48+44:14:24.9,1.4117785079207732,0.2559116820093749,2.616691551383043,0.8549073927528343
20:50:36.93+44:21:40.8,0.721301935938067,0.15654003001668157,1.6184267959685872,0.7394137478149064
20:54:51.27+43:06:22.6,0.5788570756194916,0.19077993389075923,0.7607661780527514,0.6838262101132054
20:52:54.30+43:52:16.3,1.8204762415143705,0.515965935241782,2.400063485483375,0.8630731721223773
20:55:03.01+44:10:51.9,1.4084843547887838,0.4862621770670889,1.408615982433019,0.7701359593995561
20:51:45.99+44:28:35.1,0.6725681451382026,0.24734792488916255,0.4343943513416903,0.39511709783411597
20:58:39.73+44:01:32.8,-1.035774499161653,0.11943927553643201,-0.23245461528034345,0.05268631040554908
20:54:45.66+44:43:41.8,0.7863874454204111,0.24019501601247298,0.9700243734710889,0.6841330272608679
20:59:06.69+44:18:23.7,-0.1246062168465388,0.012152011346561653,0.4322878121291393,0.9957052208680628
20:51:39.93+44:33:14.1,3.2598862414338656,0.6343695645686195,2.4766424823732414,0.8423571043904132
20:53:15.62+43:44:22.8,2.556806920397036,0.7891943643539817,1.9585565279374342,0.8736046712089381
20:52:28.33+44:21:14.7,1.766942172584582,0.5813228761276864,1.7900387000759437,0.8054116305317327
20:54:46.61+44:12:05.7,0.657682655681656,0.31882519990129793,1.0093378116463039,0.8253328052201706
20:51:15.14+44:18:17.4,1.7619161345105865,0.597472987607604,1.4983354352451954,0.7891455729898077
20:51:58.63+44:14:56.7,1.4026251472141305,0.6820982525951279,1.583046174247117,0.8581364381167256
20:52:03.65+44:28:38.1,0.9836857868287008,0.6233634436614871,0.9978102004624997,0.8831334746380328
20:51:55.70+44:33:52.6,0.9941914640846706,0.22801234837280113,1.1655988527441365,0.7195125700961137
20:56:59.32+43:47:52.9,2.0457162225272425,0.8346709067292021,1.8475866076086298,0.8987917470452264
20:58:01.36+43:45:20.5,1.5762039663889662,0.41008389159032815,1.5322921680836776,0.6791881185079451
20:58:25.55+43:53:28.6,0.4397453362213264,0.13403769577180857,1.662476034959368,0.7891323026059106
20:50:32.32+44:26:17.4,0.9415632346751199,0.8666090328901773,1.026105132803856,0.9177231645429077
20:53:14.00+44:12:57.8,1.035204933558585,0.5661667336189364,1.1398515725557508,0.8649111826733917
20:51:00.90+44:31:49.8,3.160754310371289,0.3754577954557325,5.7594000653169175,0.9110259191639286
20:54:24.41+44:48:17.3,2.2336930076230046,0.44016415973288125,3.8955643511352354,0.8903829930281956
20:51:19.43+44:19:30.5,0.6113628860546392,0.09305958489744408,-0.13536198259051804,0.05442361650186737
20:51:23.59+44:15:42.5,1.2217075711229115,0.715874915810794,1.2348502042678915,0.875017237479381
20:52:30.89+44:20:11.3,0.6968766379893139,0.08683284453767384,0.86598147926495,0.2203028489215205
20:51:39.26+44:24:28.0,2.5136093100967423,0.6139386849960434,2.074682553259783,0.7596904248351992
