ID,mean_r
2MASS_J20505039+4450115,16.876935947682117
GDR1_2162967795377160064,15.391868904113924
2MASS_J20532233+4438526,15.530116970476191
GDR1_2163140315626344064,16.862320221725238
GDR1_2162909830498130048,16.323365861235956
GDR1_2162931786370808448,14.862886073025049
GDR1_2162962985013647616,16.188776685971224
GDR1_2163140246906862080,17.635158098101265
GDR1_2162961541904548992,14.837731647852761
GDR1_2163069500202546688,17.419238013523135
GDR1_2163136192456870016,17.171662231012657
GDR1_2162134880959435904,17.12875148013245
GDR1_2162128009011784832,15.738759987959865
GDR1_2066790146043148928,16.51341547033333
GDR1_2163139937669407872,15.32480987120253
GDR1_2163145984982389632,16.54426884177215
GDR1_2162886568955114112,15.453546489272028
GDR1_2162988754817727232,15.681671987692308
2MASS_J20533662+4439529,16.721199944303795
GDR1_2163141208978477312,17.764991392405065
GDR1_2162240708953684992,18.411467504299065
GDR1_2067120514926515200,16.555612523765433
GDR1_2162961267026674432,16.743939964102562
GDR1_2162989201494332800,14.531002381176473
GDR2_2162948455142499968,16.939160590625
GDR1_2162091278451209472,17.180913789679717
GDR1_2067062824937136000,14.797057259177215
2MASS_J20510895+4416420,18.22884172435065
GDR1_2162952711451794176,17.29874067120253
2MASS_J20505363+4424305,17.000678722364217
2MASS_J20512059+4420322,16.97498299079365
2MASS_J20510029+4424364,18.333751248089172
GDR1_2162978172018122240,17.77974153322785
GDR1_2067067807089176192,17.492141815891475
GDR1_2163140968460295680,15.265812181329117
GDR1_2162984631649047936,17.495358950632912
GDR1_2163143717240796032,15.958055012658228
GDR1_2162221811096717952,16.332937650662256
GDR1_2067128658184872064,17.435537612727273
GDR1_2162951474504020224,15.59799658622951
GDR1_2162947591850664960,15.534116549446495
GDR1_2162935565942174208,17.357072902862594
GDR1_2162988101982678912,16.58704143128834
GDR1_2163137738645105280,16.11277988386076
GDR1_2162965287117378944,17.857208163291137
2MASS_J20511455+4413379,17.319683960516606
GDR1_2162949378557115136,15.806769566903071
GDR1_2163139873247408384,18.230372762974685
GDR1_2162969788241973632,14.161540622699382
GDR1_2162942918926094208,16.984882794291757
GDR1_2162955185352996096,17.553402915238095
2MASS_J20511374+4422252,18.713989500955414
GDR1_2162944911791083136,15.98720932423077
GDR1_2162117563651224960,17.195405385430462
GDR1_2163138361418522624,14.83070555063291
GDR1_2162902683672550912,16.040120445676692
GDR1_2163135573981345152,15.458944435973597
GDR1_2162221673657766272,17.284063567880793
GDR1_2162945976943020416,17.517297898325356
GDR1_2162965012238950656,17.702651426265824
GDR1_2163136123738466688,17.856060620915034
GDR1_2163135677060562176,14.880948977096775
GDR1_2162949309837722880,17.805405756962024
GDR1_2163155055959979392,14.808467292038218
GDR1_2066844954118735744,17.179727661999998
GDR1_2162969788241971712,17.190797483128836
GDR1_2163155227752761088,18.26475209556962
DPP2017_409,17.163282937962965
GDR1_2162966798944719488,16.708739242771085
GDR1_2162941716335179008,17.973610135294113
GDR1_2163215391652091520,17.890102136942673
GDR1_2065995748890512768,15.126327520529802
GDR1_2163140315626343168,14.460411889556958
GDR1_2162936665453858432,17.280940823900576
GDR1_2162126325384584576,17.284203926158938
GDR1_2162221536218867072,17.01047079271523
GDR1_2162946526698717056,17.398006147232472
GDR1_2163136742213531520,17.571178858544304
GDR1_2163136364255498624,14.763744509661835
2MASS_J20510663+4421407,15.645576844303799
GDR1_2163017101601143040,17.63563067125382
GDR2_2162951684957670144,14.00024013918575
GDR1_2163138601937119360,15.311396306962028
GDR1_2162078393549548288,14.473482460264899
GDR1_2162948141606527616,17.771286724752475
GDR1_2163138116611233408,18.112394731962024
GDR1_2162938074203123712,17.1272569027451
GDR1_2162127974652045056,16.54455093311037
2MASS_J20511262+4418454,13.068657866019418
GDR1_2163144541882323584,18.032306264444443
GDR1_2162947798009095808,16.540460474907754
GDR1_2162949378557095680,17.250871053768847
GDR1_2162940067068027392,17.707663938653365
GDR1_2163135573981345280,16.425334344518273
GDR1_2067069937403328128,17.987367584393063
2MASS_J20505543+4417461,17.795238330939227
GDR2_2067027228235955584,18.018390788448844
GDR1_2162989510731974016,17.102169000309598
GDR1_2163020881172468608,15.300166646788991
GDR1_2162939208074518912,17.90623305700389
GDR1_2163148596322501760,13.942275634603174
2MASS_J20582381+4353114,13.15541461960133
GDR1_2163144473153865856,17.764639197151897
GDR1_2162251394832460672,17.8793402853211
GDR2_2163139804529410944,16.43917278607595
GDR1_2162886775113495552,16.716647277254904
GDR1_2067059732550905600,16.649337016091955
GDR1_2163149317877028224,18.180910629746837
GDR2_2162926254452857472,18.005319249664428
2MASS_J20512139+4424054,13.141350378481015
GDR1_2067074301079809408,17.360921175766016
GDR1_2162965699433784192,17.21367645189873
GDR1_2163156052385630336,16.690521618670886
PSO_J205647.351+434127.587,13.25320285397351
GDR1_2162924673904534272,17.327595406333337
GDR1_2162946767216898432,17.39375896355932
GDR1_2162122339654917120,16.748250714950167
GDR1_2163144644952565120,16.92048692879747
GDR1_2163135367823138944,17.05020224222222
GDR1_2162932851524210816,17.33695864038095
GDR1_2162976419671618816,17.59101980462963
GDR1_2162221639298015872,17.64846815231788
GDR1_2162951749379088640,17.028982650316454
GDR1_2162904161141389696,17.040008815599997
GDR1_2162956903341232128,17.13692101174603
GDR1_2163136746511218176,17.589087183174602
GDR1_2163149661474923520,18.67234145382166
GDR1_2162948107246789120,17.922280920462047
2MASS_J20475581+4329019,17.6808145717608
GDR1_2067062618768745728,17.49595725308411
2MASS_J20522880+4418297,18.360091347619047
GDR2_2163136059317926016,16.240582676265824
GDR1_2067026815919131392,16.43248228217822
GDR1_2162126187945624704,16.628129056291392
GDR1_2162933882314931968,16.913563771946563
GDR1_2162121961697794304,16.536406207615897
GDR1_2163138288400926464,16.514140796835445
GDR1_2162952470933669632,16.819040310126585
GDR1_2162951027824541312,18.507607537717604
GDR1_2162091003573281920,18.01416574013841
GDR1_2162975698125115392,17.7474216803681
GDR1_2162947420052773760,18.20789333582677
GDR1_2067026953358039552,18.190070663366342
GDR1_2163148768121199360,16.66576390474684
GDR1_2161843098061857280,18.317500283552633
GDR1_2067034546860024960,16.38655536534653
GDR1_2067061691055800448,18.103201732226562
