,ID_1,RA,DEC,PER,Q,M,NU,rMean,primary_class,secondary_class,ra_1,dec_1,id_2,ra_2,dec_2,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,ra_3,dec_3,AllWISE,RAJ2000_3,DEJ2000_3,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,ccf,ex,var,qph,__3_6_,e__3_6_,__4_5_,e__4_5_,__5_8_,e__5_8_,__8_0_,e__8_0_,__24_,e__24_,__70_,e__70_,RAJ2000_4,DEJ2000_4,Separation
11,2MASS_J20511262+4418454,312.8025823261458,44.31261411198452,,0.9242049843747248,-0.1438433211379148,0.0138383504745644,13.068657866019418,s,,312.8025823261458,44.31261411198452,2MASS_J20511262+4418454,312.8025823261458,44.31261411198452,10.868,10.15,9.936,0.024,0.031,0.023,AAA,222.0,312.8025823261458,44.31261411198452,J205112.62+441845.5,312.8026228,44.3126405,9.791,9.732,9.105,6.561,0.027,0.028,0.1,0.131,hh00,0,nnnn,AAAB,,,,,,,,,,,,,,,0.0
12,2MASS_J20511374+4422252,312.8072667450728,44.37366095322359,2.076397141535264,0.4461851170838893,-0.1411884111549158,0.0107920382475184,18.71398950095541,qps,,312.8072667450728,44.37366095322359,2MASS_J20511374+4422252,312.8072667450728,44.37366095322359,13.756,13.013,12.631,0.03,0.038,0.028,AAA,222.0,312.8072667450728,44.37366095322359,J205113.74+442225.3,312.807254,44.3737105,12.486,12.3,11.361,8.352,0.04,0.044,0.264,,0000,0,nnnn,AABU,,,,,,,,,,,,,,,0.0
13,2MASS_J20511455+4413379,312.8106511817742,44.22717526035429,235.49834708820163,0.8162451231014634,0.1011985655939593,0.007355554428609,17.319683960516606,qps,,312.8106511817742,44.22717526035429,2MASS_J20511455+4413379,312.8106511817742,44.22717526035429,13.362,12.359,11.878,0.029,0.033,0.019,AAA,222.0,312.8106511817742,44.22717526035429,J205114.55+441337.8,312.8106341,44.2271802,11.432,10.933,9.343,7.299,0.025,0.024,0.08,0.125,00oO,0,331n,AAAB,11.44,0.05,11.07,0.05,10.75,0.06,10.09,0.06,7.2,0.05,,,312.81066888888887,44.22715805555555,0.0
14,2MASS_J20512059+4420322,312.8358131674537,44.34228588851912,1.6237859092888862,0.8095383894053254,-0.1186045271956734,0.0070382604601158,16.97498299079365,qps,,312.8358131674537,44.34228588851912,2MASS_J20512059+4420322,312.8358131674537,44.34228588851912,13.126,12.245,11.902,0.022,0.029,0.021,AAA,222.0,312.8358131674537,44.34228588851912,J205120.58+442032.3,312.8357503,44.3423213,11.762,11.656,10.802,7.819,0.025,0.024,,,0d00,1,11nn,AAUU,,,,,,,,,,,,,,,0.0
15,2MASS_J20512139+4424054,312.83911742903166,44.40149991620572,0.5106580216047949,0.8325747852256932,-0.2480327270351282,0.0078098505966115,13.141350378481016,b,,312.83911742903166,44.40149991620572,2MASS_J20512139+4424054,312.83911742903166,44.40149991620572,11.177,10.66,10.449,0.022,0.03,0.018,AAA,222.0,312.83911742903166,44.40149991620572,J205121.38+442405.4,312.8391017,44.4015068,10.388,10.424,9.893,7.565,0.024,0.021,0.152,0.246,0h00,0,110n,AABB,,,,,,,,,,,,,,,0.0
16,2MASS_J20515226+4418213,312.9677502432141,44.3059157295101,0.662699130096249,0.8561810230389204,0.0385424227762103,0.0280091086084606,18.200085904761902,qps,,312.9677502432141,44.3059157295101,2MASS_J20515226+4418213,312.9677502432141,44.3059157295101,14.231,13.171,12.564,0.032,0.032,0.03,AAA,222.0,312.9677502432141,44.3059157295101,J205152.26+441821.3,312.9677547,44.3059328,12.075,11.731,12.097,8.235,0.027,0.024,,,000d,0,33nn,AAUU,11.96,0.05,11.68,0.05,11.55,0.06,11.21,0.09,8.0,0.07,,,312.96780388888885,44.30587388888888,0.0
17,2MASS_J20522880+4418297,313.1200224959053,44.30822974945297,9.99374602603372,0.5679315895943079,0.3024947219260814,0.0382967377905526,18.360091347619047,qpd,,313.1200224959053,44.30822974945297,2MASS_J20522880+4418297,313.1200224959053,44.30822974945297,14.135,13.029,12.492,0.034,0.036,0.028,AAA,222.0,,,,,,,,,,,,,,, ,,,11.67,0.05,11.29,0.05,10.61,0.06,10.41,0.06,7.82,0.05,,,313.119965,44.30823111111111,0.0
18,2MASS_J20523394+4429168,313.14143743188987,44.48800174730115,8.615267332984464,0.2916550467353051,0.0283156944957879,0.0084458600536999,17.406404526265824,p,,313.14143743188987,44.48800174730115,2MASS_J20523394+4429168,313.14143743188987,44.48800174730115,13.533,12.548,12.197,0.027,0.031,0.025,AAA,222.0,313.14143743188987,44.48800174730115,J205233.94+442916.8,313.1414258,44.4880077,11.957,11.916,11.958,9.22,0.024,0.022,,,0hO0,0,34nn,AAUU,,,,,,,,,,,,,,,0.0
19,2MASS_J20532233+4438526,313.3430529515253,44.64793142704991,2.430701548636463,0.6584172151890357,-0.1285920806696756,0.0071508749306128,15.530116970476191,qps,,313.3430529515253,44.64793142704991,2MASS_J20532233+4438526,313.3430529515253,44.64793142704991,11.875,10.876,10.581,0.024,0.028,0.023,AAA,222.0,313.3430529515253,44.64793142704991,J205322.32+443852.5,313.3430409,44.647931,10.253,10.2,9.725,7.745,0.023,0.021,0.077,,0000,0,110n,AAAU,,,,,,,,,,,,,,,0.0
20,2MASS_J20533662+4439529,313.40262665227465,44.66467215720368,3.2087630887766,0.4437691410717629,0.4126213552703583,0.0099865396801206,16.721199944303795,qpd,,313.40262665227465,44.66467215720368,2MASS_J20533662+4439529,313.40262665227465,44.66467215720368,12.772,11.718,11.381,0.022,0.029,0.023,AAA,222.0,313.40262665227465,44.66467215720368,J205336.62+443952.8,313.4026127,44.6646718,11.134,11.122,10.558,7.641,0.023,0.021,,,0h00,0,11nn,AAUU,,,,,,,,,,,,,,,0.0
