ID,POW1,PER1,POW2,PER2,Q,M,90%_FAP,95%_FAP,99%_FAP
2MASS_J20505039+4450115,0.5234780286015395,222.58683877368352,0.003242003894259762,1.2521757377994116,0.47588203026815484,0.30191147579045136,0.06489350278744194,0.06961956958627703,0.08017755296831942
GDR1_2162967795377160064,0.10016629785695888,4.937556459557115,0.009581709220458357,222.58683877368352,0.8776672010646388,-0.1689898917920712,0.06247422329483887,0.06699931616388495,0.07711273146473965
2MASS_J20532233+4438526,0.2705168594355096,2.4307015486367867,0.002441605418849389,1.2514037998639134,0.661981132090528,-0.12439112475283629,0.062476152076163305,0.06700122870597564,0.07711461099193444
GDR1_2163140315626344064,0.22102882939971802,8.383979932450698,0.0048096941081579095,1.2514037998639134,0.7691353642137344,0.1824554301158332,0.062444699017299085,0.06697004052021568,0.07708396127508522
2MASS_J20503796+4425123,0.2695906124684561,3.368503786824868,0.0009506039647801885,222.58683877368352,0.5648893621943069,0.03433188663727063,0.062479250392709754,0.06700430093741716,0.0771176301910497
PSO_J205601.466+433543.777,0.10574986372402165,200.49366411670795,0.007724184094736208,1.2514243210873306,0.3084085060265167,-0.33589990332038455,0.06525341772725603,0.0700096825553845,0.08063442863882976
GDR1_2162909830498130048,0.16596371716861108,138.8486620682859,0.0020870933662601975,1.2572166414004902,0.8203049530030029,0.17385567259223195,0.03923487453104716,0.04195186457535518,0.048047224312766264
GDR1_2162931786370808448,0.1957764864342151,154.72348245368377,0.012002238184675858,1.2514037998639134,0.8036806420245328,-0.16284931222166119,0.040346345817930646,0.043150063949222835,0.049438811130075866
GDR1_2162962985013647616,0.2568612974574494,95.01240309657845,0.010866671734902869,0.5003441179230692,0.6970419400999679,0.008427993140920532,0.0685217487800765,0.07362738560643708,0.08502262483728878
GDR1_2162967864096636288,0.06986542299214496,250.0,0.0036410051006186875,1.2642637333879918,0.7888589745437198,-0.24481611386931554,0.06247137322473568,0.06699649009056537,0.07710995417727752
GDR1_2163140246906862080,0.09430710634021447,18.950077636921648,0.005647427445561493,1.2529486286742908,0.8770605725987237,0.3241030406415772,0.06248073047046382,0.06700576855462707,0.07711907247515325
GDR1_2162961541904548992,0.05576779292108073,40.10151150823609,0.004873092116727161,222.58683877368352,0.9003038855485208,-0.2849655462795853,0.06078937036875059,0.06518166550427491,0.0750010000323588
GDR1_2163069500202546688,0.08121737968225083,44.01430309532005,0.008220681396661227,222.58683877368352,0.9262911993233414,0.06206171395552989,0.0692949012815834,0.07435495801849086,0.08565145095768854
2MASS_J20500617+4425050,0.1301019975333471,6.112033468936652,0.03315574609237609,222.58683877368352,0.7502223535004398,0.016336836737168972,0.07169582865348138,0.07693132805200499,0.08861546089806661
GDR1_2162976935068180608,0.05676836507226957,19.877914103667575,0.0023613474375508915,1.2514037998639134,0.8776782077984685,-0.33285225127594564,0.06245665269044103,0.06698189351470259,0.07709560960348379
GDR1_2163136192456870016,0.045199691552575846,1.5012921967261101,0.0009663206780860228,1.2514037998639134,0.9520334173633516,0.31375878279652847,0.06253597333258357,0.06706054652562125,0.07717290520157462
GDR1_2162134880959435904,0.6706501164319233,3.371512309641955,0.002837136008546304,222.52661922540014,0.21602756481759833,-0.03255408190267313,0.06490114520662517,0.06962714557393306,0.08018499379534133
2MASS_J20531994+4428438,0.21842358781139667,2.615481538198756,0.00019078048957182014,222.58683877368352,0.6956176029656566,-0.10501104496555336,0.06245155437346809,0.066976838135688,0.07709064151254083
GDR1_2162128009011784832,0.2423625841032733,250.0,0.0008100733227793603,1.2514243210873306,0.7691745292166559,0.13191003695916023,0.06494796937676324,0.06967356287718396,0.08023058322024254
GDR1_2162952745812291712,0.11170044351014866,30.01975094951295,0.010514112965774331,1.2514037998639134,0.8804524320934386,0.3615845070209154,0.06256577628757763,0.06710528716057844,0.07725049540567236
GDR1_2066790146043148928,0.3029820191284222,250.0,0.003808817174974147,1.253360791346083,0.709746019984414,0.10170968776206524,0.06530587461774871,0.07006168143707761,0.08068549550050454
GDR1_2163139937669407872,0.23674881181790297,6.048294312113568,0.002785916365626033,1.2525620640091768,0.7422481776734993,-0.06665640441106661,0.062475843121104616,0.06700092235211125,0.07711430992639774
