ID,Period,Power,90% FAP,95% FAP,99% FAP,99.9% FAP
2MASS_J20475581+4329019,6.85255275888319,0.0694234836480734,0.06492486027876705,0.0696672694197231,0.0802611559130912,0.09495200057182071
GDR1_2067062618768745728,9.48563908995328,0.2585182364472133,0.039303284188746686,0.042025197861944814,0.04813154482943561,0.05665682289320017
2MASS_J20522880+4418297,9.975070099508608,0.43940480935952914,0.06259752663844574,0.06713676936543274,0.07728143254175127,0.09135935188384538
GDR2_2163136059317926016,270.6569020333336,0.19512164456124484,0.062466545691915454,0.06699170320645464,0.07710524993159415,0.09114074389520443
GDR1_2067026815919131392,103.84253026922988,0.09282773253345868,0.0646282980113495,0.06934016288363898,0.0798666117922318,0.09446560880743192
GDR1_2162126187945624704,238.22698120588032,0.1714651798997737,0.06492478409120522,0.06965057902192152,0.08020800924386151,0.09484953598267372
GDR1_2162933882314931968,6.622925824632959,0.2896231290645506,0.03992669352920855,0.042693756907164614,0.04890084221890912,0.05756552583099524
GDR1_2162121961697794304,269.9905786999977,0.1666235888643491,0.06501585029562738,0.06974085442194831,0.0802966753056551,0.09493621226265495
GDR1_2163138288400926464,270.6569020333336,0.06439902450729947,0.06239302609083858,0.06691880300385593,0.07703360879342341,0.09107065687000268
GDR1_2162952470933669632,5.799790757857149,0.3001045927468792,0.06239598856463814,0.06692174050626648,0.07703649554201411,0.09107348097960313
GDR1_2162964977879706112,5.4537117599431895,0.483346886964998,0.32422106008329366,0.3486908525319322,0.4004925288175987,0.46628058615966644
GDR1_2163139731509868160,5.231770013530933,0.1848184913226742,0.06262693793286254,0.06716593237740325,0.07731009081024305,0.09138738703514454
GDR1_2162951027824541312,202.99267652500018,0.13295147855617606,0.040488045766479575,0.043302292163264866,0.04961451955871563,0.058424482463949504
GDR1_2162091003573281920,32.66015064919326,0.1319698156580807,0.06718157122031232,0.07211225765635987,0.08312224166083018,0.09838025051935832
GDR1_2066794818967689472,2.396366083136074,0.5302851642219586,0.0652481236471016,0.07000443471666212,0.0806292748898836,0.09536265916625676
GDR1_2162975698125115392,104.09880847435907,0.13738466006177316,0.060715968899006274,0.06510886970485541,0.07492943446124947,0.08856419691379762
GDR1_2162947420052773760,270.6569020333336,0.13546531263653663,0.07176931937059117,0.07737671857223585,0.08987406617845725,0.10714556492794547
GDR1_2067026953358039552,3.5713039510581703,0.4402782889324667,0.06461987369750162,0.0693318117205914,0.07985840940734398,0.09445759024357003
GDR1_2163148768121199360,270.6569020333336,0.13262477657196833,0.062428147659511005,0.06695362859330421,0.07706783277864437,0.09110413832587475
2MASS_J20505669+4417055,8.02342594960475,0.09813185100629365,0.06314322280010004,0.06772398909343993,0.07796059366311678,0.09216417254003481
GDR1_2162977523478063872,270.6569020333336,0.11957773058413633,0.06245522405793363,0.06698047691380088,0.07709421746164372,0.09112995069672769
GDR1_2161843098061857280,3.546286059982456,0.2556220152136389,0.06496982698270144,0.06966235053318541,0.08014681912742012,0.09468970782277517
GDR1_2067034546860024960,8.265017715306051,0.38506123973343287,0.06466661794453371,0.0693781501802132,0.0799039225025767,0.09450208349841421
GDR1_2067061691055800448,213.67650160526338,0.48889447877968395,0.04083460850483417,0.04367560080348302,0.05004745571543823,0.058939844833536835
GDR1_2162127562335172992,3.9280879539281917,0.3704374642397722,0.06482193175732635,0.06954862102168047,0.08010787070087588,0.09475164621906657
GDR1_2162965390195367296,238.81491355882378,0.09811806815381603,0.06406782772144243,0.06868773767594243,0.07901156047409283,0.09333514140589268
GDR1_2162903680105026176,9.021896734444454,0.33882605013444056,0.0402352285024947,0.043022689780804646,0.04927531524009013,0.05800305869232598
2MASS_J20511252+4418093,7.991837658464576,0.5880680661726433,0.06243907686693913,0.06696446572787616,0.07707848275233917,0.09111455727611277
GDR1_2163149214797802752,253.74084565625026,0.26913335811114575,0.0625156165070594,0.06704036096803251,0.07715306789670417,0.09118752502356042
GDR1_2163140315626346880,270.6569020333336,0.28872623429533456,0.06257482931607251,0.06709907574152096,0.07721076990877493,0.091243976393312
GDR1_2067034237622346240,269.9905786999977,0.22093719337265608,0.06499126090563553,0.0696999820538529,0.08022003323874953,0.09481112027037798
GDR1_2162220917743579520,269.9905786999977,0.13884388490494087,0.0645737207277509,0.06935281468441527,0.08002667254096946,0.09482492090592295
