ID,RA,DEC,PER,Q,M,NU,rMean,primary_class,secondary_class
2MASS_J20470481+4349114,311.77007069097664,43.8198374299041,,0.8928500841630572,0.12492324306354025,0.03180899729498902,19.034893894594603,s,
2MASS_J20475256+4345137,311.9689046469143,43.75372371764185,5.936473228170153,0.30488947589909965,0.2660667052373756,0.009571418978909828,18.24218667194719,p,
2MASS_J20475581+4329019,311.98252525962954,43.48387322013138,1.0135858720916306,0.9296843382924852,-0.01871885547554755,0.07228772449697304,17.6808145717608,s,
2MASS_J20483292+4351190,312.1371734648398,43.85529686187581,,0.6406015875585829,-0.6920295638104588,0.06848117602246345,19.306390517375892,b,
2MASS_J20505039+4450115,312.7099655363757,44.836540725881186,222.58683877368026,0.4758820302681549,0.30191147579045136,0.09050679476113913,16.876935947682117,qpd,
2MASS_J20505363+4424305,312.7234562095467,44.40844658880434,5.340230268367138,0.8592732523890276,0.34033183715763715,0.02855383588510272,17.000678722364217,apd,
2MASS_J20505543+4417461,312.7309994942258,44.2960874126181,0.9015406815299329,0.8101752600451981,0.17797395323247414,0.013782499379621956,17.795238330939227,qps,
2MASS_J20510029+4424364,312.75123585817425,44.410094107931116,7.008938672886845,0.2368340826065949,0.12064017897730993,0.02070555294228141,18.33375124808917,p,
2MASS_J20510663+4421407,312.777638321121,44.361312210949386,1.3974247735885623,0.4212279555452859,-0.028496854183791706,0.008795557534264583,15.6455768443038,p,l
2MASS_J20510895+4416420,312.78730191056013,44.27831364345297,1.1904892992814269,0.7836237938229438,0.2442378059061161,0.017123680865759126,18.228841724350648,qpd,
2MASS_J20511252+4418093,312.80219789507777,44.30255956257102,7.988072978388604,0.2936295068857383,0.03957310550207112,0.009976779712767636,17.507911318037973,p,
2MASS_J20511262+4418454,312.8025823261458,44.31261411198452,,0.9242049843747249,-0.1438433211379148,0.01383835047456448,13.068657866019418,s,
2MASS_J20511374+4422252,312.8072667450728,44.37366095322359,2.076397141535264,0.4461851170838893,-0.1411884111549158,0.01079203824751848,18.713989500955414,qps,
2MASS_J20511455+4413379,312.8106511817742,44.22717526035429,235.49834708820163,0.8162451231014634,0.10119856559395933,0.007355554428609012,17.319683960516606,qps,
2MASS_J20512059+4420322,312.83581316745375,44.342285888519115,1.6237859092888862,0.8095383894053254,-0.1186045271956734,0.007038260460115806,16.97498299079365,qps,
