date (mjd),g_mag,g_magerr,color,color_err,r_mag,r_magerr
58229.4540162,20.786189472154547,0.12341330330104079,2.175122672154547,0.1304806068328806,18.6110668,0.0423597135
58249.4813542,20.587236814431662,0.10847499178430695,2.0065426144316625,0.11620177486800186,18.7917423,0.0468804762
58254.4685648,20.456204376516325,0.14008510652472847,1.9806317765163257,0.14551980588513655,19.0653152,0.0551914684
58255.4700231,20.09198582647423,0.11231639072139565,1.7958928264742298,0.11793417520530665,18.5806942,0.041665677
58256.4329977,20.192900104887485,0.08890332725168239,1.819683504887486,0.09644054528975592,18.4755726,0.0393976755
58256.4665278,20.196413869265598,0.08863581769715968,1.8498180692655986,0.09600178612028558,18.296093,0.035965234
58257.4328704,20.29768109498309,0.09928631731271935,1.904696694983091,0.10622174745502651,18.3732166,0.0373761579
58257.473669,20.301956556952064,0.10042707838078374,1.9850658569520654,0.1067986442614098,18.3465958,0.0368786491
58258.445162,20.403763515389983,0.13762569853103793,1.9875724153899839,0.14282975595170444,18.3929844,0.0377529711
58259.4473958,20.45519682152826,0.1076732051559798,1.63568162152826,0.11774124743338853,18.3168907,0.0363366529
58262.3871181,20.563379731144778,0.14511296892012931,1.8592285311447796,0.1518127500652253,18.4161911,0.0382034853
58263.4262384,20.35153290341441,0.13342202750334564,1.9693212034144096,0.13860448153539512,18.8195152,0.0476390831
58266.3633796,20.08714101631722,0.11160224676571803,1.4878063163172186,0.11927525525828882,18.7041512,0.044601988
58268.4563426,20.23025478604177,0.09123569564344819,1.5244880860417673,0.10157217310716382,18.3822117,0.0375468358
58269.4242014,20.417624720686945,0.10891366376904578,1.7106755206869444,0.11771912254994463,18.5993347,0.0420894884
58270.4343171,20.613175262456934,0.15435398121367946,1.8853691624569358,0.16083611422107913,18.7057667,0.0446425155
58271.4543171,20.393059528756567,0.09764460881468663,1.8735550287565665,0.10564205152777378,18.7069492,0.0446722023
58272.4573495,20.2366609838773,0.12309020071525875,1.8035077838773006,0.12898221179116315,18.7278061,0.0452007093
58273.4220486,20.49758405677494,0.1422565458415562,2.0363451567749387,0.14753317301418567,18.5195045,0.0403208807
58274.4714931,20.238515086555708,0.08937102999444886,1.6650058865557078,0.09853817972253975,18.4331532,0.0385384671
58275.4054051,20.305956096287446,0.12770908343807152,1.8845540962874452,0.13333023036022346,18.4612389,0.0391038656
58277.4002662,20.454436440304562,0.13879626050075058,1.9737407403045637,0.1443084631946752,18.5735092,0.0415041186
58278.4469907,20.79060864355415,0.16163208702589085,2.0549728435541503,0.16788755671415093,18.421402,0.0383058786
58279.4076505,20.446709723575623,0.13766636568671145,1.8223353235756221,0.14412741924493472,18.4806957,0.039503552
58280.3638079,20.91792530042585,0.1676475649983762,2.356297000425851,0.1726452173577565,18.7356358,0.0454015434
58281.4505787,21.105277613329235,0.1815071723769734,2.423141113329237,0.18677725571102885,18.6243744,0.0426694825
58282.4529514,20.311053794248437,0.12342439406879431,1.8760752942484373,0.1293120111922093,18.5616283,0.0412391201
58283.3907755,20.599252283202077,0.15095901228919184,1.960851283202075,0.156963714968655,18.6821365,0.0440555289
58285.4121644,20.539253289133285,0.1487897992772176,2.1480178891332855,0.15349643645401995,18.4349785,0.0385747999
58287.4492245,20.28447968935143,0.1218397593485555,1.8211541893514287,0.12797408983605515,18.638401,0.0429998189
58288.4536343,20.35045727742181,0.13357069912344602,1.852967377421809,0.13938962137798158,18.3912354,0.0377193801
58290.3843171,20.622673258549185,0.15161975623760862,1.824810258549185,0.15875103183659525,18.4633255,0.039146401
58296.336713,20.38700008279193,0.09999334105813666,2.023982082791928,0.10668333991709719,18.4974899,0.0398539193
58300.3982639,20.347851155296667,0.1254424439437259,1.9945682552966666,0.13078607447661963,18.797863,0.0470461436
58304.3852662,20.553718065620615,0.11267212353341731,1.7742418656206134,0.12190985933776916,18.5454941,0.0408835039
58305.4089236,20.56493879451591,0.15171173437887078,2.0031902945159104,0.1572174740516677,18.4837208,0.0395663008
58307.3922106,20.84523988811179,0.16769962794168214,2.178213388111793,0.17329645877515043,18.363018,0.0371842273
58312.405787,20.800392877512422,0.16388426574155604,2.0648581775124235,0.1700562140009641,18.5823765,0.0417036451
58313.3922685,20.876730518300974,0.16818232926656324,2.0660692183009743,0.1747329717333011,18.5968781,0.0420332439
58314.4250347,20.870717377223627,0.16941750096083005,2.117074377223627,0.17551698228578683,18.3532829,0.0370025747
58315.3611806,20.45369012536321,0.13707272416176447,1.9470716253632112,0.14280284601564613,18.7794762,0.0465511158
58316.3479861,20.717349807749997,0.15584980442551166,2.0973795077499986,0.16155826684738378,18.5617485,0.0412417725
58319.3541435,20.666642496662462,0.15202954470509591,1.9322941966624612,0.15865458233403726,18.6670265,0.0436863527
58322.4004398,20.396427777317058,0.13609583897792318,2.030958777317057,0.14109629782900485,18.7355347,0.0453989357
58323.4686574,20.493278225909307,0.14727092320598856,1.9832360259093065,0.15263769664490817,18.8106613,0.0473953113
58324.4794676,20.022617992259256,0.1033475435233275,1.5718981922592548,0.11042276427612553,18.753643,0.0458685234
58328.337662,20.05432596628134,0.07954141092048943,1.5569027662813397,0.08896661730714997,18.5066185,0.040046487
58329.3675926,20.04555801232152,0.08976688851207328,1.34985261232152,0.10014324043406497,18.6199703,0.0425665602
58333.3243519,20.46699240207272,0.1608650950769758,1.9793616020727178,0.1656789488032192,18.7343483,0.0453684255
58334.3497801,20.627799398213938,0.13314827020073744,1.9791482982139392,0.13999458164278605,18.365469,0.0372302011
