ID,Period,Power,90% FAP,95% FAP,99% FAP,99.9% FAP
2MASS_J20505039+4450115,223.68790298282462,0.5259000972815466,0.06489175676418256,0.06961783874125001,0.08017585300423805,0.09481810168719161
GDR1_2162967795377160064,4.9380956500650806,0.10004235172804748,0.06247422315780712,0.0669993160280069,0.07711273133120736,0.09114806305034613
2MASS_J20532233+4438526,2.4308322130389195,0.27167518901410753,0.062476152090753204,0.0670012287204428,0.07711461100615179,0.09114990196342283
GDR1_2163140315626344064,8.385534650547708,0.22135616471047834,0.06244469903290455,0.06697004053568978,0.07708396129029199,0.09111991697886822
2MASS_J20503796+4425123,3.3687547309874764,0.26706714051594344,0.062479250572217045,0.06700430111541315,0.07711763036597324,0.09115285584787408
PSO_J205601.466+433543.777,286.7228303941639,0.18513745079272875,0.0652551869934771,0.07001143636859121,0.08063615100865122,0.09536938009455145
GDR1_2162909830498130048,139.27631320171162,0.1671558779410416,0.039234309574851634,0.04195130303835306,0.048046669633527474,0.05655674818484253
GDR1_2162931786370808448,155.25469907056848,0.1963419756326875,0.04034634582259227,0.04315006395385564,0.04943881113465097,0.05821630181115428
GDR1_2162962985013647616,94.96047211826524,0.2563380031791812,0.06852174894252984,0.07362738576738073,0.0850226249951644,0.10080350496813066
GDR1_2162967864096636288,286.922868842604,0.1532520710549922,0.06247137317430009,0.06699649004055444,0.07710995412813004,0.09114534607365248
GDR1_2163140246906862080,18.958022285454664,0.09496133923316379,0.062480730399972526,0.06700576848472915,0.07711907240646186,0.09115426661799052
GDR1_2162961541904548992,308.74270600566115,0.10345498323440182,0.06078937048728555,0.06518166562183228,0.07500100014793043,0.08863424577605358
GDR1_2163069500202546688,44.05718570900607,0.08129026335389812,0.06929490113482942,0.07435495787307381,0.08565145081499777,0.10130070786558176
2MASS_J20500617+4425050,6.112859698665607,0.12985783373326062,0.07169582863030657,0.07693132802904629,0.08861546087554888,0.10479254475311092
GDR1_2162976935068180608,286.922868842604,0.07429153834356492,0.062456652750806065,0.06698189357455923,0.07709560966230698,0.09113131270230895
GDR1_2163136192456870016,12.371958131300648,0.041979560392734615,0.06253597335328144,0.06706054654614499,0.07717290522174428,0.09120693232846014
GDR1_2162134880959435904,3.3717222368406428,0.6744241480557278,0.06490289113188887,0.06962887632375847,0.0801866936689687,0.09482869894784154
2MASS_J20531994+4428438,2.6139487413703875,0.22101369827116202,0.06245155441174545,0.06697683817364289,0.0770906415498404,0.0911264523434469
GDR1_2162128009011784832,286.7228303941639,0.29119582133457533,0.06494971540417059,0.06967529373794024,0.08023228321801452,0.0948732650900879
GDR1_2162952745812291712,29.60163594489277,0.1302744959288804,0.06256577634069273,0.06710528721324492,0.07725049545742683,0.091329087619639
GDR1_2066790146043148928,286.7228303941639,0.3856419834106851,0.06530764352657979,0.07006343490696211,0.08068721755033974,0.09541929433070732
GDR1_2163139937669407872,6.049103397933218,0.23441905148320585,0.062475843164619106,0.06700092239525929,0.07711430996880107,0.09114960745420597
GDR1_2163145984982389632,183.29212854474298,0.22226968387896556,0.06227044406873405,0.06679725519337185,0.0769141625488567,0.09095380369665125
GDR1_2162886568955114112,9.482323958141134,0.11457227170123938,0.04019035786947982,0.042978094565388245,0.04923127294915433,0.05795968572439387
GDR1_2162988754817727232,11.594624521339838,0.14683969932495017,0.060748114698635176,0.0651407501720291,0.07496077602796773,0.08859487409224341
2MASS_J20533662+4439529,3.2089907959911455,0.3329586882227708,0.0624292428352362,0.06695471454209201,0.07706889997170893,0.09110518236810454
GDR1_2163141208978477312,212.0068491824017,0.13443925749336097,0.06240259136472044,0.06692828765363812,0.07704292957459834,0.09107977540642286
2MASS_J20505575+4418286,3.134659829618306,0.1295045000266595,0.062447771650631305,0.0669730872729334,0.07708695541680302,0.09112284616178551
GDR1_2163162065339769856,2.458804124912655,0.10823432593820563,0.0626309648789846,0.06716992533726555,0.07731401467416796,0.09139122559314602
GDR1_2162240708953684992,191.95857308229563,0.14274759019335212,0.03943517029166516,0.04215628646720846,0.04826103321008895,0.05678437591045649
GDR1_2067120514926515200,9.018897774038926,0.41529524353931135,0.0609982192003005,0.06541744491417852,0.07529624746949976,0.08901055887325418
GDR1_2162961267026674432,6.86772569615305,0.10032939598950373,0.0624169460577047,0.06694252137420761,0.07705691740860005,0.09109345975614948
GDR1_2162989201494332800,9.050308696349683,0.2707102028840117,0.07431882189273431,0.07987732329536676,0.09227182806785804,0.1094108209212515
GDR2_2162948455142499968,1.9831738058697181,0.07005184757730651,0.040904860377816425,0.0437454161173706,0.05011639433527745,0.059007721587415005
GDR1_2162091278451209472,122.26118868604111,0.13615978170301488,0.06929136711015824,0.0743514560444701,0.08564801463950182,0.10129735309095901
GDR1_2067062824937136000,364.1243823578973,0.4810914371982285,0.06250376006797234,0.06702860430376896,0.07714151410152617,0.09117622171414545
2MASS_J20510895+4416420,6.149898935744239,0.1628624349299013,0.06355375041847285,0.06816227183308436,0.0784603860113651,0.09274810561863125
GDR1_2162952711451794176,8.249225949710462,0.5094039354539796,0.062395080975084095,0.06692084056688491,0.0770356111515002,0.09107261577915614
2MASS_J20505363+4424305,5.340860996096958,0.12619231107031526,0.06280654354480691,0.0673593050288704,0.07753394637989103,0.09165290600707185
2MASS_J20512059+4420322,2.632593777834024,0.14183490947873834,0.06242468338457083,0.0669501935060999,0.07706445702129733,0.09110083580077422
2MASS_J20510029+4424364,7.01002520484714,0.6106183818761849,0.06271985961277186,0.0672580703251884,0.07740063514952042,0.09147596357098907
