star Identifier,odr slope,odr slope error
FHK_384,0.540143503,0.040172182
FHK_386,1.081513507,0.028019926
FHK_387,0.975431887,0.035109653
FHK_388,1.357804256,0.097372578
FHK_390,0.891118141,0.044924495
FHK_392,1.005166048,0.043613292
FHK_397,1.189120002,0.452279549
FHK_398,0.926548618,0.040722207
FHK_40,2.063076149,0.128745355
FHK_400,0.994725597,0.035517997
FHK_402,0.891485684,0.03453216
FHK_405,3.478334848,0.290507855
FHK_406,-3.325161031,0.37188195
FHK_408,4.702009193,0.743058398
FHK_409,28.83104428,24.83702738
FHK_413,0.969073759,0.034589623
FHK_418,5.354893674,1.020182055
FHK_42,9.273044421,4.501361674
FHK_424,0.992442022,0.026541066
FHK_426,3.129760926,0.382344795
FHK_427,1.444586407,0.10443352
FHK_429,1.043009391,0.041128003
FHK_43,7.188435458,2.448783283
FHK_430,2.546033097,0.325362299
FHK_431,2.302310312,0.176369175
FHK_433,1.462845682,0.091164927
FHK_434,2.275165317,0.148175125
FHK_438,1.28941584,0.10035369
FHK_44,1.44818776,0.092499577
FHK_442,2.409778113,0.119175487
FHK_444,-29.06428194,32.19096944
FHK_445,0.990497232,0.045257436
FHK_447,1.010027995,0.032547753
FHK_449,0.961094191,0.031263897
FHK_45,1.134162348,0.082230198
FHK_451,4.92099786,0.798860162
FHK_452,0.763068348,0.045863861
FHK_455,1.886987667,0.146852989
FHK_456,2.388804558,0.216683089
FHK_459,2.406261583,0.181141624
FHK_46,2.475557214,0.284001343
FHK_460,2.597593332,0.313553483
FHK_461,0.81976187,0.143108856
FHK_464,0.963725579,0.02656966
FHK_468,0.975086401,0.034813393
FHK_47,1.142036611,0.129849968
FHK_471,1.292539532,0.08322994
FHK_473,-7.752431109,1.017397252
FHK_474,1.226123899,0.336061311
FHK_479,0.456298594,0.075922521
FHK_48,2.69527957,0.267836753
FHK_485,0.861033937,0.041706954
FHK_486,0.905112191,0.039747869
FHK_489,1.249868566,0.094114785
FHK_490,1.363212612,0.084636616
FHK_493,1.126527601,0.187937471
FHK_495,0.709742022,0.034150137
FHK_496,1.079592317,0.128988864
FHK_500,2.757265669,0.292368349
FHK_506,3.045477993,0.432071914
FHK_508,1.021589382,0.032201961
FHK_509,0.898129124,0.065725664
FHK_51,0.879426975,0.065954338
FHK_510,1.013791411,0.050868266
FHK_511,1.220829275,0.069958833
FHK_512,2.574892607,4.042890602
FHK_514,1.168695106,0.073501463
FHK_515,0.966843716,0.119478706
FHK_516,0.982549817,0.067887204
