ID,RA,DEC,TYPE,PERIOD,SLOPE
2MASS_J20505039+4450115,312.7099655363757,44.836540725881186,QPD,223.68790298282462,NA
GDR1_2162967795377160064,313.49350340688306,44.54305795713624,P,4.9380956500650806,1.134604934
2MASS_J20532233+4438526,313.3430529515253,44.647931427049905,P,2.4308322130389195,1.097802218
GDR1_2163140315626344064,312.76289490947937,44.40076132666685,QPS,8.385534650547708,3.6463442739999996
2MASS_J20503796+4425123,312.65814214143484,44.420100216225656,P,3.3687547309874764,0.9424905579999999
PSO_J205601.466+433543.777,314.0061059887613,43.59548960290756,B,286.72283039416385,0.989385127
GDR1_2162909830498130048,313.76259600948583,44.18112215981157,P,139.27631320171162,2.814184917
GDR1_2162931786370808448,313.11680283929536,44.05861394172086,QPS,155.25469907056848,5.974434479
GDR1_2162962985013647616,313.56699484966947,44.40291592301878,P,94.96047211826523,NA
GDR1_2162967864096636288,313.47724503692797,44.54124180317905,P,286.922868842604,1.10201028
GDR1_2163140246906862080,312.7287237613243,44.38283520549869,QPD,18.958022285454664,NA
GDR1_2162961541904548992,313.5959319846104,44.3209265814808,B,308.7427060056612,0.793220775
GDR1_2163069500202546688,313.76662345958664,44.74070007403486,P,NA,NA
2MASS_J20500617+4425050,312.5257326837496,44.418039134565674,P,6.112859698665607,1.076361475
GDR1_2162976935068180608,313.32018490242285,44.42830532294153,B,NA,-0.149963761
GDR1_2163136192456870016,312.83106326015115,44.325146090175686,QPD,NA,NA
GDR1_2162134880959435904,314.1945193774256,43.767239662532866,P,3.3717222368406428,2.179354815
2MASS_J20531994+4428438,313.33311404608486,44.478846598166655,P,2.6139487413703875,1.2123813190000001
GDR1_2162128009011784832,314.5450978433306,43.885607658494436,P,286.72283039416385,NA
GDR1_2162952745812291712,313.2226388274148,44.32681909734732,U,29.60163594489277,1.557964184
GDR1_2066790146043148928,313.063094833578,43.502067898891696,P,286.72283039416385,4.049699405
GDR1_2163139937669407872,312.6557508284225,44.34805504775345,P,6.049103397933218,NA
GDR1_2163145984982389632,312.916507636757,44.553945873148145,QPD,183.29212854474298,5.703598235
GDR1_2162886568955114112,313.4279200391176,44.06351857361957,QPD,9.482323958141132,4.102921395
GDR1_2162988754817727232,313.6121692637456,44.79805822787978,QPD,11.594624521339838,6.285658636
2MASS_J20533662+4439529,313.40262665227465,44.66467215720368,U,3.208990795991145,1.3432884280000001
GDR1_2163141208978477312,312.63467375634264,44.43817851699804,P,212.0068491824017,1.043694715
2MASS_J20505575+4418286,312.7322909531261,44.30794890576056,B,3.134659829618306,1.106814432
GDR1_2163162065339769856,312.7489526875211,44.68028988273275,P,2.4588041249126547,1.041230429
GDR1_2162240708953684992,314.5397046059057,44.184086431611995,QPS,191.9585730822956,4.088637014
GDR1_2067120514926515200,312.1200287972347,44.403194018955965,P,9.018897774038926,1.737661289
GDR1_2162961267026674432,313.4896617057508,44.342379395681846,P,6.867725696153049,1.693612001
GDR1_2162989201494332800,313.57383253288066,44.811134999192745,P,9.050308696349685,1.088455488
GDR2_2162948455142499968,312.9943655202102,44.2490878988824,P,1.983173805869718,2.016161383
GDR1_2162091278451209472,314.2148785903454,43.38047442503331,P,122.26118868604112,0.9516418870000001
GDR1_2067062824937136000,312.6543514096502,44.30684138979343,U,364.12438235789733,3.3698497869999997
2MASS_J20510895+4416420,312.78730191056013,44.27831364345297,P,6.149898935744238,1.117628465
GDR1_2162952711451794176,313.25749878643944,44.31827220058873,P,8.249225949710464,1.277977515
2MASS_J20505363+4424305,312.7234562095467,44.40844658880434,U,5.340860996096958,2.43200548
2MASS_J20512059+4420322,312.83581316745375,44.342285888519115,P,2.632593777834024,1.08920159
2MASS_J20510029+4424364,312.75123585817425,44.410094107931116,P,7.010025204847139,1.805421732
GDR1_2162978172018122240,313.2877317325571,44.50295916225333,P,15.369521705150113,1.913559684
GDR1_2067067807089176192,312.2990627247952,44.209140069320284,P,NA,1.479681269
GDR1_2163140968460295680,312.6154861844204,44.39139410498164,B,286.922868842604,NA
GDR1_2162984631649047936,313.2637373528789,44.663571185242866,U,4.764249574656031,0.975400872
GDR1_2163143717240796032,312.7537272945984,44.530465728732146,QPD,NA,8.312517825
GDR1_2162221811096717952,314.5817321920033,43.89846388188703,P,267.76550622933104,2.208021205
GDR1_2067128658184872064,312.34681680905624,44.57699362853485,P,11.662969052679195,2.412290826
GDR1_2162951474504020224,313.2076249187297,44.317265273447205,QPD,8.427860597436931,NA
GDR1_2162947591850664960,312.82599171691106,44.21892964524781,P,7.880920928440987,NA
GDR1_2162935565942174208,313.41729718195745,44.17929426247285,QPD,4.9988984312816465,2.716846629
GDR1_2162964874800490496,313.3795731290403,44.390733009855786,U,20.912003067725415,-0.842886027
GDR1_2162988101982678912,313.6231402254145,44.75750335500434,QPS,NA,2.9069549410000004
