coordinate,slope,r_sq
20:52:52.48+44:14:24.9,1.4117785079207736,0.2559116820093749
20:56:59.32+43:47:52.9,2.0457162225272434,0.8346709067292032
20:52:53.43+44:19:36.3,1.052333379723259,0.5897639694218673
20:51:39.26+44:24:28.0,2.513609310096742,0.6139386849960431
20:51:15.14+44:18:17.4,1.7619161345105832,0.5974729876076021
20:51:00.90+44:31:49.8,3.1607543103712876,0.3754577954557325
20:51:45.99+44:28:35.1,0.6725681451382005,0.2473479248891611
20:52:54.30+43:52:16.3,1.8204762415143718,0.5159659352417827
20:58:25.55+43:53:28.6,0.4397453362213269,0.13403769577180896
20:58:06.10+43:53:01.4,0.8325144042456465,0.38439710361077095
20:52:28.33+44:21:14.7,1.7669421725845822,0.5813228761276867
20:51:14.80+42:48:19.8,-1.1486323575824324,0.8470586535024528
20:52:30.89+44:20:11.3,0.6968766379893127,0.08683284453767369
20:51:19.43+44:19:30.5,0.6113628860546397,0.09305958489744418
20:51:39.93+44:33:14.1,3.2598862414338674,0.6343695645686198
20:54:10.15+44:31:03.0,0.8177916248422606,0.6185980296077516
20:50:32.32+44:26:17.4,0.9415632346751198,0.8666090328901785
20:54:24.41+44:48:17.3,2.2336930076230064,0.4401641597328816
20:53:40.13+44:10:45.6,1.4652984342475583,0.44644293961637205
20:53:15.62+43:44:22.8,2.556806920397035,0.7891943643539813
20:54:51.27+43:06:22.6,0.5788570756194956,0.190779933890763
20:51:23.59+44:15:42.5,1.2217075711229124,0.7158749158107937
20:54:46.61+44:12:05.7,0.6576826556816554,0.3188251999012981
20:51:24.70+44:18:18.5,0.42471497668957897,0.12476386564178629
20:50:36.93+44:21:40.8,0.721301935938066,0.15654003001668115
20:53:14.00+44:12:57.8,1.0352049335585851,0.5661667336189361
20:51:58.63+44:14:56.7,1.4026251472141298,0.682098252595127
20:58:39.73+44:01:32.8,-1.035774499161652,0.11943927553643185
20:58:01.36+43:45:20.5,1.5762039663889669,0.41008389159032815
20:54:13.74+44:24:32.4,1.2715778123174855,0.39618511109307525
20:59:06.69+44:18:23.7,-0.124606216846536,0.012152011346561674
20:52:03.65+44:28:38.1,0.9836857868286987,0.6233634436614871
20:54:45.66+44:43:41.8,0.7863874454204118,0.24019501601247317
20:59:05.98+44:26:55.9,0.4669028965316436,0.8260390851755701
20:55:03.01+44:10:51.9,1.4084843547887826,0.48626217706708874
20:51:55.70+44:33:52.6,0.9941914640846716,0.228012348372802
