ID,new_m
2MASS_J20470481+4349114,0.06594433217657708
2MASS_J20475256+4345137,0.24522031840300507
2MASS_J20475581+4329019,0.019696729770449815
2MASS_J20483292+4351190,-0.7505649670123498
2MASS_J20505039+4450115,0.3519573317144868
2MASS_J20505363+4424305,0.7841204958062498
2MASS_J20505543+4417461,0.18125339277690922
2MASS_J20510029+4424364,0.1175722650910783
2MASS_J20510663+4421407,-0.15531989220358597
2MASS_J20510895+4416420,0.581667557236356
2MASS_J20511252+4418093,-0.11503284102785222
2MASS_J20511262+4418454,-0.20844684712138312
2MASS_J20511374+4422252,-0.08862935541018063
2MASS_J20511455+4413379,-0.0039472029153258805
2MASS_J20512059+4420322,-0.4221658558779807
2MASS_J20512139+4424054,-0.18360734041785262
2MASS_J20515226+4418213,0.04463481050673928
2MASS_J20522880+4418297,0.49611969840520287
2MASS_J20523394+4429168,0.08255161814737327
2MASS_J20532233+4438526,-0.18946076366535664
2MASS_J20533662+4439529,0.597817034478093
2MASS_J20564400+4346000,0.20643659682484886
2MASS_J20570162+4341387,-0.04869153574399144
2MASS_J20582381+4353114,0.8410315317607991
DPP2017_409,-0.4314689469278641
FHK_101,-0.047175781374502956
FHK_115,0.10343250082668627
FHK_118,0.17105148001275688
FHK_123,-0.09473358796996086
FHK_127,0.07701104289036469
FHK_130,-0.0799029893932774
FHK_133,0.034869356207953
FHK_134,0.2551347197832497
FHK_137,0.10899236242721161
FHK_138,0.4000238069915026
FHK_142,-0.7273258054948648
FHK_146,0.8502546754500165
FHK_15,0.4467975655947891
FHK_150,0.13462317495624826
FHK_153,-0.12043169116875654
FHK_155,-0.3142186393558782
FHK_158,-0.20086633443612018
FHK_163,1.1100951031086363
FHK_164,0.6534863857630263
FHK_165,-0.43404126785185443
FHK_172,0.41524569401158307
FHK_179,-0.10454202792736653
FHK_181,0.26759696814114176
FHK_182,0.25361418918421413
FHK_183,-0.009943932946998494
FHK_192,0.19484352163396612
FHK_200,-0.18469489724772858
FHK_203,-0.007048545118173556
FHK_21,-0.28092417306650425
FHK_210,0.4766189095328307
FHK_213,-0.07347932207433432
FHK_216,0.2951204939413973
FHK_217,0.2796287205419078
FHK_22,-0.22548389067403768
FHK_226,0.0908993643124641
FHK_234,0.6697706998789021
FHK_24,-0.21253314079342311
FHK_251,0.016617629246154907
FHK_253,-0.7174817527581334
FHK_255,0.09618618089705153
FHK_26,0.4274307521342005
FHK_272,0.3723684634989859
FHK_278,0.27610793132697214
FHK_28,-0.06563323868746562
FHK_281,0.31977950559322904
FHK_282,0.06081778551406655
FHK_285,0.011918464124266826
FHK_286,0.09998264399361033
FHK_300,0.11190077125883988
FHK_32,-0.6745968856711334
FHK_323,0.2368657233596775
FHK_327,0.17762607457402638
FHK_344,0.43897178393863073
FHK_348,-0.4578800364087198
FHK_35,0.3906203001161622
FHK_36,0.706981437494427
FHK_361,0.649971139110619
FHK_362,-0.3092943450283199
FHK_371,-0.054335666062182326
FHK_372,0.08442447518951542
FHK_390,-0.16278160864669097
FHK_40,-0.14437650498148427
FHK_405,0.6798409332720232
FHK_408,0.21214069979603498
FHK_409,0.45246147515264484
FHK_418,0.41478020386627634
FHK_43,0.08357001218289882
FHK_430,0.35078974319238965
FHK_431,-0.014763059464984043
FHK_434,0.016643913399540123
FHK_438,-0.08426321446002429
FHK_44,0.18605940786776148
FHK_442,-0.1901724218557786
FHK_444,-0.09361987771192166
FHK_45,-0.3090762271575857
FHK_451,-0.011839141947457235
FHK_455,0.028673554089833096
FHK_456,0.1958728208411128
FHK_459,0.344276315733034
FHK_46,0.229235011156505
FHK_460,0.7320603639043802
FHK_464,0.21836800188238165
FHK_468,-0.006153818827860554
FHK_47,-0.11930859014499064
FHK_473,-0.5335737685926639
FHK_479,-0.8865870719493112
FHK_48,0.02120108114790968
FHK_485,0.07154106052422866
FHK_489,-0.07665894919202319
FHK_490,-0.07438767426290886
FHK_493,-0.579523293396862
FHK_496,-0.27638705989401796
FHK_500,0.36008075167946973
FHK_506,0.35042346445753053
FHK_510,0.2359274901603967
