ID,qm_class
GDR1_2162117563651224960,qps
GDR1_2162221673657766272,qps
FHK_115,qps
GDR1_2066790146043148928,qpd
GDR1_2162872928138757248,b
GDR1_2163136742213531520,qps
GDR1_2162904161141389696,qpd
GDR1_2163136746511218176,qps
GDR1_2162944911791083136,qps
FHK_500,qpd
GDR1_2162951749379088640,qps
GDR1_2163140968460295680,b
GDR1_2162947420052773760,apd
GDR1_2066844954118735744,qps
GDR1_2067128658184872064,qps
FHK_459,qps
PSO_J205818.503+435346.014,qps
GDR1_2162091278451209472,qps
FHK_158,qps
FHK_164,qpd
GDR1_2163144541882323584,qpd
FHK_181,qps
GDR1_2163215391652091520,qps
FHK_562,s
FHK_67,qps
GDR1_2163143481019730688,qps
FHK_575,qps
GDR1_2163155055959979392,qps
GDR1_2163141208978477312,qps
GDR1_2162946526698717056,qps
DPP2017_409,s
FHK_272,qpd
GDR1_2067030011373814272,qps
GDR1_2162984631649047936,qps
2MASS_J20510895+4416420,qps
GDR1_2162235795513138560,qps
GDR1_2163155227752761088,qps
GDR1_2162966146109606528,qps
GDR1_2162126325384584576,qps
GDR2_2163139804529410944,qps
FHK_434,qps
FHK_153,qps
GDR1_2162975698125115392,qps
GDR1_2162223086709799296,qpd
GDR1_2163139937669407872,qps
FHK_255,qps
FHK_506,qps
GDR1_2162126187945624704,qpd
FHK_163,qpd
GDR1_2162931786370808448,qps
FHK_485,qps
GDR1_2162231676644797824,qps
GDR1_2162946767216898432,qps
FHK_460,qpd
2MASS_J20512059+4420322,qps
2MASS_J20505543+4417461,qps
2MASS_J20582381+4353114,qpd
FHK_44,qps
GDR1_2162947798009095808,l
GDR1_2163138116611233408,qps
GDR1_2163169761929937280,qpd
GDR1_2162939208074518912,qpd
GDR1_2162947729289614848,qpd
GDR1_2163144851111005056,qpd
GDR1_2162902683672550912,qpd
2MASS_J20511455+4413379,qps
GDR1_2162909830498130048,qps
FHK_451,qps
GDR1_2066855807501721472,qps
GDR2_2162951684957670144,qps
FHK_455,qps
GDR1_2162949309837722880,qps
GDR1_2162988754817727232,qpd
FHK_75,b
GDR1_2162949378557095680,qps
GDR1_2163140453064444544,qpd
GDR1_2162966798944719488,qps
FHK_213,qps
GDR1_2163140281266601728,qps
GDR1_2067069937403328128,qps
GDR1_2163137360688842752,s
GDR1_2162940067068027264,qps
GDR1_2162969788241973632,qps
GDR1_2162924673904534272,qpd
GDR1_2162121961697794304,qpd
FHK_579,l
FHK_362,qps
GDR2_2163136059317926016,qps
GDR1_2162886568955114112,qpd
FHK_405,qpd
GDR1_2162886775113495552,qps
GDR1_2162091003573281920,qps
GDR1_2163148596322501760,b
GDR1_2162221811096717952,qps
GDR1_2067128795623856256,apd
2MASS_J20515226+4418213,s
GDR1_2067032760152922112,s
GDR1_2162240708953684992,apd
2MASS_J20505363+4424305,apd
FHK_390,s
GDR1_2162221673657763584,s
2MASS_J20505838+4414444,s
GDR1_2162948691363126144,apd
GDR1_2163148768121199360,s
GDR1_2162955803828359040,s
GDR1_2162221776736976896,l
GDR1_2162951474504020224,apd
GDR1_2067034237622346240,l
GDR1_2162967795377160064,s
GDR2_2163137120170654720,b
FHK_146,apd
GDR1_2162988101982678912,s
GDR1_2163140246906862080,s
2MASS_J20512139+4424054,s
FHK_300,s
FHK_101,s
FHK_234,apd
FHK_438,s
GDR1_2163135677060562176,s
GDR1_2163144644952565120,s
GDR1_2067067807089176192,s
GDR1_2162951027824541312,s
GDR1_2162961267026674432,s
GDR1_2162976419671618816,apd
GDR1_2163136123738466688,s
GDR1_2163149317877028224,apd
GDR1_2162955185352996096,s
FHK_35,s
FHK_479,b
FHK_142,b
FHK_179,s
GDR1_2162221639298015872,s
GDR1_2067026815919131392,s
FHK_210,apd
FHK_253,b
GDR1_2162939208074527616,apd
FHK_98,apd
GDR1_2163017101601143040,s
GDR1_2163138597639123456,apd
FHK_203,s
GDR1_2163135367823138944,apd
GDR1_2162961541904548992,b
FHK_327,s
PSO_J205647.351+434127.587,s
GDR1_2163144576233088640,s
GDR1_2162935565942174208,apd
FHK_24,s
GDR1_2163136192456870016,apd
GDR1_2162930652500328832,s
GDR1_2162936665453858432,s
2MASS_J20470481+4349114,s
2MASS_J20511262+4418454,s
GDR1_2162949378557115136,s
GDR1_2162956903341232128,apd
GDR1_2163143717240796032,apd
FHK_123,s
GDR1_2162942918926094208,s
GDR1_2163069500202546688,s
GDR1_2162948141606527616,b
GDR1_2162932993257907584,s
GDR1_2162965699433784192,s
GDR2_2162948455142499968,s
GDR1_2162978172018122240,s
GDR1_2162946080022052992,apd
2MASS_J20475581+4329019,s
GDR1_2162239506362783488,s
GDR1_2162227205576431488,s
GDR1_2162945976943020416,s
GDR1_2162939173714801152,s
GDR1_2162122064777006080,s
FHK_577,apd
GDR1_2163138361418522624,s
FHK_165,s
GDR1_2163136364255498624,apd
GDR1_2163138288400926464,s
FHK_155,s
FHK_524,s
GDR1_2163149661474923520,l
FHK_348,s
GDR1_2162235726791704960,apd
