ID,RA,DEC,NU,rMean,PER,Q,M,primary_class,secondary_class,per_changed,star Identifier,odr slope,odr slope error,intercept,intercept error,angle,angle error,pythag
2MASS_J20470481+4349114,311.77007069097664,43.8198374299041,0.031808997294989,19.03489389459461,,0.892850084,0.065944332,s,,,2MASS_J20470481+4349114,1.691214267681385,0.1387540855130876,17.957834264386605,0.2174909767918951,59.40455146022939,2.054019779615497,1.6104231193242666
2MASS_J20475256+4345137,311.9689046469143,43.75372371764185,0.0095714189789098,18.24218667194719,5.936473228,0.304889476,0.245220318,p,,,2MASS_J20475256+4345137,0.9575749682129984,0.0344964712952898,18.349175855616046,0.0849284987678142,43.758466479563,1.0303647445004815,0.9943359983551486
2MASS_J20475581+4329019,311.98252525962954,43.48387322013138,0.072287724496973,17.6808145717608,1.013585872,0.929684338,0.01969673,s,,,2MASS_J20475581+4329019,4.336563917258881,0.3717509059021848,11.747469244367943,0.6591503185579111,77.01473551621062,1.0641270484369785,2.549774086831944
2MASS_J20483292+4351190,312.1371734648398,43.85529686187581,0.0684811760224634,19.306390517375885,,0.640601588,-0.750564967,b,l,,2MASS_J20483292+4351190,-17.36071595604136,21.942857741003778,52.34945666067519,39.85088660016601,-86.70333077061956,3.2071639323632577,2.58414309466722
2MASS_J20505039+4450115,312.7099655363757,44.83654072588119,0.0905067947611391,16.876935947682117,222.5868388,0.47588203,0.351957332,qpd,,,2MASS_J20505039+4450115,17.338361239419836,3.5349466508225698,-18.21792438408023,7.544165550313258,86.69908931261884,0.6399714602764816,3.163461807250512
2MASS_J20505363+4424305,312.7234562095467,44.40844658880434,0.0285538358851027,17.000678722364217,5.340230268,0.859273252,0.784120496,apd,,,2MASS_J20505363+4424305,2.216667599699659,0.2930146611778573,14.240086922194454,0.6565123415773195,65.71854849731176,2.826321193466459,1.312072877344185
2MASS_J20505543+4417461,312.7309994942258,44.2960874126181,0.0137824993796219,17.795238330939227,9.371,0.7805480743069976,0.181253393,qps,,True,2MASS_J20505543+4417461,1.1347976111077576,0.0886769073167217,17.518151736208775,0.1778208922563102,48.61303298398065,2.215542654157844,0.7348071196613435
2MASS_J20510029+4424364,312.75123585817425,44.41009410793112,0.0207055529422814,18.33375124808917,7.008938673,0.236834083,0.117572265,p,,,2MASS_J20510029+4424364,1.3414545907006146,0.1160547900130228,17.649489850189145,0.2320338436125428,53.29696435090505,2.368158551214409,1.302836077904966
2MASS_J20510663+4421407,312.777638321121,44.361312210949386,0.0087955575342645,15.6455768443038,1.397424774,0.421227956,-0.155319892,p,l,,2MASS_J20510663+4421407,1.923647501299302,0.3605336763153092,14.362597457009915,0.4998112576923557,62.53251900014038,4.2105294268392335,0.3123196458137652
2MASS_J20510895+4416420,312.78730191056013,44.27831364345297,0.0171236808657591,18.228841724350648,6.149,0.8376648702357676,0.581667557,qpd,,True,2MASS_J20510895+4416420,1.1342249873537402,0.0643616890449656,17.951083663699556,0.1250022058885989,48.59868791242794,1.60747571653736,0.9298947234472058
