g_median_mag,g_median_magerr,r_median_mag,r_median_magerr
18.8421459,0.05787710285,16.7154846,0.0189228021
17.709466,0.03842495755,15.406044,0.0152154183
17.827383,0.039671817799999995,15.5494394,0.0154879559
18.6839962,0.0538578108,16.8510265,0.0195932686
21.7023392,0.22830843950000002,18.4161053,0.0353020728
19.9238844,0.1056777015,17.1645451,0.023039341
18.596713049999998,0.04648262635,16.2937908,0.01593882495
16.8473492,0.0297190119,14.8540211,0.0144357951
18.29645635,0.037772916249999997,16.199229250000002,0.0155939963
17.555896750000002,0.0368884932,15.4964733,0.0153828068
19.2791405,0.0720381811,17.5348358,0.0239661355
16.8639507,0.0229146257,14.8545523,0.0137787051
19.01146795,0.05447269235,17.3211813,0.020638332750000002
20.213583,0.122883528,18.16982555,0.03113006335
17.9419632,0.0365810171,16.0092506,0.0165276695
18.8877945,0.0589195602,17.0102711,0.0203508623
18.83872985,0.0490390919,17.1379652,0.020850172299999997
18.10741135,0.043320089549999996,16.0828266,0.0167306364
17.6687317,0.0273880605,15.75218345,0.01575729345
21.0743675,0.187198877,18.1414547,0.03073400355
18.850527749999998,0.0568122119,16.469162,0.019080352
17.17415425,0.03373318165,15.3422861,0.0151143437
18.31943605,0.04650985075,16.4940357,0.0180321019
17.3062668,0.0331287943,15.598535049999999,0.015737113499999997
17.5848103,0.0281647369,15.2601595,0.0141017353
19.0528183,0.0638932437,16.6981506,0.0188615397
20.4747868,0.146904245,17.7722301,0.0261874069
19.9307919,0.103770398,17.8572731,0.0271079261
18.8155384,0.057055367149999994,16.56392,0.0183111066
20.215300550000002,0.11544123249999999,18.246714599999997,0.03211518005
18.712040899999998,0.0490386486,16.58022595,0.0158892088
19.078583700000003,0.06474332885,16.7272835,0.0189798623
16.3763618,0.0207924787,14.53740215,0.01362766045
19.2405891,0.0698213205,17.00473025,0.020482751549999997
19.2708321,0.05915044435,17.190643299999998,0.0210222639
16.603096,0.030226456,14.6834497,0.0141161419
