date (mjd),g_mag,g_magerr,color,color_err,r_mag,r_magerr
58218.5182986,18.575718043868164,0.03678847091505882,2.145797843868163,0.04086522228234578,16.5902691,0.0183890276
58242.4753704,18.777515967200543,0.055436607108374614,2.1705709672005433,0.05842785540929583,16.5033379,0.0180568416
58244.4896065,18.69858774029126,0.05316185693909862,2.0842650402912604,0.0562838551489921,16.4752541,0.0179540496
58246.4459028,18.554150324650436,0.05037639992935465,1.971342824650435,0.05361770808157472,16.4592209,0.0178963132
58247.4503704,18.41624524065719,0.04636235057947519,1.8796565406571908,0.049799892031450084,16.4299202,0.017792549
58252.4883218,18.69469771613103,0.05360585639836299,2.046811416131032,0.05674810936266458,16.606945,0.018455267
58254.4695023,18.79743531588565,0.0550684450321679,2.1274676158856494,0.058161174759563554,16.6143227,0.0184848402
58255.4709606,18.85269440923912,0.05740493017360288,2.0951432092391187,0.06049694101812654,16.5828075,0.0183596555
58256.4712037,18.73603443023876,0.041907122868541674,2.0521545302387594,0.04591943291409547,16.5365887,0.0181813557
58257.4319097,18.623985727492254,0.03843012733109126,2.0583615274922558,0.04256166677032121,16.6478863,0.018621495
58257.4741319,18.619061283658084,0.03862056475108006,2.111576883658085,0.04263979990263434,16.6699677,0.0187133271
58258.4518866,18.505024163312555,0.049659213661848764,2.0929758633125566,0.052729522433284444,16.7575512,0.0190932937
58259.4483333,18.484481912851834,0.03730275562651576,1.9930383128518336,0.041424213247307086,16.6838799,0.0187719837
58262.387581,18.652107339326903,0.050414969549445666,2.0594559393269023,0.05366723144253571,16.5656242,0.0182926431
58263.4286806,18.618484571135014,0.051401241819681864,2.014244171135015,0.05461031069849522,16.5074844,0.0180722028
58266.3629167,18.539384526989352,0.04893346024446205,2.01698082698935,0.05218335805411346,16.4120483,0.0177303422
58268.4568056,18.291807490841165,0.04546960501425351,1.8669321908411654,0.04882040826807027,16.4914436,0.0180130471
58269.4246644,18.509006182584926,0.04911151253752547,1.9648853825849244,0.0523788558286601,16.5926514,0.0183984395
58270.4333681,18.622016282033655,0.05151733922898675,2.0346596820336558,0.05469707706760157,16.6042404,0.0184444673
58271.4533796,18.670557408654986,0.037917638307324246,2.0825829086549845,0.042137523841506305,16.5224037,0.0181278605
58272.4729861,18.710120734221164,0.05117755408858294,2.0048061342211625,0.05454335182799189,16.4248753,0.017774906
58273.4229861,18.646041714170224,0.05097512289452128,1.9493674141702222,0.0543405889619375,16.5441208,0.0182099938
58274.4710417,18.643771990062305,0.0494367300765482,1.9660337900623048,0.05287157278796997,16.5873566,0.0183775406
58275.4072801,18.77799835593214,0.05404834585503423,2.022268655932141,0.05731898223190352,16.5879745,0.0183799788
58276.4547685,18.64980091543839,0.05080070331475688,1.91784821543839,0.05423039238969763,16.7053146,0.0188635942
58277.4027083,18.785741896275795,0.05379322805316375,2.0375442962757937,0.057067243179320624,16.6966743,0.0188264828
58278.4502199,18.864396909938478,0.056067728886790257,2.158468109938479,0.05915678490503844,16.6777382,0.018746011
58280.3647454,18.84512541989443,0.054259671206166954,2.0233137198944284,0.05761982112283714,16.7557297,0.019085126
58281.4534144,18.80509608229113,0.054410586177528045,2.012571782291129,0.057716250813746685,16.7319527,0.018979568
58282.4515046,18.471774575420568,0.04723170834682502,1.921889775420567,0.05062845718701482,16.7481976,0.0190514792
58283.3917245,18.384419595045074,0.045973546787004604,1.8876677950450755,0.04938359738381708,16.7059288,0.0188662391
58285.4131019,18.69288970562775,0.053684840032414936,2.0732493056277477,0.05678506608872701,16.8218117,0.0193889625
58287.4496759,18.665324311428776,0.0510889094220437,2.0066291114287758,0.0543921475882255,16.7925243,0.0192523692
58288.4531713,18.649893073932617,0.05074386689607249,2.002046873932617,0.054052696505374725,16.5498848,0.0182320159
58289.4506713,18.70047928328239,0.05210761360263688,1.9818665832823896,0.05543658474827108,16.4967518,0.0180325452
58290.3852662,18.69671748491683,0.05202900796377465,2.0031902849168333,0.05532583235783047,16.6196404,0.0185062606
58291.4765741,18.535838785235228,0.04818504596806233,2.0110260852352297,0.05148539594933897,16.6586952,0.0186662544
58292.4671181,18.48494994992143,0.04771322458676478,2.023686249921429,0.05096167078686344,16.6478462,0.0186213311
58293.4775926,18.543218203667493,0.04981506076217876,1.9740825036674927,0.053072212517214695,16.7186127,0.0189211927
58294.4668171,18.489151594583745,0.04910282457908317,1.987055394583745,0.05231607003508308,16.6935272,0.0188130289
58296.3675463,18.463375535010528,0.034939749791646296,1.9285893350105283,0.039384000419181546,16.5248127,0.0181369055
58297.4165856,18.610555326616122,0.05153314506658804,2.011350326616121,0.054727728636731816,16.4612637,0.0179036334
58298.4254977,18.469935364866615,0.04689938218392032,1.855778664866616,0.050410482858803465,16.5691357,0.0183062684
58299.4109375,18.525342662067033,0.03573266365325548,1.9558846620670316,0.040149576266755506,16.5020962,0.018052252
58300.3987269,18.591713620836344,0.04998057620027614,1.9759909208363453,0.05329123428804168,16.5347862,0.0181745254
58301.405,18.50964445775344,0.046830668442485665,1.9135293577534398,0.05032016489776597,16.599205,0.0184244197
58302.3822454,18.444428696401246,0.04698292046278772,1.8967106964012466,0.050393442476456315,16.6141567,0.0184841752
58303.3680324,18.47995354143086,0.046648818237586036,1.918628441430858,0.050101147473976815,16.569458,0.0183075182
58304.3857176,18.598873556060425,0.04959459371844849,1.9477505560604271,0.052980013040468454,16.6157227,0.0184904747
58305.3946875,18.61420438482935,0.049654321135962104,1.9819602848293485,0.053008751970767085,16.5961151,0.018412156
58307.3917593,18.494376072026853,0.04903315250427432,2.002627272026853,0.052237536687684126,16.547718,0.0182237271
58310.4072917,18.459937403458753,0.04595625518995827,1.9491037034587535,0.04938655402019592,16.5613251,0.0182760153
58312.4053241,18.72289123796145,0.05295657850130435,2.061438037961448,0.056153867891968356,16.651123,0.0186348613
58313.3918171,18.67665250252867,0.05227304980530254,1.9507709025286672,0.05560292469532293,16.6322441,0.0185573753
58314.4259838,18.758042187988394,0.05370543356886203,2.044247487988393,0.05693411239760756,16.4917488,0.0180141665
58315.3616319,18.582348563937558,0.049243235715406244,1.9556662639375588,0.05261590594694815,16.5108337,0.0180846434
58316.3475231,18.653552865245956,0.05080935278534903,1.918927965245956,0.05424261406982048,16.6614532,0.018677732
58318.3656829,18.615029209352542,0.04988907839399941,2.010792609352542,0.05318945225182856,16.7258816,0.0189529285
58320.3920949,18.840521308547977,0.05481125257443305,2.1177811085479767,0.05799108820743961,16.7137947,0.0189002529
58322.4019676,18.81940501767076,0.055345299849461,2.0113911176707617,0.05862190356931304,16.6266823,0.0185347591
58323.4709838,18.799718269066943,0.054647710958215606,2.0261281690669435,0.057911109431765966,16.7346249,0.0189913362
58324.4785185,18.636290823586933,0.05020384934592462,1.8976395235869319,0.05368214673055217,16.6042366,0.0184444487
58325.2762037,18.58256481748731,0.044490374308829184,1.9385523174873107,0.04822405746439189,16.7227402,0.0189391896
58326.4156366,18.56266153532556,0.048478068659953036,1.9511693353255595,0.05187863269608794,16.8080139,0.019324217
58327.3429514,18.63134483072099,0.04750189744392619,2.0360441307209918,0.05094427106806428,16.7735901,0.0191657059
58329.3665741,18.746763795768857,0.05433188936756027,2.0864453957688553,0.057451156387519735,16.7386513,0.0190091133
58330.3615278,18.59288760934578,0.047434212332773125,1.9554212093457792,0.050942836124890686,16.6440125,0.0186055452
58332.3310417,18.577321794380886,0.0484833021161891,1.9431969943808873,0.0519161955928824,16.6114922,0.018473478
58333.3248032,18.651290179859643,0.04932056719558175,1.9730293798596428,0.05276375550917414,16.5953007,0.0184089243
58334.3493171,18.91309935120489,0.05841114311176791,2.0710316512048905,0.06157546581748239,16.6603184,0.0186730064
58336.3482639,18.956148691564522,0.0577670174785945,2.1190552915645213,0.060957180948407866,16.6374664,0.0185786989
58342.3439236,18.667878883460162,0.04323837774901291,1.9693810834601635,0.04716235680507628,16.6341248,0.0185650419
58344.4278819,18.544992869048656,0.047965835666651774,1.9213146690486553,0.05141796834266807,16.6782608,0.0187482145
58345.3354167,18.67813744398336,0.037711759218706974,1.9945665439833604,0.04212499250198481,16.8420677,0.0194852855
58347.4121065,18.809180419982113,0.053271779819634664,2.111758419982113,0.05650167805123892,16.8370934,0.0194614902
58349.3212384,18.903242905886145,0.056590286228258554,2.1208790058861453,0.05976051851394253,16.6984978,0.0188342929
58350.37375,18.736065711880656,0.05384412947338342,1.9621571118806571,0.05715391723417472,16.6375427,0.0185790099
58351.3631019,18.81688213383495,0.05462142873234689,2.004622433834953,0.05794560736243056,16.6236782,0.0185225829
58352.2896644,18.882444933339684,0.05457011056875451,1.982256533339683,0.05804105391788433,16.6835709,0.0187706742
58355.2808565,18.82762220016889,0.04220824945751036,2.08086090016889,0.04630606411149189,16.697422,0.0188296866
58355.4265278,18.824629939519582,0.041769244728982025,2.0616294395195816,0.04593647665056669,16.7823639,0.0192057043
58356.2794792,18.807109309788075,0.04024146220234409,2.106645109788076,0.04443448940011851,16.7739086,0.0191671588
58357.3148727,18.785841103721395,0.04092893603563596,2.0410882037213938,0.045139262397691726,16.8122597,0.0193440672
58360.3024884,18.719191997745384,0.03865802861570942,2.005668097745385,0.04303043549187613,16.9001884,0.0197703559
58361.2398032,18.752874042040276,0.054579908626206805,1.9567047420402766,0.05788150267307352,16.8936539,0.0197376478
58362.3239352,18.68628272749538,0.04984260378966661,1.9603191274953815,0.05332459288660478,16.9105568,0.0198226012
58363.2651968,18.81008016152373,0.055047277808244845,2.0639081615237274,0.05824790197566492,16.7269764,0.0189577211
58364.3015856,18.753516683664202,0.05321822744339559,2.042745083664201,0.05647038530637016,16.6962357,0.0188246053
58365.2015972,18.666221674102417,0.04898149750704839,1.9957084741024183,0.052435305406055045,16.7467613,0.0190450847
58366.3288542,18.678876509216025,0.05018886177422243,2.013463609216025,0.05355741877582843,16.7630005,0.0191177949
58367.3248727,18.77024098342281,0.053495575290174215,2.07740808342281,0.05670621719232154,16.7004642,0.0188427325
58368.2873148,18.86116068818592,0.057081867783038025,2.108915788185918,0.06018294460570876,16.7447529,0.0190361552
58369.1924537,18.7630482972545,0.050535045828925235,2.039930497254499,0.053968010940389353,16.660511,0.0186738092
58370.2827315,18.635773250161037,0.050461501995999886,1.969749950161038,0.053813880987210294,16.5986099,0.0184220541
58371.3049537,18.72246492806562,0.05274421122998674,2.0896753280656206,0.055914313676585045,16.6039886,0.0184434615
58372.309294,18.669773588433145,0.0514075156257001,2.0544171884331455,0.054631270304280916,16.7135239,0.0188990794
58373.2834491,18.706163103396648,0.0533663840176469,2.0978715033966466,0.05646916572918607,16.7961693,0.0192691963
58374.3245255,18.81467309800246,0.057113863092490315,2.0656438980024596,0.06020874788776036,16.7259636,0.0189532861
58375.1915972,18.914661463752054,0.04509203651206163,2.0716000637520544,0.049123861203507126,16.746172,0.0190424602
58376.2045139,19.031468280851186,0.047722373547955485,2.0762413808511866,0.05176423102951601,16.7107716,0.0188871566
58377.2866088,19.150829878064542,0.06576261970874561,2.1883893780645423,0.06876304095823181,16.6705132,0.0187156126
58378.2799306,18.974690593422565,0.0594768324885704,2.0895167934225647,0.06265304967239346,16.6654129,0.0186942574
58379.2751157,18.888917009047873,0.04266211710353452,1.9930430090478737,0.04701137292804224,16.6928329,0.0188100636
58382.1659838,18.698430426300547,0.05241245757855175,2.0056585263005466,0.05568549533584464,16.7522449,0.0190695357
58383.3101968,18.58193846200993,0.04797127382831046,1.9955126620099293,0.05136966547674861,16.7231178,0.0189408381
58384.1853241,18.71134923214413,0.051073168102860105,2.00889943214413,0.05444114833321562,16.6660233,0.0186968073
58385.2262963,18.663013874027,0.049406498750495534,1.9802555740270016,0.052850837724320976,16.6327896,0.0185595974
58386.2543634,18.62502119583155,0.04831014374376412,1.8445588958315504,0.05198456727948095,16.6153564,0.0184889976
58387.1653588,18.63828327565625,0.048520980253251904,1.9114956756562478,0.052092700322597,16.6082916,0.0184606537
58388.2395602,18.61841985853971,0.047382942288356725,1.89787315853971,0.051024244890693946,16.7490292,0.0190551821
58389.241088,18.511379497435883,0.045978873235278335,1.8483831974358829,0.04963018129542766,16.8430614,0.0194900483
58430.1769907,18.69788168933337,0.051458924739844314,1.9160365893333697,0.05492530262455111,16.9552269,0.0200526975
58431.1448958,18.788719071781998,0.05472563387256028,2.084415371781997,0.057884073022967046,16.9624405,0.0200906359
58433.1168866,18.797174472756524,0.05521482420778941,1.9950408727565225,0.05848969734720253,16.8851738,0.0196954571
58472.0979282,18.571766946064827,0.05065551554958583,1.8718157460648257,0.05404578418890943,16.895874,0.0197487455
58575.4650579,18.82108385974368,0.04047449903454018,2.123455859743679,0.04464051241008736,16.6927719,0.0188098028
58591.4743866,18.651422640349438,0.03757466842692348,2.0448400403494382,0.04186166705845992,16.5864258,0.0183738787
58632.4696759,18.861670468564625,0.05659596190108135,2.1792630685646266,0.059625968463293905,16.7024498,0.0188512634
58633.4299421,19.044840323003882,0.062402913527832615,2.156866523003881,0.06544144091315182,16.6827583,0.0187672302
58634.4251389,19.008237135975833,0.060449521167335506,2.117638835975832,0.0635855181687701,16.7804623,0.0191970114
58635.4113194,18.9113123652005,0.05712681896775158,2.0251524652005024,0.06042828061093849,16.7267876,0.0189568959
58636.4342245,18.80723992977073,0.040330643840120854,2.01821172977073,0.04468327346573145,16.7205467,0.0189296156
58637.4255093,18.706318708790604,0.05358676416908884,1.9135769087906027,0.0569406140410024,16.6629963,0.0186841674
58638.4693171,18.658455596012573,0.052727334436288804,1.9726492960125732,0.0559720110621041,16.6723557,0.01872335
58639.411794,18.433997764468586,0.046735979700970084,1.887744564468587,0.05016125981705276,16.7176895,0.0189171769
58640.4756366,18.481693873284712,0.0483722779844444,1.972061773284711,0.05164077847804925,16.5884209,0.0183817353
58641.4696759,18.558218178799507,0.048710735288399074,1.9693318787995082,0.052064301091428816,16.5491676,0.0182292704
58642.446794,18.736779393758752,0.05472662895985643,2.113043993758751,0.057776280185590265,16.7818451,0.0192033313
58643.4643171,18.707642798791085,0.0384837293436142,2.1398021987910845,0.04261376203251376,16.7043037,0.0188592393
58644.4698495,18.681905072560312,0.051485591986645415,2.0848629725603125,0.0546800604757885,16.8021336,0.0192968361
58647.3202894,18.669262764389714,0.043861587601275134,1.9769886643897152,0.04772386973817926,16.5767593,0.0183359701
58649.2996528,18.581514790228994,0.039212209413075454,1.8654960902289943,0.04353368913539097,16.6543274,0.0186481234
58651.4287963,18.508326489743013,0.03549315874027205,1.9244412897430117,0.03996244001174149,16.6125164,0.018477587
58652.4306713,18.48608550551012,0.04859122663824504,1.9122635055101185,0.05193163657792761,16.8608437,0.0195759498
58657.406956,18.660366310134634,0.038045857543039324,2.0337584101346344,0.042320366893751134,16.8042431,0.0193066467
58663.4295718,18.486055755431153,0.03557425907634336,1.879873655431151,0.04007508266453651,16.6999512,0.018840529
58666.3481481,18.4443773430894,0.043512018152751804,1.9546312430893984,0.04709078006938183,16.6288929,0.018543737
58667.311331,18.509990582629143,0.04462674698134122,2.0137709826291434,0.0481315748954009,16.6354313,0.0185703766
58668.3528819,18.521028901089267,0.04853427263637887,2.0144905010892664,0.05178854418453019,16.8771038,0.0196555611
58669.4157755,18.61527874640433,0.050874346470605826,2.1270394464043285,0.05396523303881525,16.697628,0.0188305676
58670.3911921,18.681562983487765,0.052015217121747816,2.1569142834877653,0.05508636602641522,16.7707863,0.019152984
58676.4790278,18.414648023226846,0.03621730684548052,1.8778686232268456,0.04052506989609563,16.6678696,0.0187045336
58677.3081019,18.392496252424507,0.0340236577180244,1.8748017524245064,0.03854334701684222,16.6065826,0.0184538197
58684.4541204,18.42491369193749,0.03516047692844513,1.91671779193749,0.039534277828993644,16.5715408,0.0183156189
58691.3666319,18.62736474199528,0.05175113834347233,2.028342841995279,0.05493280126334012,16.7080688,0.0188754722
58700.3920486,18.68057402941895,0.03815018286753787,2.0153366294189503,0.042483929593101814,16.6421165,0.0185977537
58710.1777199,18.658266118116444,0.05144951223822632,2.080080118116445,0.05462110140106909,16.7097359,0.0188826807
58711.1775116,18.567001037657974,0.049995581909932835,1.9264637376579756,0.053340358099269444,16.8259583,0.0194085557
58714.1776736,18.8093138376189,0.0564410712053122,2.0852614376189003,0.059535742967496356,16.6272449,0.0185370427
58715.2618634,18.760474028983936,0.054285611851249686,1.9847057289839363,0.057572839077951306,16.6587944,0.018666666
58716.2829745,18.601922515075785,0.05066278315352128,2.0077948150757834,0.05390208723930316,16.6948853,0.0188188311
58717.2617824,18.57999907783733,0.05017296466537674,2.04444987783733,0.05336426495274705,16.6981621,0.0188328568
58718.2834838,18.339160406283554,0.04570057435275229,1.8719744062835524,0.04909017189961889,16.6824074,0.0187657457
58719.2624421,18.524273588878714,0.04917674790264325,2.0411421888787125,0.052361520771484635,16.8879738,0.0197093524
58720.2832292,18.48445453636441,0.04840748135504466,2.0053667363644117,0.05163459787342712,16.8905983,0.0197224114
58722.2622685,18.50276623961281,0.049364995391270525,1.99238263961281,0.05257277435073988,16.8861599,0.0197003465
58723.2867708,18.60305376918768,0.05091179837185387,2.0385472691876814,0.05409689134684069,16.7890282,0.0192362703
58724.2868287,18.472073610543703,0.048185715781676686,1.9903975105437013,0.051430039560508053,16.7927418,0.0192533694
58725.2607639,18.548523009721976,0.04962329842233459,1.9500924097219752,0.05293219889159862,16.6858063,0.0187801551
58726.2622106,18.748548293218846,0.054064877395002944,2.0042607932188474,0.057317602277404366,16.5462532,0.018218128
58727.2869792,18.866480320510163,0.057098012049925706,2.046230720510163,0.060297837737418404,16.5096321,0.0180801749
58730.2624653,18.682759689371778,0.038501934265937586,2.061513389371779,0.042721431598048566,16.5888863,0.0183835719
58733.260706,18.51124358758898,0.048969679613720014,2.0212647875889793,0.05217572252337183,16.6237354,0.0185228139
58734.262419,18.532064163114,0.049431799632434284,1.9794442631140008,0.05269052710583403,16.5678406,0.0183012374
58735.2611111,18.616352245083363,0.05118475678033844,2.061451145083364,0.05434140082664198,16.5970421,0.018415831
58736.2707986,18.594171046958763,0.050685477523181297,1.980739146958765,0.05394974213900897,16.6441135,0.0186059624
58737.2854282,18.57659163802043,0.050417818626407436,1.9702569380204302,0.05368857658428541,16.6922741,0.0188076813
58738.1597801,18.496375541291854,0.04799498535940721,1.9867129412918558,0.05128757599938746,16.7160187,0.0189099107
58739.1585532,18.48526486721238,0.048027517751429404,1.913050767212379,0.05140233811225784,16.5806293,0.0183511134
58740.1597338,18.703892553681726,0.05275962871867295,2.0340164536817262,0.055979930384533624,16.5838852,0.0183638856
58741.1598727,18.65259433725987,0.05159936493282578,1.9088371372598694,0.054997285409259085,16.573822,0.0183245074
58743.1603125,18.825446196578014,0.056521400918708074,2.0959539965780145,0.059619480400607,16.6321144,0.0185568482
58744.1592361,18.840647955315035,0.05603035423764436,2.0248673553150347,0.05928096171289217,16.664032,0.018688485
58745.1592477,18.87093975475932,0.056812468991359125,2.0405678547593205,0.06004299525618114,16.6266079,0.0185344592
58746.1843287,18.939858248115343,0.058748986513010276,2.116169748115343,0.06186856138211553,16.6061821,0.0184522178
58747.1598843,18.641474853706313,0.05120217125363159,2.015151153706313,0.05445315089728714,16.4924011,0.0180165581
58748.1590046,18.64545258060059,0.05151639341774358,2.0153103806005888,0.05475397201206639,16.4897461,0.0180068277
58749.1604861,18.707082573193475,0.0529079105770287,2.0952852731934755,0.056040713844719967,16.4962196,0.0180305839
58750.1607639,18.545750612816846,0.04935700429714468,1.9963579128168476,0.05261607753428599,16.5065384,0.0180686936
58751.1583912,18.855135332294594,0.05665031357227099,2.0917533322945943,0.059789747039777914,16.4882393,0.0180013124
58754.1580093,18.869949011163555,0.05789051795476012,2.0691105111635544,0.061020062955807114,16.5246487,0.0181362871
58759.2021875,18.711466491139618,0.03861058134724999,2.0494524911396184,0.04289198133937999,16.5367794,0.0181820784
58760.1594097,18.790500617120415,0.05565714544097613,2.0406990171204136,0.05882983205721697,16.5176945,0.0181102268
58761.1583912,18.79582459798209,0.05495471354779234,2.0871644979820907,0.05810680231037916,16.4343185,0.0178079847
58762.158125,18.717143785588632,0.05308065056110666,1.9421403855886332,0.05643692150902401,16.5081959,0.018074844
58763.1593866,19.079774372399697,0.06307282695117852,2.2125029723996974,0.06605019029795127,16.7262249,0.0189544316
58785.0991204,18.73393738234472,0.0526162533247219,2.0418826823447205,0.05587632547741699,16.5990219,0.0184236895
58790.1346065,18.944972677769897,0.04478765079972415,2.0668293777698956,0.04891294518521176,16.5085526,0.0180761684
58791.0869097,18.931907359791126,0.059001499772642525,1.9906307597911272,0.06229266268971524,16.6112518,0.0184725113
58792.1440625,18.940499829651458,0.04490490656288781,2.0746837296514578,0.04899610131690548,16.6652374,0.0186935235
58794.1099769,18.958837431922234,0.06024418095633596,2.0741938319222335,0.06338113838877862,16.605608,0.0184499267
58797.0983912,18.688262618207773,0.05268773927832338,1.962138818207773,0.055993316947088576,16.578186,0.0183415487
58799.2294097,18.7864961577975,0.04216349901799304,1.9526319577975002,0.04643178854991529,16.6405373,0.0185912773
58801.2351042,18.883877182357992,0.043075898888833515,1.887672782357992,0.04760726438787819,16.7240524,0.0189449247
58975.4439352,18.704569598764465,0.05334067143498616,1.9720446987644635,0.05661754817280848,16.7757683,0.0191756133
58977.4535417,18.713581176464857,0.04055644881952894,2.1294995764648554,0.04452062697610653,16.5941277,0.018404277
58995.4466204,19.17516911056805,0.06550998386719538,2.2432843105680504,0.06847496244673622,16.5355492,0.0181774143
58995.4840741,19.17431027282555,0.06471997470408643,2.2419562728255507,0.06772026178583997,16.467186,0.0179249123
58998.4726389,19.101678897255624,0.06444231370750104,2.1169166972556255,0.0675368932024205,16.4831314,0.0179826673
58998.482581,19.100509112187865,0.06422681859953419,2.059981812187864,0.06742384816750206,16.4790878,0.0179679561
59001.4431134,18.7599234710533,0.05495432218609315,2.0070128710532984,0.05816990719952198,16.5103836,0.0180829708
59004.3068171,19.09133478383046,0.06208084038633346,2.238936883830462,0.06508184864285445,16.5645065,0.0182883143
59016.4775,18.684246168219488,0.03843036058149254,1.8745003682194863,0.043018957321551594,16.4816761,0.0179773681
59019.3925694,18.801407975252232,0.055908854316680856,2.0890780752522318,0.05901508031995661,16.5984306,0.0184213445
59022.4651389,18.712761046099786,0.05277623254359469,2.037412746099786,0.056003267900583194,16.7442875,0.0190340895
